MemTotal:       32755048 kB
MemFree:        12236732 kB
MemAvailable:   31488232 kB
Buffers:          164916 kB
Cached:         19270744 kB
SwapCached:            0 kB
Active:          4422832 kB
Inactive:       15232500 kB
Active(anon):       1744 kB
Inactive(anon):   381680 kB
Active(file):    4421088 kB
Inactive(file): 14850820 kB
Unevictable:      154188 kB
Mlocked:            5540 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              4280 kB
Writeback:             0 kB
AnonPages:        374420 kB
Mapped:           351024 kB
Shmem:            158748 kB
KReclaimable:     442704 kB
Slab:             588232 kB
SReclaimable:     442704 kB
SUnreclaim:       145528 kB
KernelStack:        7980 kB
PageTables:        15724 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16377524 kB
Committed_AS:    3258500 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       27796 kB
VmallocChunk:          0 kB
Percpu:            18080 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      207864 kB
DirectMap2M:    11212800 kB
DirectMap1G:    23068672 kB
