MemTotal:       32755048 kB
MemFree:         5900880 kB
MemAvailable:   31395432 kB
Buffers:          797632 kB
Cached:         24661316 kB
SwapCached:            0 kB
Active:         12179584 kB
Inactive:       13517716 kB
Active(anon):       1796 kB
Inactive(anon):   410332 kB
Active(file):   12177788 kB
Inactive(file): 13107384 kB
Unevictable:      164060 kB
Mlocked:            5544 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             25172 kB
Writeback:             0 kB
AnonPages:        402512 kB
Mapped:           315276 kB
Shmem:            168772 kB
KReclaimable:     672492 kB
Slab:             865820 kB
SReclaimable:     672492 kB
SUnreclaim:       193328 kB
KernelStack:        8308 kB
PageTables:        16696 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16377524 kB
Committed_AS:    3395540 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       30644 kB
VmallocChunk:          0 kB
Percpu:            25344 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      207864 kB
DirectMap2M:    11212800 kB
DirectMap1G:    23068672 kB
