"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",8,30,291.911734,14.811681,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",8,30,737.574593,20.042514,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",8,15,709.958459,7.029836,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",8,15,47.692078,0.669581,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",8,15,2384.686513,16.928395,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",8,15,13207.251142,123.035805,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",8,30,751.538309,5.370970,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",8,15,261.027847,1.634462,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",8,15,63.000598,1.182474,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",8,15,628.086173,9.145404,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,12.781583,0.117044,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",8,15,899.572094,20.834772,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",8,15,4643.575057,13.914407,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",8,15,57.190382,0.146978,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",8,15,472.161446,0.466404,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",8,15,32.933927,0.329780,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",8,15,297.495851,20.035226,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",8,30,11058.868658,130.559237,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",8,15,147.360356,2.333398,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",8,30,483.550351,16.552389,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",8,30,1085.989584,13.400574,"ops/min"
