Timestamp,Slave 0,Slave 1,Slave 2,
1724966843828,0,,,,
1724966843836,,0,,
1724966843837,0,,0,
1724966843843,32,,,,
1724966843851,,88,,
1724966843853,,,87,
1724966843855,76,,,
1724966844829,34,,,,
1724966844837,,121,,
1724966844838,107,,,
1724966844840,,,119,
1724966845830,34,,,,
1724966845837,,140,,
1724966845838,126,,,
1724966845841,,,139,
1724966846829,34,,,,
1724966846837,,34,,
1724966846838,56,,54,
1724966847829,34,,,,
1724966847837,,76,,
1724966847838,,,93,
1724966847839,96,,,
1724966848829,34,,,,
1724966848837,,126,,
1724966848838,146,,143,
1724966849829,34,,,,
1724966849837,,73,,
1724966849838,114,,91,
1724966850829,34,,,,
1724966850837,298,259,,
1724966850838,,,279,
1724966851829,36,,,,
1724966851837,,306,,
1724966851838,337,,323,
1724966852829,36,,,,
1724966852837,,118,,
1724966852838,375,,362,
1724966853829,36,,,,
1724966853837,477,220,,
1724966853838,,,466,
1724966854830,36,,,,
1724966854837,,114,,
1724966854838,625,,615,
1724966855829,36,,,,
1724966855837,786,278,,
1724966855838,,,778,
1724966856829,36,,,,
1724966856837,218,455,,
1724966856838,,,216,
1724966857829,36,,,,
1724966857837,406,236,,
1724966857838,,,405,
1724966858831,36,,,,
1724966858839,591,423,,
1724966858840,,,592,
1724966859829,36,,,,
1724966859837,,155,,
1724966859838,242,,210,
1724966860829,36,,,,
1724966860837,439,355,,
1724966860838,,,411,
1724966861829,36,,,,
1724966861837,,542,,
1724966861838,174,,133,
1724966862829,36,,,,
1724966862837,366,734,,
1724966862838,,,330,
1724966863829,36,,,,
1724966863837,549,164,,
1724966863838,,,512,
1724966864829,36,,,,
1724966864837,,355,,
1724966864838,147,,705,
1724966865829,36,,,,
1724966865837,341,548,,
1724966865838,,,225,
1724966866829,36,,,,
1724966866837,540,750,,
1724966866839,,,427,
1724966867829,36,,,,
1724966867837,734,199,,
1724966867838,,,623,
1724966868829,36,,,,
1724966868837,173,394,,
1724966868838,,,821,
1724966869829,36,,,,
1724966869837,369,588,,
1724966869838,,,264,
1724966870829,36,,,,
1724966870837,566,789,,
1724966870838,,,464,
1724966871829,36,,,,
1724966871837,758,238,,
1724966871838,,,664,
1724966872829,38,,,,
1724966872837,205,431,,
1724966872838,,,859,
1724966873829,38,,,,
1724966873837,396,625,,
1724966873839,,,306,
1724966874829,38,,,,
1724966874837,594,825,,
1724966874838,,,506,
1724966875829,38,,,,
1724966875837,786,272,,
1724966875838,,,702,
1724966876829,38,,,,
1724966876837,,469,,
1724966876838,227,,,
1724966876839,,,898,
1724966877829,38,,,,
1724966877837,419,662,,
1724966877839,,,342,
1724966878829,38,,,,
1724966878837,619,862,,
1724966878838,,,543,
1724966879829,38,,,,
1724966879837,812,311,,
1724966879838,,,742,
1724966880829,38,,,,
1724966880837,249,503,,
1724966880838,,,186,
1724966881829,38,,,,
1724966881837,446,703,,
1724966881838,,,387,
1724966882829,38,,,,
1724966882837,648,905,,
1724966882838,,,589,
1724966883829,38,,,,
1724966883837,842,355,,
1724966883838,,,787,
1724966884829,38,,,,
1724966884837,284,548,,
1724966884838,,,235,
1724966885829,38,,,,
1724966885837,485,752,,
1724966885838,,,437,
1724966886829,38,,,,
1724966886838,682,,635,
1724966886842,,207,,
1724966887829,38,,,,
1724966887837,881,407,,
1724966887838,,,838,
1724966888829,38,,,,
1724966888836,,599,,
1724966888837,321,,,
1724966888838,,,280,
1724966889829,38,,,,
1724966889836,,801,,
1724966889837,520,,,
1724966889838,,,484,
1724966890829,38,,,,
1724966890837,714,250,,
1724966890838,,,680,
1724966891829,38,,,,
1724966891837,914,452,,
1724966891838,,,885,
1724966892829,38,,,,
1724966892837,351,645,,
1724966892838,,,328,
1724966893829,38,,,,
1724966893837,551,849,,
1724966893838,,,530,
1724966894829,38,,,,
1724966894837,746,300,,
1724966894838,,,729,
1724966895829,38,,,,
1724966895837,,495,,
1724966895838,194,,926,
1724966896829,38,,,,
1724966896837,388,695,,
1724966896838,,,376,
1724966897829,40,,,,
1724966897837,588,897,,
1724966897838,,,580,
1724966898829,40,,,,
1724966898837,782,348,,
1724966898838,,,779,
1724966899829,40,,,,
1724966899837,224,541,,
1724966899838,,,222,
1724966900829,40,,,,
1724966900837,424,745,,
1724966900838,,,428,
1724966901829,40,,,,
1724966901837,,945,,
1724966901838,621,,625,
1724966902829,40,,,,
1724966902837,815,393,,
1724966902838,,,823,
1724966903829,40,,,,
1724966903837,252,585,,
1724966903838,,,266,
1724966904829,40,,,,
1724966904837,451,787,,
1724966904838,,,471,
1724966905829,40,,,,
1724966905837,654,,,
1724966905838,,,673,
1724966905858,,245,,
1724966906829,40,,,,
1724966906837,844,,,
1724966906838,,439,867,
1724966907829,40,,,,
1724966907837,283,629,,
1724966907838,,,312,
1724966908829,40,,,,
1724966908837,485,832,,
1724966908838,,,515,
1724966909829,40,,,,
1724966909837,683,282,,
1724966909838,,,714,
1724966910829,40,,,,
1724966910837,883,486,,
1724966910838,,,918,
1724966911829,40,,,,
1724966911837,160,161,,
1724966911838,,,161,
1724966912829,40,,,,
1724966912837,,375,,
1724966912838,370,,377,
1724966913829,50,,,,
1724966913837,536,546,,
1724966913838,,,541,
1724966914829,50,,,,
1724966914837,704,716,,
1724966914838,,,711,
1724966915829,50,,,,
1724966915837,136,155,,
1724966915838,,,147,
1724966916829,50,,,,
1724966916837,330,351,,
1724966916838,,,343,
1724966917829,50,,,,
1724966917837,529,554,,
1724966917838,,,545,
1724966918829,50,,,,
1724966918837,722,752,,
1724966918838,,,743,
1724966919829,50,,,,
1724966919837,174,205,,
1724966919838,,,199,
1724966920829,50,,,,
1724966920837,375,409,,
1724966920838,,,401,
1724966921829,50,,,,
1724966921837,573,611,,
1724966921838,,,603,
1724966922829,50,,,,
1724966922837,771,811,,
1724966922838,,,803,
1724966923829,50,,,,
1724966923836,,244,,
1724966923837,200,,,
1724966923838,,,234,
1724966924829,50,,,,
1724966924837,399,445,,
1724966924838,,,437,
1724966925829,50,,,,
1724966925837,597,645,,
1724966925838,,,639,
1724966926829,50,,,,
1724966926836,,847,,
1724966926837,795,,,
1724966926838,,,844,
1724966927829,50,,,,
1724966927837,229,286,,
1724966927838,,,281,
1724966928829,50,,,,
1724966928837,428,486,,
1724966928838,,,484,
1724966929829,50,,,,
1724966929837,629,685,,
1724966929838,,,685,
1724966930835,50,,,,
1724966930837,819,,,
1724966930838,,,131,
1724966930848,,134,,
1724966931829,50,,,,
1724966931837,264,330,,
1724966931838,,,327,
1724966932829,50,,,,
1724966932837,465,532,,
1724966932838,,,531,
1724966933829,50,,,,
1724966933837,662,731,,
1724966933838,,,732,
1724966934829,52,,,,
1724966934837,853,176,,
1724966934838,,,175,
1724966935829,52,,,,
1724966935837,302,374,,
1724966935838,,,376,
1724966936829,52,,,,
1724966936837,503,576,,
1724966936838,,,581,
1724966937829,52,,,,
1724966937837,703,780,,
1724966937838,,,785,
1724966938829,52,,,,
1724966938838,,224,,
1724966938844,,,229,
1724966938851,141,,,
1724966939829,52,,,,
1724966939837,338,422,,
1724966939838,,,427,
1724966940829,52,,,,
1724966940836,,624,,
1724966940837,538,,,
1724966940838,,,631,
1724966941829,52,,,,
1724966941837,738,828,,
1724966941838,,,834,
1724966942829,52,,,,
1724966942837,176,269,,
1724966942838,,,276,
1724966943829,52,,,,
1724966943837,377,473,,
1724966943838,,,479,
1724966944829,52,,,,
1724966944837,576,675,,
1724966944838,,,680,
1724966945829,52,,,,
1724966945837,776,877,,
1724966945838,,,884,
1724966946829,52,,,,
1724966946837,213,318,,
1724966946838,,,325,
1724966947829,52,,,,
1724966947837,412,519,,
1724966947838,,,528,
1724966948829,52,,,,
1724966948837,611,720,,
1724966948838,,,729,
1724966949829,52,,,,
