Timestamp,Slave 0,Slave 1,Slave 2,
1724985437069,0,,,,
1724985437074,,0,0,
1724985437076,0,,,
1724985437081,28,,,,
1724985437086,102,,,
1724985437088,,121,,
1724985437089,,,118,
1724985438070,28,,,,
1724985438075,,157,149,
1724985438076,136,,,
1724985439070,28,,,,
1724985439075,,37,44,
1724985439077,48,,,
1724985440070,28,,,,
1724985440075,,71,80,
1724985440076,77,,,
1724985441070,28,,,,
1724985441075,,76,115,
1724985441076,114,,,
1724985442070,28,,,,
1724985442075,,134,172,
1724985442076,164,,,
1724985443070,28,,,,
1724985443075,,273,308,
1724985443076,294,,,
1724985444069,28,,,,
1724985444075,,467,,
1724985444076,124,,177,
1724985445070,28,,,,
1724985445075,,519,,
1724985445076,,,233,
1724985445077,188,,,
1724985446069,28,,,,
1724985446075,,558,271,
1724985446077,227,,,
1724985447069,28,,,,
1724985447075,,127,150,
1724985447076,125,,,
1724985448069,28,,,,
1724985448075,,298,319,
1724985448076,289,,,
1724985449069,28,,,,
1724985449075,,166,,
1724985449076,200,,259,
1724985450069,28,,,,
1724985450075,,363,453,
1724985450076,388,,,
1724985451069,28,,,,
1724985451075,,162,183,
1724985451076,258,,,
1724985452071,28,,,,
1724985452076,,359,379,
1724985452077,448,,,
1724985453070,28,,,,
1724985453075,,149,570,
1724985453076,213,,,
1724985454069,28,,,,
1724985454075,,354,334,
1724985454077,406,,,
1724985455069,9,,,,
1724985455075,,560,537,
1724985455076,605,,,
1724985456069,9,,,,
1724985456077,225,,,
1724985456082,,,734,
1724985456087,,147,,
1724985457069,9,,,,
1724985457075,,350,310,
1724985457076,417,,,
1724985458069,9,,,,
1724985458075,,556,518,
1724985458076,617,,,
1724985459069,9,,,,
1724985459075,,760,716,
1724985459076,810,,,
1724985460069,9,,,,
1724985460075,,230,,
1724985460076,281,,,
1724985460091,,,165,
1724985461069,9,,,,
1724985461075,,,372,
1724985461076,480,439,,
1724985462069,9,,,,
1724985462075,,650,580,
1724985462076,687,,,
1724985463069,9,,,,
1724985463075,,859,790,
1724985463076,888,,,
1724985464069,9,,,,
1724985464075,,310,238,
1724985464076,327,,,
1724985465069,9,,,,
1724985465075,,520,448,
1724985465076,529,,,
1724985466069,9,,,,
1724985466075,,731,656,
1724985466076,732,,,
1724985467069,9,,,,
1724985467075,,183,856,
1724985467076,177,,,
1724985468069,9,,,,
1724985468075,,387,308,
1724985468076,374,,,
1724985469069,9,,,,
1724985469075,,596,517,
1724985469076,576,,,
1724985470069,9,,,,
1724985470075,,804,722,
