Timestamp,Slave 0,Slave 1,Slave 2,
1724988837417,0,,,,
1724988837421,0,,,
1724988837422,,,0,
1724988837423,,0,,
1724988837442,149,,,
1724988837443,,149,,
1724988837448,,,149,
1724988837456,53,,,,
1724988838422,53,,,,
1724988838423,149,,,
1724988838427,,,149,
1724988838429,,149,,
1724988839419,53,,,,
1724988839425,,149,,
1724988839426,,,149,
1724988839434,149,,,
1724988840419,53,,,,
1724988840423,149,,,
1724988840424,,,149,
1724988840425,,149,,
1724988841418,53,,,,
1724988841423,149,,,
1724988841424,,,149,
1724988841425,,149,,
1724988842419,53,,,,
1724988842424,150,,149,
1724988842432,,149,,
1724988843419,53,,,,
1724988843423,149,,,
1724988843424,,,149,
1724988843426,,149,,
1724988844420,53,,,,
1724988844424,149,,,
1724988844425,,,149,
1724988844426,,149,,
1724988845423,53,149,,,
1724988845424,,,149,
1724988845425,,149,,
1724988846419,53,,,,
1724988846423,149,,,
1724988846424,,,149,
1724988846425,,149,,
1724988847419,53,,,,
1724988847423,149,,,
1724988847425,,,149,
1724988847428,,149,,
1724988848418,53,,,,
1724988848423,149,,,
1724988848424,,,149,
1724988848425,,149,,
1724988849418,53,,,,
1724988849423,149,,,
1724988849424,,,149,
1724988849425,,149,,
1724988850418,53,,,,
1724988850423,149,,,
1724988850424,,,150,
1724988850425,,149,,
1724988851419,53,,,,
1724988851423,149,,,
1724988851424,,,149,
1724988851425,,149,,
1724988852420,53,,,,
1724988852425,149,,,
1724988852426,,,149,
1724988852427,,149,,
1724988853418,53,,,,
1724988853423,149,,,
1724988853424,,,149,
1724988853425,,149,,
1724988854418,53,,,,
1724988854423,149,,,
1724988854424,,149,149,
1724988855418,53,,,,
1724988855423,149,,,
1724988855424,,,149,
1724988855425,,149,,
1724988856418,53,,,,
1724988856423,149,,,
1724988856424,,,149,
1724988856428,,149,,
1724988857418,53,,,,
1724988857423,149,,,
1724988857424,,,149,
1724988857425,,149,,
1724988858418,53,,,,
1724988858423,149,,,
1724988858424,,,149,
1724988858425,,149,,
1724988859418,53,,,,
1724988859423,149,,,
1724988859424,,,149,
1724988859425,,149,,
1724988860419,53,,,,
1724988860425,149,149,150,
1724988861418,53,,,,
1724988861422,149,,,
1724988861424,,,149,
1724988861425,,149,,
1724988862418,53,,,,
1724988862423,149,,,
1724988862424,,149,149,
1724988863418,53,,,,
1724988863423,149,,,
1724988863424,,,149,
1724988863425,,149,,
1724988864418,53,,,,
1724988864423,149,,,
1724988864424,,149,149,
1724988865418,53,,,,
1724988865423,149,,149,
1724988865424,,149,,
1724988866418,53,,,,
1724988866423,149,,,
1724988866424,,,149,
1724988866425,,149,,
1724988867418,53,,,,
1724988867423,149,,,
1724988867424,,,149,
1724988867425,,149,,
1724988868418,53,,,,
1724988868423,149,,,
1724988868424,,,149,
1724988868425,,149,,
1724988869418,53,,,,
1724988869422,149,,,
1724988869424,,,149,
1724988869425,,149,,
1724988870418,53,,,,
1724988870422,149,,,
1724988870424,,149,149,
1724988871418,53,,,,
1724988871423,149,,,
1724988871424,,,149,
1724988871425,,149,,
1724988872418,53,,,,
1724988872423,149,,149,
1724988872424,,149,,
1724988873418,53,,,,
1724988873422,149,,,
1724988873423,,,149,
1724988873427,,149,,
1724988874418,53,,,,
1724988874422,149,,,
1724988874423,,,149,
1724988874425,,149,,
1724988875418,53,,,,
1724988875423,149,,,
1724988875424,,149,149,
1724988876418,53,,,,
1724988876422,149,,,
1724988876423,,,149,
1724988876424,,149,,
1724988877418,53,,,,
1724988877423,149,,149,
1724988877425,,149,,
1724988878418,53,,,,
1724988878422,149,,,
1724988878423,,,149,
1724988878424,,149,,
1724988879418,53,,,,
1724988879422,149,,,
1724988879424,,149,149,
1724988880418,53,,,,
1724988880422,149,,,
1724988880423,,,149,
1724988880424,,149,,
1724988881418,53,,,,
1724988881422,149,,,
1724988881424,,,149,
1724988881425,,149,,
1724988882418,53,,,,
1724988882423,149,,,
1724988882424,,149,149,
1724988883418,53,,,,
1724988883422,149,,,
1724988883423,,,149,
1724988883424,,149,,
1724988884418,53,,,,
1724988884422,149,,,
1724988884423,,,149,
1724988884424,,149,,
1724988885418,53,,,,
1724988885422,149,,,
1724988885423,,,149,
1724988885424,,149,,
1724988886418,53,,,,
1724988886422,149,,,
1724988886423,,,149,
1724988886424,,150,,
1724988887418,53,,,,
1724988887422,149,,,
1724988887423,,,149,
1724988887424,,149,,
1724988888418,53,,,,
1724988888422,149,,,
1724988888423,,,149,
1724988888424,,149,,
1724988889417,53,,,,
1724988889422,149,,,
1724988889423,,,149,
1724988889424,,149,,
1724988890418,53,,,,
1724988890422,149,,,
1724988890424,,149,149,
1724988891418,53,,,,
1724988891422,149,,,
1724988891423,,,149,
1724988891424,,149,,
1724988892418,53,,,,
1724988892423,149,,149,
1724988892424,,149,,
1724988893418,53,,,,
1724988893423,149,,,
1724988893424,,,149,
1724988893425,,149,,
1724988894418,53,,,,
1724988894422,149,,,
1724988894423,,,149,
1724988894425,,149,,
1724988895417,53,,,,
1724988895422,150,,,
1724988895423,,,149,
1724988895424,,149,,
1724988896418,53,,,,
1724988896423,149,,149,
1724988896424,,149,,
1724988897418,53,,,,
1724988897422,149,,,
1724988897423,,,149,
1724988897424,,149,,
1724988898418,53,,,,
1724988898422,149,,,
1724988898423,,,149,
1724988898424,,149,,
1724988899418,53,,,,
1724988899422,149,,,
1724988899423,,,149,
1724988899424,,149,,
1724988900418,53,,,,
1724988900423,149,,149,
1724988900424,,149,,
1724988901417,53,,,,
1724988901422,149,,,
1724988901423,,,149,
1724988901424,,149,,
1724988902417,53,,,,
1724988902422,149,,,
1724988902423,,,149,
1724988902424,,149,,
1724988903418,53,,,,
1724988903422,149,,,
1724988903423,,,149,
1724988903424,,149,,
1724988904418,53,,,,
1724988904422,149,,,
1724988904423,,,149,
1724988904424,,149,,
1724988905418,53,,,,
1724988905422,149,,,
1724988905424,,149,149,
1724988906418,53,,,,
1724988906422,149,,,
1724988906423,,,149,
1724988906424,,149,,
1724988907418,53,,,,
1724988907422,149,,,
1724988907423,,,149,
1724988907424,,149,,
1724988908417,53,,,,
1724988908422,149,,,
1724988908423,,,149,
1724988908424,,149,,
1724988909418,53,,,,
1724988909422,149,,,
1724988909423,,,149,
1724988909424,,149,,
1724988910418,53,,,,
1724988910422,149,,,
1724988910423,,,149,
1724988910424,,149,,
1724988911418,53,,,,
1724988911422,149,,,
1724988911423,,,149,
1724988911424,,149,,
1724988912418,53,,,,
1724988912422,149,,,
1724988912423,,,149,
1724988912425,,149,,
1724988913417,53,,,,
1724988913423,149,,149,
1724988913424,,149,,
1724988914418,53,,,,
1724988914422,149,,,
1724988914423,,,149,
1724988914424,,149,,
1724988915418,53,,,,
1724988915422,149,,,
1724988915423,,,149,
1724988915424,,149,,
1724988916417,53,,,,
1724988916422,149,,,
1724988916423,,,149,
1724988916424,,149,,
1724988917418,53,,,,
1724988917422,149,,,
1724988917423,,,149,
1724988917424,,149,,
1724988918417,53,,,,
1724988918422,149,,,
1724988918423,,,149,
1724988918424,,149,,
