Timestamp,Slave 0,Slave 1,Slave 2,
1725007800023,0,,,,
1725007800029,,0,0,
1725007800030,0,,,
1725007800040,25,,,,
1725007800041,,118,109,
1725007800044,97,,,
1725007801024,6,,,,
1725007801030,131,156,149,
1725007802024,6,,,,
1725007802030,,174,174,
1725007802032,153,,,
1725007803024,6,,,,
1725007803030,175,53,52,
1725007804024,6,,,,
1725007804030,,85,84,
1725007804034,59,,,
1725007805024,6,,,,
1725007805030,,140,143,
1725007805031,110,,,
1725007806024,6,,,,
1725007806030,,,216,
1725007806031,176,211,,
1725007807024,6,,,,
1725007807030,,408,422,
1725007807031,356,,,
1725007808024,6,,,,
1725007808030,132,,,
1725007808031,,,168,
1725007808033,,515,,
1725007809024,6,,,,
1725007809030,171,558,,
1725007809033,,,211,
1725007810024,6,,,,
1725007810029,,,128,
1725007810030,104,128,,
1725007811024,6,,,,
1725007811029,,272,274,
1725007811030,240,,,
1725007812024,6,,,,
1725007812030,196,271,298,
1725007813024,6,,,,
1725007813030,,258,230,
1725007813032,379,,,
1725007814024,6,,,,
1725007814030,251,,373,
1725007814031,,205,,
1725007815024,6,,,,
1725007815030,,396,305,
1725007815031,435,,,
1725007816023,6,,,,
1725007816029,,591,500,
1725007816031,226,,,
1725007817023,6,,,,
1725007817029,,286,689,
1725007817030,405,,,
1725007818024,6,,,,
1725007818030,,477,879,
1725007818031,590,,,
1725007819024,6,,,,
1725007819030,769,163,335,
1725007820023,6,,,,
1725007820029,,359,,
1725007820030,261,,530,
1725007821023,6,,,,
1725007821029,,,733,
1725007821030,455,,,
1725007821031,,562,,
1725007822023,6,,,,
1725007822029,,,327,
1725007822030,643,755,,
1725007823023,6,,,,
1725007823029,,196,524,
1725007823030,831,,,
1725007824023,6,,,,
1725007824029,,394,722,
1725007824030,268,,,
1725007825023,6,,,,
1725007825029,,,927,
1725007825030,461,596,,
1725007826023,6,,,,
1725007826029,,796,372,
1725007826030,653,,,
1725007827023,6,,,,
1725007827029,,,572,
1725007827030,844,246,,
1725007828023,6,,,,
1725007828029,,447,773,
1725007828031,282,,,
1725007829024,6,,,,
1725007829029,,646,227,
1725007829031,471,,,
1725007830023,6,,,,
1725007830029,,850,429,
1725007830030,666,,,
1725007831023,6,,,,
1725007831029,,302,630,
1725007831030,858,,,
1725007832023,6,,,,
1725007832029,,503,829,
1725007832030,298,,,
1725007833024,6,,,,
1725007833029,,,284,
1725007833030,492,701,,
1725007834023,6,,,,
1725007834029,,905,489,
1725007834030,688,,,
1725007835023,6,,,,
1725007835029,,356,689,
1725007835030,880,,,
1725007836023,6,,,,
1725007836029,,,887,
1725007836030,314,555,,
1725007837023,6,,,,
1725007837029,,751,344,
1725007837030,504,,,
1725007838023,6,,,,
1725007838029,,951,545,
1725007838030,697,,,
1725007839023,6,,,,
1725007839029,,401,743,
1725007839030,890,,,
1725007840023,6,,,,
1725007840029,,600,943,
1725007840030,328,,,
1725007841023,6,,,,
1725007841029,,,397,
1725007841030,518,800,,
1725007842023,6,,,,
1725007842029,,,598,
1725007842030,709,250,,
1725007843023,6,,,,
1725007843029,,449,798,
1725007843031,903,,,
1725007844023,6,,,,
1725007844029,,647,997,
1725007844030,338,,,
1725007845023,6,,,,
1725007845029,,846,,
1725007845030,530,,449,
1725007846023,6,,,,
1725007846029,,296,648,
1725007846030,722,,,
1725007847023,6,,,,
1725007847029,,495,850,
1725007847030,913,,,
1725007848023,6,,,,
1725007848030,347,691,303,
1725007849023,6,,,,
1725007849029,,894,507,
1725007849030,541,,,
1725007850023,6,,,,
1725007850029,,,706,
1725007850030,733,345,,
1725007851023,6,,,,
1725007851029,,546,905,
1725007851032,170,,,
1725007852023,6,,,,
1725007852029,,744,,
1725007852030,361,,360,
1725007853023,6,,,,
1725007853029,,947,565,
1725007853030,557,,,
1725007854023,6,,,,
1725007854029,,399,766,
1725007854030,747,,,
1725007855023,6,,,,
1725007855029,,595,966,
1725007855030,185,,,
1725007856023,6,,,,
1725007856029,,797,421,
1725007856030,374,,,
1725007857023,6,,,,
1725007857029,,246,622,
1725007857030,566,,,
1725007858023,6,,,,
1725007858029,,450,825,
1725007858030,759,,,
1725007859023,6,,,,
1725007859029,,656,1024,
1725007859030,197,,,
1725007860023,6,,,,
1725007860029,,854,485,
1725007860030,387,,,
1725007861023,6,,,,
1725007861029,,302,684,
1725007861030,577,,,
1725007862023,6,,,,
1725007862029,,502,881,
1725007862030,770,,,
1725007863023,6,,,,
1725007863029,,,332,
1725007863030,202,697,,
1725007864023,6,,,,
1725007864029,,898,534,
1725007864030,393,,,
1725007865023,6,,,,
1725007865029,,345,731,
1725007865031,585,,,
1725007866023,6,,,,
1725007866029,,547,931,
1725007866030,779,,,
1725007867023,10,,,,
1725007867029,,741,384,
1725007867030,212,,,
1725007868023,10,,,,
1725007868030,76,81,84,
1725007869023,10,,,,
1725007869029,,,313,
1725007869030,280,301,,
1725007870023,10,,,,
1725007870029,,533,554,
1725007870030,497,,,
1725007871023,18,,,,
1725007871029,,681,709,
1725007871030,644,,,
1725007872023,18,,,,
1725007872029,,134,167,
1725007872030,824,,,
1725007873023,18,,,,
1725007873029,,,368,
1725007873030,271,332,,
1725007874023,18,,,,
1725007874029,,534,571,
1725007874030,465,,,
1725007875023,18,,,,
1725007875029,,,773,
1725007875030,660,736,,
1725007876023,18,,,,
1725007876029,,192,234,
1725007876030,98,,,
1725007877023,18,,,,
1725007877029,,396,437,
1725007877030,292,,,
1725007878023,18,,,,
1725007878029,,597,639,
1725007878031,486,,,
1725007879023,18,,,,
1725007879029,,800,842,
1725007879031,680,,,
1725007880023,18,,,,
1725007880029,,239,286,
1725007880030,871,,,
1725007881023,18,,,,
1725007881029,,,487,
1725007881030,299,437,,
1725007882023,18,,,,
1725007882029,,638,688,
1725007882030,493,,,
1725007883023,18,,,,
1725007883029,,837,143,
1725007883030,681,,,
1725007884023,18,,,,
1725007884029,,283,341,
1725007884030,871,,,
1725007885023,18,,,,
1725007885029,,481,541,
1725007885030,304,,,
1725007886023,18,,,,
1725007886029,,684,744,
1725007886030,496,,,
1725007887023,18,,,,
1725007887029,,881,200,
1725007887030,688,,,
1725007888023,18,,,,
1725007888029,,328,396,
1725007888030,122,,,
1725007889023,18,,,,
1725007889029,,529,598,
1725007889030,315,,,
1725007890023,18,,,,
1725007890029,,731,799,
1725007890030,511,,,
1725007891023,18,,,,
1725007891029,,177,249,
1725007891030,693,,,
1725007892023,18,,,,
1725007892029,,374,449,
1725007892030,131,,,
1725007893023,18,,,,
1725007893029,,578,652,
1725007893030,326,,,
1725007894023,18,,,,
1725007894029,,778,855,
1725007894030,519,,,
1725007895023,18,,,,
1725007895029,,,307,
1725007895030,707,222,,
1725007896023,18,,,,
1725007896029,,,508,
1725007896030,145,420,,
1725007897023,18,,,,
1725007897029,,622,709,
1725007897030,337,,,
1725007898023,18,,,,
1725007898029,,822,911,
1725007898030,530,,,
1725007899023,18,,,,
1725007899029,,269,362,
1725007899030,716,,,
1725007900023,18,,,,
1725007900029,,465,559,
1725007900030,151,,,
1725007901023,18,,,,
1725007901029,,666,761,
1725007901030,344,,,
1725007902023,18,,,,
1725007902029,,861,,
1725007902030,533,,213,
1725007903023,18,,,,
1725007903029,,312,411,
1725007903030,725,,,
1725007904023,18,,,,
1725007904029,,510,611,
1725007904030,161,,,
1725007905023,18,,,,
1725007905029,,714,814,
1725007905030,357,,,
1725007906023,18,,,,
1725007906029,,,269,
1725007906030,546,912,,
1725007907023,18,,,,
1725007907029,,360,469,
1725007907030,735,,,
1725007908023,18,,,,
1725007908029,,560,669,
1725007908030,174,,,
1725007909023,18,,,,
1725007909029,,764,872,
1725007909030,369,,,
1725007910023,18,,,,
1725007910029,,206,323,
1725007910030,557,,,
1725007911023,18,,,,
1725007911029,,407,524,
1725007911030,748,,,
1725007912023,18,,,,
1725007912029,,604,722,
1725007912030,184,,,
1725007913023,22,,,,
1725007913029,,802,920,
1725007913030,376,,,
1725007914023,22,,,,
1725007914029,,249,372,
1725007914030,563,,,
1725007915023,22,,,,
1725007915029,,449,576,
1725007915030,754,,,
1725007916023,22,,,,
1725007916029,,648,776,
1725007916030,192,,,
1725007917023,22,,,,
1725007917029,,845,226,
1725007917030,384,,,
1725007918023,22,,,,
1725007918029,,,426,
1725007918030,574,294,,
1725007919023,22,,,,
1725007919029,,496,627,
1725007919030,767,,,
1725007920023,22,,,,
1725007920029,,692,824,
1725007920030,202,,,
1725007921023,22,,,,
1725007921029,,890,279,
1725007921030,391,,,
1725007922023,22,,,,
1725007922029,,340,478,
1725007922030,581,,,
1725007923023,22,,,,
1725007923029,,541,680,
1725007923030,775,,,
1725007924023,22,,,,
1725007924029,,740,880,
1725007924031,214,,,
1725007925023,22,,,,
1725007925029,,938,334,
1725007925030,403,,,
1725007926023,22,,,,
1725007926029,,389,533,
1725007926030,593,,,
1725007927025,22,,,,
1725007927031,,591,735,
1725007927032,787,,,
1725007928023,22,,,,
1725007928029,,786,934,
1725007928030,221,,,
1725007929023,22,,,,
1725007929029,,234,387,
1725007929030,408,,,
1725007930023,22,,,,
1725007930029,,436,589,
1725007930030,601,,,
1725007931023,22,,,,
1725007931029,,638,791,
1725007931030,795,,,
1725007932023,22,,,,
1725007932029,,834,990,
1725007932030,232,,,
1725007933023,22,,,,
1725007933029,,280,441,
1725007933030,418,,,
1725007934023,22,,,,
1725007934029,,482,644,
1725007934030,611,,,
1725007935023,22,,,,
1725007935029,,684,845,
1725007935030,804,,,
1725007936023,22,,,,
1725007936029,,879,298,
1725007936030,239,,,
1725007937023,22,,,,
1725007937029,,329,496,
1725007937030,431,,,
1725007938023,22,,,,
1725007938029,,530,699,
1725007938030,624,,,
1725007939023,22,,,,
1725007939029,,733,902,
1725007939030,820,,,
1725007940023,22,,,,
1725007940029,,928,353,
1725007940030,254,,,
1725007941023,22,,,,
1725007941029,,378,553,
1725007941030,446,,,
1725007942023,22,,,,
1725007942029,,581,757,
1725007942030,642,,,
1725007943023,22,,,,
1725007943029,,782,959,
1725007943030,836,,,
1725007944023,22,,,,
1725007944029,,978,410,
1725007944030,268,,,
1725007945023,22,,,,
1725007945029,,426,609,
