Timestamp,Slave 0,Slave 1,Slave 2,
1736241983125,111252,,,311076,
1736241983131,288352,,,
1736241983132,,311588,,
1736241984107,111380,,,,
1736241984112,,,350436,
1736241984113,336256,,,
1736241984119,,353032,,
1736241985115,379692,,,
1736241985117,,,403796,
1736241985120,,378844,,
1736241985129,111388,,,,
1736241986102,111388,,,,
1736241986118,439052,,,
1736241986119,,,436140,
1736241986120,,432052,,
1736241987114,471444,,,
1736241987115,,,438356,
1736241987125,111388,,,,
1736241987130,,436588,,
1736241988109,111388,,,,
1736241988116,,446300,447756,
1736241988117,471996,,,
1736241989106,111388,,,,
1736241989108,481944,,,
1736241989113,,480124,,
1736241989115,,,461100,
1736241990103,111496,,,,
1736241990110,650880,651752,646100,
1736241991107,117060,,,,
1736241991117,742528,,,
1736241991124,,772496,767796,
1736241992118,753244,,,
1736241992119,,,888180,
1736241992124,117076,,,,
1736241992125,,862076,,
1736241993103,117180,,,,
1736241993112,,,904096,
1736241993115,798204,862348,,
1736241994100,117180,,,,
1736241994105,,,964036,
1736241994107,805196,918184,,
1736241995100,117224,,,,
1736241995106,821304,919776,964140,
1736241996100,117376,,,,
1736241996105,,919800,964392,
1736241996107,822132,,,
1736241997103,117496,,,,
1736241997109,,929336,,
1736241997110,822256,,,
1736241997111,,,972456,
1736241998099,117580,,,,
1736241998105,834136,,,
1736241998106,,934248,974000,
1736241999100,117580,,,,
1736241999106,,930012,977936,
1736241999107,834240,,,
1736242000100,117580,,,,
1736242000105,906400,,,
1736242000106,,,978080,
1736242000108,,930012,,
1736242001098,117668,,,,
1736242001106,1140348,,980456,
1736242001108,,934316,,
1736242002099,117668,,,,
1736242002105,1140440,,,
1736242002106,,1058128,,
1736242002107,,,1030616,
1736242003100,117668,,,,
1736242003104,1140500,,,
1736242003105,,1058128,1030748,
1736242004100,117756,,,,
1736242004104,1140500,,,
1736242004105,,1058220,1030748,
1736242005099,117756,,,,
1736242005106,1282004,1080476,1112884,
1736242006102,117756,,,,
1736242006105,1282004,1270052,1259172,
1736242007100,117756,,,,
1736242007105,1282084,1270052,,
1736242007106,,,1259272,
1736242008099,117840,,,,
1736242008105,1282084,1270140,1259272,
1736242009100,117840,,,,
1736242009105,,1270140,1262176,
1736242009106,1294228,,,
1736242010100,117840,,,,
1736242010106,,1278060,,
1736242010107,1294300,,1272472,
1736242011099,117840,,,,
1736242011107,1294300,,1272556,
1736242011108,,1278060,,
1736242012100,117928,,,,
1736242012108,,1278140,1272556,
1736242012109,1294300,,,
1736242013099,117928,,,,
1736242013105,1303012,,,
1736242013106,,1278140,1272628,
1736242014100,117928,,,,
1736242014106,,,1280628,
1736242014108,1303108,1287464,,
1736242015100,117928,,,,
1736242015105,1303108,,,
1736242015106,,1287504,,
1736242015107,,,1280628,
1736242016100,117928,,,,
1736242016105,1303108,,,
1736242016106,,1287504,1280628,
1736242017099,118012,,,,
1736242017105,1310856,,1288628,
1736242017106,,1287616,,
1736242018099,118012,,,,
1736242018105,1310856,1293952,1288628,
1736242019100,118012,,,,
1736242019105,1310856,,,
1736242019106,,1293952,1288628,
1736242020100,118012,,,,
1736242020107,1310856,1293952,1288628,
1736242021099,118012,,,,
1736242021105,1317984,1293952,,
1736242021106,,,1295756,
1736242022099,118012,,,,
1736242022106,,1300808,,
1736242022109,,,1295836,
1736242022114,1317984,,,
1736242023099,118012,,,,
1736242023106,1318052,1300808,1295836,
1736242024099,118012,,,,
1736242024105,1326236,,,
1736242024106,,,1295844,
1736242024108,,1300808,,
1736242025100,118024,,,,
1736242025107,1326260,,1304568,
1736242025111,,1300816,,
1736242026099,118024,,,,
1736242026105,1326264,1307940,1304568,
1736242027099,118024,,,,
1736242027105,1326272,,,
1736242027106,,1307940,1304568,
1736242028099,118024,,,,
1736242028105,,,1304568,
1736242028106,1332872,1307940,,
1736242029099,118024,,,,
1736242029105,1332872,1307940,1311960,
1736242030099,118112,,,,
1736242030107,1332872,1314880,1311960,
1736242031100,118112,,,,
1736242031105,1332872,,1311960,
1736242031106,,1314880,,
1736242032100,118112,,,,
1736242032105,1340788,1314880,,
1736242032106,,,1312184,
1736242033100,118112,,,,
1736242033105,1340788,1314880,1319840,
1736242034099,118112,,,,
1736242034105,1340788,,,
1736242034106,,1321216,,
1736242034109,,,1319840,
1736242035099,118112,,,,
1736242035106,1340788,,,
1736242035107,,1321216,1319840,
1736242036100,118112,,,,
1736242036104,1348436,,,
1736242036105,,1321216,1319840,
1736242037099,118208,,,,
1736242037106,,1321356,1327492,
1736242037107,1348520,,,
1736242038099,118208,,,,
1736242038104,1368504,,1327492,
1736242038107,,1327956,,
1736242039101,118208,,,,
1736242039104,1362212,,1327492,
1736242039105,,1327956,,
1736242040099,118208,,,,
1736242040105,1369604,,1327492,
1736242040108,,1327956,,
1736242041099,118208,,,,
1736242041105,1369604,1327956,1335412,
1736242042101,118208,,,,
1736242042104,1369620,,,
1736242042105,,,1335412,
1736242042106,,1334556,,
1736242043099,118208,,,,
1736242043105,1369620,1335336,1336368,
1736242044099,118208,,,,
1736242044105,1376748,,,
1736242044107,,,1343496,
1736242044109,,1335336,,
1736242045099,118208,,,,
1736242045104,1376840,,,
1736242045105,,1335336,1343496,
1736242046100,118212,,,,
1736242046107,1376928,,,
1736242046109,,,1343488,
1736242046111,,1342412,,
1736242047099,118312,,,,
1736242047105,1384956,1342608,1343588,
1736242048099,118312,,,,
1736242048105,1385332,,1351508,
1736242048106,,1342940,,
1736242049099,118312,,,,
1736242049105,1385332,,1351508,
1736242049106,,1342940,,
1736242050099,118312,,,,
1736242050104,1385416,,,
1736242050106,,1350056,1351824,
1736242051104,118548,,,,
1736242051106,1390440,,,
1736242051107,,1356160,,
1736242051108,,,1358264,
1736242052100,118548,,,,
1736242052105,,,1358264,
1736242052106,1390444,,,
1736242052107,,1358268,,
1736242053097,118548,,,,
1736242053105,1390552,,1358428,
1736242053109,,1358336,,
1736242054103,143336,,,,
1736242054106,,1359584,1362464,
1736242054107,1403756,,,
1736242055100,143408,,,,
1736242055105,1418276,1373956,1383024,
1736242056100,143408,,,,
1736242056105,,1373956,,
1736242056106,1418276,,1383024,
1736242057099,143408,,,,
1736242057106,1418276,,1383024,
1736242057107,,1373956,,
1736242058101,126748,,,,
1736242058105,,1373956,1383024,
1736242058106,1418348,,,
1736242059099,126944,,,,
1736242059105,,1374220,,
1736242059106,1419404,,1383580,
1736242060102,126944,,,,
1736242060106,1419404,1374220,1383580,
1736242061099,127736,,,,
1736242061105,1419404,1374220,1383580,
1736242062099,127736,,,,
1736242062104,,1374220,,
1736242062105,1419404,,1383580,
1736242063100,127736,,,,
1736242063105,1419404,,1383580,
1736242063106,,1374220,,
1736242064099,127736,,,,
1736242064105,,,1383580,
1736242064107,1419404,1374220,,
1736242065099,127736,,,,
1736242065107,1419404,1374296,,
1736242065110,,,1383580,
1736242066099,127820,,,,
1736242066105,1419404,1374296,,
1736242066106,,,1383580,
1736242067101,127820,,,,
1736242067105,,1374296,,
1736242067106,1419532,,1383580,
1736242068100,127820,,,,
1736242068104,1419532,,,
1736242068106,,1374296,1383580,
1736242069099,127820,,,,
1736242069105,1419608,1374360,1383656,
1736242070099,127820,,,,
1736242070105,,1374360,,
1736242070106,1419608,,1383656,
1736242071102,127820,,,,
1736242071105,1419608,,,
1736242071107,,1374360,1383656,
1736242072099,127876,,,,
1736242072105,1419608,1374360,1383656,
1736242073098,127876,,,,
1736242073105,1419608,1374360,,
1736242073108,,,1383656,
1736242074099,127876,,,,
1736242074104,1421456,,,
1736242074105,,1374360,1383920,
1736242075098,127876,,,,
1736242075105,1421456,1374360,1383924,
1736242076099,127876,,,,
1736242076105,1421456,1374360,,
1736242076106,,,1383992,
1736242077099,127876,,,,
1736242077104,1421456,,,
1736242077106,,1374360,1383992,
1736242078099,127876,,,,
1736242078105,1421456,1374360,1384784,
1736242079098,127876,,,,
1736242079105,1421456,,1384784,
1736242079106,,1375152,,
1736242080099,127876,,,,
1736242080105,1421456,1375236,1384784,
1736242081099,127876,,,,
1736242081105,1421456,1375236,1384784,
1736242082099,127876,,,,
1736242082105,1422876,1375236,1386104,
1736242083099,127876,,,,
1736242083104,1422876,,,
1736242083106,,,1386104,
1736242083109,,1375764,,
1736242084099,127876,,,,
1736242084105,1422876,,1386104,
1736242084110,,1375764,,
1736242085099,127876,,,,
1736242085105,,,1386104,
1736242085107,1422940,,,
1736242085109,,1375764,,
1736242086099,127972,,,,
1736242086105,,,1386632,
1736242086106,1423732,,,
1736242086109,,1375764,,
1736242087099,127972,,,,
1736242087105,1423732,,1386632,
1736242087107,,1375764,,
1736242088099,127972,,,,
1736242088104,1423732,,,
1736242088105,,1375764,1386632,
1736242089099,127972,,,,
1736242089105,1423732,,1386632,
1736242089106,,1375764,,
1736242090099,127972,,,,
1736242090105,1423732,1375764,,
1736242090107,,,1386632,
1736242091099,127972,,,,
1736242091105,1423732,1377084,,
1736242091106,,,1386772,
1736242092099,127972,,,,
1736242092106,,,1386772,
1736242092108,,1377148,,
1736242092113,1423732,,,
1736242093098,127972,,,,
1736242093105,1424260,,1386772,
1736242093107,,1377148,,
1736242094098,128008,,,,
1736242094105,1424324,1377148,1387300,
1736242095099,128008,,,,
1736242095105,,,1387300,
1736242095106,,1377412,,
1736242095110,1424324,,,
1736242096100,128008,,,,
1736242096105,1424324,1377412,1387300,
1736242097099,128008,,,,
1736242097104,1424588,,,
1736242097105,,,1388620,
1736242097106,,1377412,,
1736242098099,128008,,,,
1736242098105,1424588,1377412,1388620,
1736242099099,128008,,,,
1736242099104,1424588,,1388620,
1736242099105,,1377676,,
1736242100099,128008,,,,
1736242100105,,1377676,,
1736242100106,1424588,,1388620,
1736242101099,128008,,,,
1736242101105,1424852,1377676,1388884,
1736242102099,128008,,,,
1736242102104,1424772,,,
1736242102105,,,1388884,
1736242102109,,1377764,,
1736242103099,128008,,,,
1736242103105,1424772,,,
1736242103106,,1378308,1389132,
1736242104099,128008,,,,
1736242104104,1424772,,,
1736242104105,,1378308,1389132,
1736242105099,128008,,,,
1736242105105,1425300,1378328,1389396,
1736242106099,128008,,,,
1736242106105,1425300,,1389396,
1736242106107,,1378328,,
1736242107099,128008,,,,
1736242107104,1425300,,1389396,
1736242107105,,1379120,,
1736242108099,128072,,,,
1736242108105,1425300,1379120,1389396,
1736242109100,128072,,,,
1736242109106,1425668,,,
1736242109108,,,1390716,
1736242109109,,1379120,,
1736242110103,128104,,,,
1736242110107,,,1390816,
1736242110108,1425732,,,
1736242110112,,1379124,,
1736242111099,128104,,,,
1736242111105,,1380156,1390948,
1736242111106,1425744,,,
1736242112099,128108,,,,
1736242112105,1426200,1380232,1391092,
1736242113099,128108,,,,
1736242113104,1426704,,,
1736242113105,,1380576,1391692,
1736242114099,128108,,,,
1736242114105,1426704,1380576,1391744,
1736242115098,128108,,,,
1736242115105,,1381632,,
1736242115106,1426784,,1391744,
1736242116099,128188,,,,
1736242116105,1427312,1381632,1391744,
1736242117099,128188,,,,
1736242117105,1427312,1381632,1392272,
1736242118099,128188,,,,
1736242118104,1427312,,1392272,
1736242118105,,1381632,,
1736242119099,128188,,,,
1736242119105,1427312,1381632,1392272,
1736242120099,128188,,,,
1736242120104,1427840,,1393856,
1736242120105,,1381632,,
1736242121099,128188,,,,
1736242121105,1427840,1381632,1393856,
1736242122099,128188,,,,
1736242122104,1427840,,,
1736242122105,,1381632,1393856,
1736242123099,128188,,,,
1736242123105,1427840,,1393856,
1736242123106,,1382424,,
1736242124099,128188,,,,
1736242124104,1428104,1382424,1393856,
1736242125099,128188,,,,
1736242125104,1428104,,1393856,
1736242125105,,1382424,,
1736242126099,128188,,,,
1736242126105,1428104,1382424,1393888,
1736242127099,128188,,,,
1736242127105,1428104,1383216,1393888,
1736242128099,128188,,,,
1736242128104,1428368,,,
1736242128105,,1383216,1397320,
1736242129099,128188,,,,
1736242129104,1428368,1383216,1397320,
1736242130099,128188,,,,
1736242130104,1428368,,1397320,
1736242130105,,1383216,,
1736242131111,128188,,1383480,1397320,
1736242131113,1436024,,,
1736242132099,128188,,,,
1736242132104,1436024,1383480,1404712,
1736242133099,128188,,,,
1736242133104,1436024,,1404712,
1736242133105,,1383480,,
1736242134099,128188,,,,
1736242134104,1436024,,1404712,
1736242134105,,1383480,,
1736242135099,128188,,,,
1736242135104,,1385064,1404712,
1736242135105,1443148,,,
1736242136099,128188,,,,
1736242136104,1443148,1385064,,
1736242136105,,,1412368,
1736242137099,128188,,,,
1736242137105,1443148,1385168,1412368,
1736242138099,128188,,,,
1736242138105,1443148,,1412368,
1736242138107,,1385168,,
1736242139099,128188,,,,
1736242139105,1450272,1391768,1412368,
1736242140099,128188,,,,
1736242140104,1450272,,,
1736242140105,,1391768,1419496,
1736242141098,128188,,,,
1736242141104,1450272,,,
1736242141105,,1391768,1419496,
1736242142099,128188,,,,
1736242142105,,,1419496,
1736242142106,1450272,1391768,,
1736242143099,128188,,,,
1736242143105,1457660,1398100,1427412,
1736242144099,128188,,,,
1736242144104,,,1427412,
1736242144105,1457660,,,
1736242144106,,1398100,,
1736242145098,128192,,,,
1736242145105,1457660,1398100,1427412,
1736242146099,128192,,,,
1736242146105,1457660,,,
1736242146106,,1398136,1427412,
1736242147099,128192,,,,
1736242147105,1465580,1404472,1434804,
1736242148099,128192,,,,
1736242148105,1465668,1404472,1434804,
1736242149099,128192,,,,
1736242149104,1465668,,1434804,
1736242149105,,1404472,,
1736242150099,128192,,,,
1736242150105,,1404472,1434804,
1736242150106,1465668,,,
1736242151099,128192,,,,
1736242151105,1472792,,1442724,
1736242151106,,1411072,,
1736242152098,128192,,,,
1736242152107,,1411072,,
1736242152108,1472792,,,
1736242152111,,,1442724,
1736242153099,128192,,,,
1736242153106,,,1442800,
1736242153110,,1411148,,
1736242153114,1472792,,,
1736242154099,128192,,,,
1736242154107,1480456,1411148,,
1736242154108,,,1442800,
1736242155099,128192,,,,
1736242155105,1480456,1417220,1449400,
1736242156099,128192,,,,
1736242156105,,,1449400,
1736242156106,1480512,1417220,,
1736242157099,128192,,,,
1736242157105,1480512,1417220,1449400,
1736242158098,128192,,,,
1736242158103,1487640,,,
1736242158104,,1417220,,
1736242158105,,,1449400,
1736242159099,128192,,,,
1736242159104,1487640,,,
1736242159105,,1424080,1457576,
1736242160099,128192,,,,
1736242160104,1487640,,,
1736242160105,,,1457576,
1736242160108,,1424080,,
1736242161099,128192,,,,
1736242161105,1487640,,,
1736242161107,,1424080,1457576,
1736242162099,128192,,,,
1736242162104,1495292,,,
1736242162105,,1424080,1457576,
1736242163099,128192,,,,
1736242163104,1495292,,,
1736242163105,,1430636,1464764,
1736242164099,128192,,,,
1736242164104,1495292,,,
1736242164106,,1430636,1464764,
1736242165099,128192,,,,
1736242165105,1495292,,,
1736242165114,,,1464764,
1736242165116,,1430636,,
1736242166099,128192,,,,
1736242166104,1502948,1430636,,
1736242166105,,,1472412,
1736242167099,128192,,,,
1736242167104,1502948,,,
1736242167105,,1437236,1472412,
1736242168099,128192,,,,
1736242168104,1502948,1437236,1472412,
1736242169099,128192,,,,
1736242169104,1502948,,,
1736242169105,,1437236,1472412,
1736242170099,128256,,,,
1736242170104,1509812,1437236,1479800,
1736242171099,128256,,,,
1736242171104,1509812,1444100,1479800,
1736242172099,128256,,,,
1736242172105,1509812,1444100,1479800,
1736242173099,128256,,,,
1736242173104,1509872,1444100,1479800,
1736242174099,128256,,,,
1736242174105,1518060,,,
1736242174106,,1444100,1487716,
1736242175099,128256,,,,
1736242175106,,,1487716,
1736242175111,1518060,,,
1736242175121,,1450172,,
1736242176099,128256,,,,
1736242176104,1518068,,,
1736242176105,,1450236,1487748,
1736242177099,128256,,,,
1736242177105,1518068,1450236,1487748,
1736242178099,128348,,,,
1736242178104,1525272,,1494872,
1736242178105,,1450236,,
1736242179099,128348,,,,
1736242179105,1525272,,1494872,
1736242179108,,1456308,,
1736242180099,128348,,,,
1736242180104,1525272,1456372,1494872,
1736242181099,128348,,,,
1736242181104,1532664,1456372,,
1736242181108,,,1494872,
1736242182099,128348,,,,
1736242182105,,1456372,1502528,
1736242182106,1532664,,,
1736242183099,128348,,,,
1736242183104,1532664,1462704,1502532,
1736242184099,128348,,,,
1736242184105,,1462788,1502532,
1736242184106,1532664,,,
1736242185099,128348,,,,
1736242185105,1539792,1462788,1502532,
1736242186099,128348,,,,
1736242186105,1539792,1462788,1510272,
1736242187099,128348,,,,
1736242187104,1539792,,1510272,
1736242187108,,1470180,,
1736242188099,128348,,,,
1736242188104,1539792,,1510272,
1736242188105,,1470180,,
1736242189099,128348,,,,
1736242189105,,,1510272,
1736242189106,,1470180,,
1736242189107,1547448,,,
1736242190098,128348,,,,
1736242190104,,1470180,1517928,
1736242190105,1547448,,,
1736242191099,128348,,,,
1736242191104,1547448,,,
1736242191105,,1476512,,
1736242191110,,,1517848,
1736242192099,128384,,,,
1736242192105,1547448,1476512,1517848,
1736242193099,128384,,,,
1736242193104,1554840,,1517848,
1736242193105,,1476512,,
1736242194099,128384,,,,
1736242194104,1554840,,1525232,
1736242194105,,1476512,,
1736242195099,128384,,,,
1736242195104,1554840,1482848,1525232,
1736242196098,128384,,,,
1736242196105,,1482848,1525232,
1736242196106,1554840,,,
1736242197099,128384,,,,
1736242197104,1562232,,,
1736242197105,,,1532888,
1736242197108,,1482848,,
1736242198098,128428,,,,
1736242198105,,,1532888,
1736242198107,,1482848,,
1736242198109,1562232,,,
1736242199099,142724,,,,
1736242199105,1562232,1489448,1532888,
1736242200099,142812,,,,
1736242200104,1569360,1489448,,
1736242200105,,,1532888,
1736242201098,142900,,,,
1736242201104,1569360,1489448,1540012,
1736242202098,142984,,,,
1736242202104,1569360,1489448,1540012,
1736242203099,136104,,,,
1736242203104,1569360,,1540012,
1736242203105,,1495784,,
1736242204098,136188,,,,
1736242204104,1577016,1495784,1540012,
1736242205099,136276,,,,
1736242205104,,1495784,1547932,
1736242205105,1577016,,,
1736242206099,136364,,,,
1736242206105,1577088,,,
1736242206106,,1495784,1547932,
1736242207099,136456,,,,
1736242207104,1577088,1502200,1547932,
1736242208099,136544,,,,
1736242208104,1584480,1502200,,
1736242208105,,,1547932,
1736242209099,136628,,,,
1736242209104,,,1555324,
1736242209105,1584480,1502200,,
1736242210099,136716,,,,
1736242210104,1584480,,,
1736242210105,,1502200,,
1736242210106,,,1555324,
1736242211099,136804,,,,
1736242211108,1584480,1508800,,
1736242211110,,,1555324,
1736242212099,136892,,,,
1736242212105,1591608,,1555324,
1736242212109,,1508800,,
1736242213099,136980,,,,
1736242213104,1591608,,,
1736242213105,,1508800,1562452,
1736242214098,137064,,,,
1736242214104,1591608,1508800,1562452,
1736242215099,137152,,,,
1736242215104,1591608,,1562452,
1736242215105,,1515400,,
