
===================================
Domain Marker;critical-jOPS;2446.0
Domain Marker;max-jOPS;10654.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;500.0;1600.0;2100.0;2405.000000000018;3300.0;122000.0
277.0;500.0;1900.0;2700.0;3100.0;3800.0;127000.0
415.0;400.0;2200.0;3300.0;3700.0;4600.0;129000.0
553.0;400.0;2400.0;3900.0;4400.0;5700.0;130000.0
692.0;400.0;2700.0;4600.0;5400.0;35000.0;1400000.0
830.0;500.0;2900.0;4900.0;5400.0;6800.0;120000.0
969.0;400.0;3100.0;5400.0;6100.0;7300.0;124000.0
1107.0;400.0;3200.0;6000.0;6800.0;9300.0;129000.0
1245.0;400.0;3300.0;6400.0;7300.0;9300.0;135000.0
1384.0;400.0;3400.0;6700.0;7700.0;9800.0;139000.0
1522.0;400.0;3500.0;7200.0;8300.0;10900.0;131000.0
1660.0;400.0;3600.0;7600.0;8900.0;75000.0;1100000.0
1799.0;400.0;3500.0;7500.0;8700.0;11100.0;110000.0
1937.0;400.0;3600.0;7700.0;9500.0;98000.0;980000.0
2076.0;400.0;3700.0;7700.0;9200.0;53000.0;960000.0
2214.0;500.0;3600.0;7400.0;8700.0;11700.0;81000.0
2352.0;400.0;3600.0;7400.0;9000.0;70000.0;960000.0
2491.0;400.0;3600.0;7400.0;9100.0;66000.0;1000000.0
2629.0;400.0;3600.0;7300.0;8600.0;11900.0;970000.0
2767.0;400.0;3700.0;7400.0;8800.0;21000.0;98000.0
2906.0;400.0;3600.0;7200.0;8600.0;12400.0;960000.0
3044.0;400.0;3600.0;7400.0;9200.0;150239.9999999907;960000.0
3183.0;400.0;3700.0;7500.0;9000.0;15400.0;990000.0
3321.0;400.0;3700.0;7400.0;9100.0;75000.0;970000.0
3459.0;400.0;3800.0;8000.0;11500.0;368000.0;497000.0
3598.0;300.0;3800.0;7600.0;9600.0;70000.0;970000.0
3736.0;400.0;3800.0;7900.0;11600.0;168049.99999998836;980000.0
3874.0;400.0;3800.0;7500.0;9400.0;85000.0;960000.0
4013.0;400.0;3900.0;7800.0;10600.0;252000.0;379000.0
4151.0;400.0;4000.0;8200.0;12600.0;127000.0;980000.0
4289.0;300.0;3900.0;8000.0;12400.0;372950.00000001164;1500000.0
4428.0;400.0;4100.0;9100.0;26000.0;471000.0;980000.0
4566.0;400.0;4100.0;8100.0;12700.0;227000.0;990000.0
4705.0;400.0;4200.0;8400.0;13200.0;278000.0;1000000.0
4843.0;400.0;4100.0;8500.0;15300.0;376000.0;1100000.0
4981.0;400.0;4200.0;8200.0;13609.999999997672;417000.0;1000000.0
5120.0;400.0;4400.0;9900.0;26000.0;381000.0;980000.0
5258.0;400.0;4400.0;10800.0;71000.0;459000.0;990000.0
5396.0;400.0;4500.0;10800.0;68000.0;574000.0;1100000.0
5535.0;400.0;4400.0;8700.0;14600.0;59000.0;167000.0
5673.0;400.0;4600.0;10800.0;34000.0;483000.0;1100000.0
5812.0;400.0;4700.0;12100.0;29000.0;131000.0;990000.0
5950.0;400.0;5000.0;28000.0;211000.0;370000.0;1700000.0
6088.0;400.0;5100.0;24000.0;146000.0;473000.0;1100000.0
6227.0;400.0;5100.0;19200.0;76000.0;518000.0;1000000.0
6365.0;300.0;5300.0;22000.0;79000.0;304000.0;1000000.0
6503.0;400.0;5400.0;27000.0;137000.0;528000.0;1100000.0
6642.0;400.0;5600.0;28000.0;111000.0;620000.0;980000.0
6780.0;300.0;5800.0;45000.0;186000.0;527000.0;1100000.0
6918.0;400.0;5800.0;35000.0;231000.0;760000.0;1100000.0
7057.0;300.0;6100.0;38000.0;143000.0;670000.0;1100000.0
7195.0;300.0;6800.0;210000.0;416000.0;820000.0;2400000.0
7334.0;400.0;6500.0;36000.0;141000.0;467000.0;980000.0
