
===================================
Domain Marker;critical-jOPS;3437.0
Domain Marker;max-jOPS;9447.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
103.0;500.0;1600.0;2000.0;2100.0;2681.00000000004;61000.0
205.0;300.0;1700.0;2300.0;2500.0;3200.0;113000.0
308.0;400.0;1900.0;2800.0;3100.0;3800.0;67000.0
411.0;500.0;2100.0;3300.0;3600.0;4400.0;110000.0
513.0;400.0;2300.0;3700.0;4100.0;4900.0;97000.0
616.0;400.0;2500.0;4100.0;4600.0;5800.0;110000.0
719.0;500.0;2700.0;4600.0;5100.0;6400.0;119000.0
822.0;400.0;2800.0;4900.0;5500.0;7000.0;115000.0
924.0;400.0;2900.0;5400.0;6000.0;7200.0;113000.0
1027.0;400.0;3000.0;5700.0;6400.0;8400.0;216000.0
1130.0;400.0;3200.0;6100.0;6800.0;8500.0;171000.0
1232.0;400.0;3300.0;6400.0;7200.0;8800.0;124000.0
1335.0;400.0;3300.0;6700.0;7600.0;9300.0;214000.0
1438.0;500.0;3300.0;6900.0;7900.0;10000.0;140000.0
1540.0;400.0;3300.0;7000.0;8100.0;10200.0;114000.0
1643.0;400.0;3400.0;7200.0;8400.0;10800.0;122000.0
1746.0;400.0;3500.0;7400.0;8600.0;11400.0;141000.0
1848.0;400.0;3400.0;7400.0;8600.0;11500.0;120000.0
1951.0;400.0;3400.0;7200.0;8500.0;11700.0;134000.0
2054.0;400.0;3400.0;7300.0;8800.0;13200.0;204000.0
2156.0;400.0;3400.0;7100.0;8600.0;13400.0;134000.0
2259.0;400.0;3500.0;7300.0;8800.0;18400.0;202000.0
2362.0;400.0;3500.0;7200.0;8600.0;12416.00000000035;116000.0
2465.0;500.0;3500.0;7200.0;8700.0;19700.0;179000.0
2567.0;400.0;3500.0;7100.0;8500.0;13100.0;150000.0
2670.0;400.0;3500.0;7300.0;8900.0;25000.0;174000.0
2773.0;400.0;3600.0;7200.0;8800.0;36000.0;223000.0
2875.0;400.0;3600.0;7000.0;8500.0;21000.0;217000.0
2978.0;300.0;3600.0;7000.0;8500.0;28000.0;217000.0
3081.0;400.0;3700.0;7300.0;9000.0;26000.0;149000.0
3183.0;400.0;3700.0;7200.0;8900.0;31000.0;236000.0
3286.0;400.0;3700.0;7400.0;9300.0;42000.0;292000.0
3389.0;400.0;3800.0;7400.0;9300.0;43000.0;292000.0
3491.0;400.0;3800.0;7300.0;8900.0;26000.0;180000.0
3594.0;400.0;3800.0;7500.0;9400.0;41000.0;220000.0
3697.0;400.0;3800.0;7600.0;9800.0;82690.00000000233;283000.0
3800.0;400.0;3900.0;7800.0;10500.0;62000.0;205000.0
3902.0;400.0;3900.0;7800.0;10100.0;47000.0;203000.0
4005.0;400.0;4000.0;8100.0;10700.0;62000.0;260000.0
4108.0;400.0;3900.0;7900.0;10500.0;58000.0;211000.0
4210.0;400.0;4000.0;8100.0;11900.0;63000.0;213000.0
4313.0;300.0;4000.0;8000.0;11900.0;61000.0;289000.0
4416.0;400.0;4100.0;8300.0;12100.0;65000.0;208000.0
4518.0;400.0;4100.0;8500.0;12900.0;59000.0;305000.0
4621.0;400.0;4200.0;8400.0;12500.0;55000.0;200000.0
4724.0;400.0;4300.0;9200.0;15900.0;58000.0;332000.0
4826.0;400.0;4400.0;9300.0;15200.0;75000.0;350000.0
4929.0;400.0;4400.0;9500.0;14900.0;54000.0;273000.0
5032.0;400.0;4500.0;10000.0;19700.0;80000.0;301000.0
5134.0;400.0;4500.0;10400.0;23000.0;94000.0;431000.0
5237.0;300.0;4700.0;10600.0;22000.0;80000.0;335000.0
5340.0;300.0;4700.0;10800.0;23000.0;62000.0;350000.0
5443.0;400.0;4800.0;11500.0;23000.0;89000.0;406000.0
5545.0;400.0;4800.0;11700.0;28000.0;84000.0;455000.0
5648.0;400.0;5000.0;13400.0;31000.0;96000.0;445000.0
5751.0;400.0;5200.0;16400.0;38000.0;110000.0;543000.0
5853.0;400.0;5300.0;16800.0;32000.0;77000.0;423000.0
5956.0;300.0;5300.0;16500.0;33000.0;95000.0;455000.0
6059.0;400.0;5500.0;18500.0;40000.0;106000.0;435000.0
6161.0;300.0;5800.0;23000.0;45000.0;99000.0;569000.0
6264.0;400.0;5800.0;24000.0;45000.0;103000.0;486000.0
6367.0;300.0;5900.0;24000.0;45000.0;101000.0;461000.0
6469.0;400.0;6200.0;31000.0;58000.0;122000.0;990000.0
6572.0;400.0;6200.0;27000.0;50000.0;99000.0;900000.0
6675.0;400.0;6300.0;32000.0;54000.0;105000.0;482000.0
6778.0;300.0;6600.0;42000.0;67000.0;114000.0;1300000.0
6880.0;300.0;6800.0;42000.0;66000.0;132000.0;710000.0
6983.0;300.0;6900.0;43000.0;71000.0;134000.0;910000.0
7086.0;300.0;7300.0;51000.0;80000.0;145000.0;810000.0
7188.0;400.0;7400.0;54000.0;84000.0;155000.0;970000.0
7291.0;400.0;7900.0;54000.0;83000.0;139000.0;900000.0
7394.0;400.0;8000.0;62000.0;94000.0;148909.9999999744;1300000.0
7496.0;300.0;8700.0;65000.0;100000.0;192000.0;1400000.0
7599.0;400.0;9100.0;68000.0;93000.0;161000.0;2100000.0
7702.0;400.0;9500.0;75000.0;103000.0;169000.0;1300000.0
7804.0;400.0;10100.0;78000.0;110000.0;159000.0;1500000.0
7907.0;400.0;11800.0;94000.0;129000.0;230000.0;2300000.0
8010.0;400.0;16700.0;111000.0;142000.0;232000.0;2300000.0
8113.0;400.0;18700.0;130000.0;168000.0;245000.0;3100000.0
8215.0;400.0;22000.0;135000.0;176000.0;255000.0;3000000.0
8318.0;400.0;26000.0;155000.0;188000.0;298000.0;2500000.0
8421.0;300.0;26000.0;150000.0;194000.0;307000.0;2900000.0
8523.0;300.0;41000.0;173000.0;209000.0;288000.0;3400000.0
8626.0;400.0;36000.0;209000.0;261000.0;328000.0;2500000.0
8729.0;400.0;49000.0;212000.0;263000.0;345000.0;4500000.0
8831.0;400.0;67000.0;213000.0;252000.0;320000.0;4600000.0
8934.0;300.0;93000.0;249000.0;323000.0;413000.0;4500000.0
9037.0;300.0;101000.0;308000.0;368000.0;484000.0;3700000.0
9139.0;400.0;110000.0;301000.0;347000.0;468000.0;4100000.0
9242.0;400.0;161000.0;373000.0;437000.0;590000.0;6800000.0
9345.0;500.0;246000.0;470000.0;531000.0;890000.0;1.0E7
9447.0;400.0;374000.0;700000.0;800000.0;990000.0;1.6E7
9550.0;1500.0;700000.0;1500000.0;2100000.0;4600000.0;3.2E7
9653.0;58000.0;860000.0;2300000.0;3000000.0;5300000.0;2.4E7
9756.0;131000.0;770000.0;1200000.0;1300000.0;1700000.0;4.6E7
9858.0;69000.0;1200000.0;2800000.0;4200000.0;1.2E7;3.4E7
