MemTotal:       32755048 kB
MemFree:         7296516 kB
MemAvailable:   31329500 kB
Buffers:          762708 kB
Cached:         23248164 kB
SwapCached:            0 kB
Active:         13640876 kB
Inactive:       10654508 kB
Active(anon):       1792 kB
Inactive(anon):   446452 kB
Active(file):   13639084 kB
Inactive(file): 10208056 kB
Unevictable:      154084 kB
Mlocked:            5500 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3876 kB
Writeback:             0 kB
AnonPages:        438428 kB
Mapped:           292012 kB
Shmem:            158776 kB
KReclaimable:     648956 kB
Slab:             846884 kB
SReclaimable:     648956 kB
SUnreclaim:       197928 kB
KernelStack:        7920 kB
PageTables:        15540 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16377524 kB
Committed_AS:    3278532 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       34572 kB
VmallocChunk:          0 kB
Percpu:            44288 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      185336 kB
DirectMap2M:     8089600 kB
DirectMap1G:    26214400 kB
