Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;3951.0
Domain Marker;max-jOPS;9700.0
Domain Marker;Last Success for SLAs;6813.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
115;91.31852996572188
231;92.47657390384325
346;93.91657402661718
462;93.66761140930288
577;94.8350099892084
693;95.0616416799287
808;95.39959601195788
924;96.32609886321437
1039;96.01909201372045
1155;95.92018130294431
1270;96.46270593724824
1386;96.12011851740627
1501;96.19123866161219
1617;96.44464421692591
1732;96.58639043071548
1848;96.58127076054497
1963;96.40894167325084
2079;96.61503644611189
2194;96.66543749393753
2310;96.87139546673596
2425;96.7159076233174
2541;97.08948147374403
2656;96.86304534870206
2772;96.59284442005705
2887;97.27927203113829
3002;97.01722330609881
3118;96.67371733757507
3233;97.32729927916553
3349;97.02124994194185
3464;96.95719851405661
3580;97.16213056684774
3695;97.0620359425783
3811;97.4449836381924
3926;96.81776628967845
4042;97.40725457425522
4157;97.02695773356582
4273;97.19785209859914
4388;97.60526328140757
4504;97.22736437668887
4619;97.66861781397152
4735;97.28171372903768
4850;97.56560347570873
4966;97.56066317745038
5081;97.3570033775065
5197;97.5554832973711
5312;97.02939856049899
5428;97.63154932030967
5543;97.64643587650015
5659;97.3595137522508
5774;97.66174066510263
5889;97.6071614620847
6005;97.40031799243356
6120;97.52829721418355
6236;97.93726081301972
6351;97.70430433415069
6467;97.45785661247028
6582;95.60003358846953
6698;93.8021388422955
6813;91.91760010386659
6929;90.09256012432644
7044;88.78997526093407
7160;87.35845925816996
7275;86.20048196997328
7391;84.50850504231944
7506;83.46378645848324
7622;82.12536527328824
7737;80.4979324100847
7853;79.00755170281906
7968;77.70135897155222
8084;76.05103878105095
8199;75.11093925032134
8315;73.91838692248271
8430;72.54325842333368
8546;71.33321098559702
8661;68.37072511882859
8776;66.25459574647986
8892;65.13578223753197
9007;64.4039478088178
9123;63.04308838380709
9238;61.13616997899288
9354;59.89652902257995
9469;54.968150585546915
9585;46.77664723836263
9700;31.33869815619355
9816;30.484583535123132
9931;15.059535102463006
10047;9.862067888148397
10162;8.629626792281982
