Timestamp,Slave 0,Slave 1,Slave 2,
1707043188960,0,,,,
1707043188965,0,0,0,
1707043188973,28,,,,
1707043188974,100,,,
1707043188976,,118,,
1707043189007,,,117,
1707043189960,28,,,,
1707043189966,131,36,146,
1707043190961,28,,,,
1707043190966,163,57,,
1707043190969,,,43,
1707043191960,28,,,,
1707043191966,47,,67,
1707043191968,,80,,
1707043192961,28,,,,
1707043192965,72,104,,
1707043192967,,,91,
1707043193961,28,,,,
1707043193966,,163,,
1707043193968,,,152,
1707043193971,106,,,
1707043194960,28,,,,
1707043194965,266,,,
1707043194966,,318,313,
1707043195960,28,,,,
1707043195966,460,193,117,
1707043196961,28,,,,
1707043196966,515,247,170,
1707043197960,28,,,,
1707043197966,554,283,,
1707043197967,,,207,
1707043198960,28,,,,
1707043198966,,187,305,
1707043198967,196,,,
1707043199960,28,,,,
1707043199965,336,,,
1707043199966,,113,,
1707043199967,,,220,
1707043200960,28,,,,
1707043200965,,289,,
1707043200966,233,,120,
1707043201960,28,,,,
1707043201965,411,469,,
1707043201966,,,296,
1707043202960,28,,,,
1707043202966,237,235,159,
1707043203962,32,,,,
1707043203967,428,425,,
1707043203970,,,345,
1707043204960,32,,,,
1707043204966,238,,527,
1707043204967,,165,,
1707043205960,32,,,,
1707043205965,,357,,
1707043205966,432,,270,
1707043206960,32,,,,
1707043206965,627,552,,
1707043206966,,,460,
1707043207960,32,,,,
1707043207965,191,740,,
1707043207966,,,645,
1707043208960,32,,,,
1707043208965,374,192,,
1707043208966,,,823,
1707043209960,32,,,,
1707043209965,564,,,
1707043209966,,383,,
1707043209967,,,254,
1707043210960,32,,,,
1707043210965,761,,,
1707043210966,,581,,
1707043210967,,,444,
1707043211960,32,,,,
1707043211965,219,770,,
1707043211966,,,629,
1707043212960,32,,,,
1707043212965,409,,,
1707043212966,,211,814,
1707043213960,32,,,,
1707043213965,604,404,,
1707043213966,,,252,
1707043214960,32,,,,
1707043214965,801,600,,
1707043214967,,,446,
1707043215960,32,,,,
1707043215965,248,793,,
1707043215966,,,634,
1707043216960,32,,,,
1707043216965,444,238,,
1707043216966,,,825,
1707043217960,32,,,,
1707043217965,639,432,,
1707043217966,,,266,
1707043218960,32,,,,
1707043218965,836,630,,
1707043218966,,,460,
1707043219960,32,,,,
1707043219965,286,827,,
1707043219966,,,651,
1707043220960,32,,,,
1707043220966,,269,843,
1707043220968,483,,,
1707043221960,32,,,,
1707043221965,675,464,,
1707043221968,,,287,
1707043222960,32,,,,
1707043222965,874,,,
1707043222966,,664,479,
1707043223960,32,,,,
1707043223965,315,,,
1707043223966,,855,667,
1707043224960,32,,,,
1707043224965,514,299,,
1707043224966,,,858,
1707043225960,32,,,,
1707043225965,708,,,
1707043225966,,,303,
1707043225967,,495,,
1707043226960,32,,,,
1707043226965,909,693,,
1707043226966,,,498,
1707043227960,32,,,,
1707043227965,357,887,,
1707043227966,,,689,
1707043228960,32,,,,
1707043228965,550,330,,
1707043228966,,,876,
1707043229960,32,,,,
1707043229965,745,525,,
1707043229966,,,318,
1707043230960,32,,,,
1707043230965,,724,,
1707043230967,,,511,
1707043230984,197,,,
1707043231960,32,,,,
1707043231965,395,919,,
1707043231966,,,702,
1707043232960,32,,,,
1707043232965,592,363,,
1707043232966,,,895,
1707043233960,32,,,,
1707043233965,788,559,,
1707043233967,,,341,
1707043234960,32,,,,
1707043234965,234,753,,
1707043234966,,,532,
1707043235960,32,,,,
1707043235965,432,,,
1707043235975,,,725,
1707043235982,,199,,
1707043236960,32,,,,
1707043236965,631,395,,
1707043236966,,,916,
1707043237960,32,,,,
1707043237965,827,591,,
1707043237967,,,360,
1707043238960,32,,,,
1707043238965,272,,,
1707043238966,,785,549,
1707043239960,32,,,,
1707043239965,465,225,,
1707043239966,,,737,
1707043240960,32,,,,
1707043240965,662,422,,
1707043240966,,,930,
1707043241960,32,,,,
1707043241965,857,617,,
1707043241966,,,372,
1707043242960,32,,,,
1707043242965,306,811,,
1707043242966,,,562,
1707043243960,32,,,,
1707043243965,500,254,,
1707043243966,,,753,
1707043244960,32,,,,
1707043244965,699,451,,
1707043244966,,,943,
1707043245960,32,,,,
1707043245965,893,645,,
1707043245966,,,386,
1707043246960,32,,,,
1707043246965,342,840,,
1707043246966,,,578,
1707043247960,32,,,,
1707043247965,538,,,
1707043247966,,283,769,
1707043248960,32,,,,
1707043248965,730,482,,
1707043248967,,,964,
1707043249960,32,,,,
1707043249965,928,678,,
1707043249966,,,404,
1707043250960,32,,,,
1707043250965,376,874,,
1707043250967,,,596,
1707043251960,32,,,,
1707043251965,574,318,,
1707043251966,,,787,
1707043252960,9,,,,
1707043252965,772,516,,
1707043252966,,,982,
1707043253960,9,,,,
1707043253965,967,712,,
1707043253966,,,425,
1707043254960,9,,,,
1707043254965,413,909,,
1707043254966,,,616,
1707043255960,9,,,,
1707043255965,612,350,,
1707043255966,,,809,
1707043256960,9,,,,
1707043256965,167,161,,
1707043256966,,,165,
1707043257960,9,,,,
1707043257965,398,388,,
1707043257967,,,393,
1707043258960,17,,,,
1707043258965,584,,,
1707043258966,,571,575,
1707043259960,21,,,,
1707043259965,761,746,,
1707043259966,,,745,
1707043260960,21,,,,
1707043260965,211,190,,
1707043260966,,,191,
1707043261960,21,,,,
1707043261965,411,388,,
1707043261966,,,387,
1707043262960,21,,,,
1707043262965,613,590,,
1707043262966,,,583,
1707043263960,21,,,,
1707043263965,812,788,,
1707043263966,,,779,
1707043264960,21,,,,
1707043264965,268,,,
1707043264966,,236,229,
1707043265960,21,,,,
1707043265965,468,436,,
1707043265966,,,422,
1707043266960,21,,,,
1707043266965,662,632,,
1707043266966,,,614,
1707043267960,21,,,,
1707043267965,858,826,,
1707043267966,,,803,
1707043268960,21,,,,
1707043268965,292,261,,
1707043268966,,,231,
1707043269960,21,,,,
1707043269965,492,458,,
1707043269966,,,426,
1707043270960,21,,,,
1707043270965,691,,,
1707043270966,,655,619,
1707043271960,21,,,,
1707043271965,138,851,,
1707043271966,,,810,
1707043272960,21,,,,
1707043272965,332,290,,
1707043272967,,,247,
1707043273960,21,,,,
1707043273965,529,,,
1707043273966,,489,441,
1707043274960,21,,,,
1707043274965,726,684,,
1707043274966,,,634,
1707043275961,21,,,,
1707043275965,169,,,
1707043275966,,126,823,
1707043276960,21,,,,
1707043276965,366,323,,
1707043276966,,,265,
1707043277960,21,,,,
1707043277965,565,523,,
1707043277966,,,461,
1707043278960,21,,,,
1707043278965,766,722,,
1707043278966,,,656,
1707043279960,21,,,,
1707043279965,212,163,,
1707043279966,,,846,
1707043280960,21,,,,
1707043280965,408,360,,
1707043280966,,,291,
1707043281960,21,,,,
1707043281965,605,558,,
1707043281966,,,485,
1707043282960,21,,,,
1707043282965,805,756,,
