Timestamp,Slave 0,Slave 1,Slave 2,
1707044631891,0,,,,
1707044631895,0.017259775309106884,,,,
1707044631897,,0,,
1707044631898,0,,,
1707044631899,,,0,
1707044631903,,0.13044350792695164,,
1707044631904,0.12948756518251103,,0.13028416507681495,
1707044632892,0.010030090270812437,,,,
1707044632898,0.33668341708542715,0.277359437751004,,
1707044632900,,,0.3278894472361809,
1707044633892,0.00125,,,,
1707044633898,0.3275,0.33783783783783783,,
1707044633901,,,0.28846153846153844,
1707044634892,0.0,,,,
1707044634898,0.295,0.35625,,
1707044634900,,,0.3253253253253253,
1707044635892,0.00125,,,,
1707044635898,0.3525,0.28375,,
1707044635900,,,0.3375,
1707044636892,0.0,,,,
1707044636898,0.3875,0.22477522477522477,,
1707044636900,,,0.2922077922077922,
1707044637892,0.00125,,,,
1707044637898,,0.2464964964964965,,
1707044637900,0.3246753246753247,,,
1707044637901,,,0.25724275724275725,
1707044638892,0.0,,,,
1707044638898,0.26401401401401403,0.3025,,
1707044638900,,,0.2605210420841683,
1707044639892,0.005,,,,
1707044639898,0.315,0.2875,,
1707044639900,,,0.3225,
1707044640892,0.00125,,,,
1707044640898,0.2375,0.35125,,
1707044640900,,,0.35125,
1707044641892,0.00125,,,,
1707044641898,0.37625,0.26,,
1707044641900,,,0.1925,
1707044642892,0.00125,,,,
1707044642898,,0.25875,,
1707044642899,0.24625,,,
1707044642900,,,0.29125,
1707044643893,0.0,,,,
1707044643898,0.2825,0.2425,,
1707044643900,,,0.25625,
1707044644892,0.00125,,,,
1707044644898,0.25875,0.255,,
1707044644900,,,0.24725274725274726,
1707044645892,0.0,,,,
1707044645898,0.26125,0.26375,,
1707044645900,,,0.24774774774774774,
1707044646893,0.00125,,,,
1707044646898,0.2525,0.25375,,
1707044646900,,,0.26875,
1707044647892,0.0,,,,
1707044647898,0.2625,0.26625,,
1707044647900,,,0.24875,
1707044648892,0.00125,,,,
1707044648898,0.25375,0.25625,,
1707044648900,,,0.265,
1707044649892,0.0,,,,
1707044649898,0.255,0.25625,,
1707044649900,,,0.265,
1707044650892,0.0,,,,
1707044650898,0.2775,0.2675,,
1707044650899,,,0.24375,
1707044651892,0.00125,,,,
1707044651898,0.25125,0.26,,
1707044651900,,,0.26875,
1707044652892,0.0025,,,,
1707044652898,,0.2625,,
1707044652899,0.2547452547452547,,,
1707044652900,,,0.26125,
1707044653892,0.0,,,,
1707044653898,0.26401401401401403,0.27,,
1707044653900,,,0.2475,
1707044654892,0.00125,,,,
1707044654898,0.2825,0.26375,,
1707044654899,,,0.2375,
1707044655892,0.0,,,,
1707044655898,0.2525,0.25375,,
1707044655900,,,0.275,
1707044656892,0.00125,,,,
1707044656898,0.2575,0.26625,,
1707044656899,,,0.255,
1707044657892,0.0,,,,
1707044657898,0.25875,0.26625,,
1707044657900,,,0.25375,
1707044658892,0.0,,,,
1707044658898,0.2675,0.2675,,
1707044658899,,,0.2475,
1707044659892,0.00125,,,,
1707044659898,0.26875,0.25,,
1707044659900,,,0.2625,
1707044660892,0.0,,,,
1707044660898,0.2575,0.2625,,
1707044660900,,,0.25625,
1707044661892,0.00125,,,,
1707044661898,,0.2625,,
1707044661899,0.26125,,,
1707044661900,,,0.2575,
1707044662892,0.00125,,,,
1707044662898,0.26625,0.2675,,
1707044662900,,,0.24625,
1707044663892,0.00125,,,,
1707044663898,0.25375,0.25625,,
1707044663900,,,0.27,
1707044664892,0.0,,,,
1707044664898,0.26375,0.25875,,
1707044664900,,,0.255,
1707044665892,0.00125,,,,
1707044665898,0.255,0.265,,
1707044665900,,,0.2625,
1707044666892,0.0,,,,
1707044666898,0.26375,0.27125,,
1707044666899,,,0.25,
1707044667892,0.0,,,,
1707044667898,0.255,0.25875,,
1707044667900,,,0.2675,
1707044668892,0.0,,,,
1707044668898,0.26,0.26,,
1707044668900,,,0.25625,
1707044669892,0.00125,,,,
1707044669898,0.255,0.2725,,
1707044669899,,,0.25,
1707044670892,0.0,,,,
1707044670898,0.27125,0.2575,,
1707044670901,,,0.25224775224775225,
1707044671892,0.00125,,,,
1707044671898,0.25375,0.25875,,
1707044671899,,,0.26901901901901903,
1707044672892,0.0,,,,
1707044672898,0.25875,0.2625,,
1707044672900,,,0.25875,
1707044673892,0.00125,,,,
1707044673898,0.255,0.275,,
1707044673899,,,0.2525,
1707044674892,0.0,,,,
1707044674898,0.2725,0.2575,,
1707044674900,,,0.25125,
1707044675892,0.00125,,,,
1707044675898,0.2525,0.26,,
1707044675899,,,0.27,
1707044676892,0.0,,,,
1707044676898,0.26125,0.26,,
1707044676899,,,0.26,
1707044677892,0.0,,,,
1707044677898,0.2575,0.275,,
1707044677899,,,0.25125,
1707044678892,0.0,,,,
1707044678898,0.27875,0.255,,
1707044678900,,,0.25125,
1707044679892,0.00125,,,,
1707044679898,0.25625,0.255,,
1707044679899,,,0.2675,
1707044680892,0.00125,,,,
1707044680898,0.2625,0.2634865134865135,,
1707044680900,,,0.25625,
1707044681892,0.0,,,,
1707044681898,0.2575,0.2702702702702703,,
1707044681900,,,0.25375,
1707044682892,0.00125,,,,
1707044682898,0.275,0.25625,,
1707044682899,,,0.255,
1707044683892,0.0,,,,
1707044683898,0.25875,0.255,,
1707044683899,,,0.26875,
1707044684892,0.0,,,,
1707044684898,0.26375,0.26125,,
1707044684900,,,0.25625,
1707044685892,0.0,,,,
1707044685898,0.26,0.27125,,
1707044685899,,,0.2525,
1707044686892,0.00125,,,,
1707044686898,0.2775,0.25375,,
1707044686900,,,0.25125,
1707044687892,0.0,,,,
1707044687898,0.2575,0.25625,,
1707044687900,,,0.27125,
1707044688892,0.00125,,,,
1707044688898,0.26,0.26,,
1707044688900,,,0.2575,
1707044689892,0.0,,,,
1707044689898,0.25625,0.27375,,
1707044689899,,,0.25625,
1707044690892,0.0,,,,
1707044690898,0.275,0.25625,,
1707044690900,,,0.2525,
1707044691892,0.00125,,,,
1707044691898,,0.25875,,
1707044691899,0.2534965034965035,,0.2775,
1707044692892,0.0,,,,
1707044692898,0.27152152152152154,0.25625,,
1707044692899,,,0.255,
1707044693892,0.0025,,,,
1707044693898,0.25625,0.27375,,
1707044693899,,,0.2525,
1707044694892,0.0,,,,
1707044694898,0.2775,0.255,,
1707044694899,,,0.2525,
1707044695892,0.00125,,,,
1707044695898,0.25375,0.25625,,
1707044695899,,,0.275,
1707044696892,0.0,,,,
1707044696898,0.2625,0.2625,,
1707044696899,,,0.26,
1707044697892,0.0,,,,
1707044697898,0.27,0.2675,,
1707044697900,,,0.24875,
1707044698892,0.00125,,,,
1707044698898,0.26,0.2625,,
1707044698900,,,0.26,
1707044699892,0.0525,,,,
1707044699898,,0.255,,
1707044699899,0.26223776223776224,,,
1707044699901,,,0.260989010989011,
1707044700892,0.0,,,,
1707044700898,0.2752752752752753,0.27875,,
1707044700899,,,0.27152152152152154,
1707044701892,0.045,,,,
1707044701898,0.2675,0.25625,,
1707044701899,,,0.265,
1707044702892,0.03625,,,,
1707044702898,0.26875,0.25375,,
1707044702899,,,0.2675,
1707044703892,0.00125,,,,
1707044703898,0.27,0.26375,,
1707044703899,,,0.25875,
1707044704892,0.0,,,,
1707044704898,0.26125,0.26375,,
1707044704900,,,0.25625,
1707044705892,0.0,,,,
1707044705898,0.26125,0.26125,,
1707044705899,,,0.2575,
1707044706892,0.00125,,,,
1707044706898,0.26125,0.25875,,
1707044706899,,,0.26125,
1707044707892,0.0,,,,
1707044707898,0.26,0.27,,
1707044707899,,,0.2575,
1707044708894,0.0,,,,
1707044708898,0.265,0.26125,,
1707044708900,,,0.25625,
1707044709892,0.00125250501002004,,,,
1707044709898,0.26,0.26125,,
1707044709899,,,0.25625,
1707044710892,0.0,,,,
1707044710898,0.2575,0.27125,,
1707044710899,,,0.2525,
1707044711892,0.00125,,,,
1707044711898,0.26375,0.26375,,
1707044711899,,,0.2575,
1707044712892,0.0,,,,
1707044712898,0.2625,0.2625,,
1707044712899,,,0.25625,
1707044713892,0.0,,,,
1707044713898,0.26125,0.2625,,
1707044713899,,,0.2575,
1707044714892,0.0,,,,
1707044714898,0.26,0.265,,
1707044714899,,,0.2575,
1707044715892,0.00125,,,,
1707044715898,0.26125,0.26625,,
1707044715900,,,0.2575,
1707044716892,0.0,,,,
1707044716898,0.26125,0.25875,,
1707044716899,,,0.25625,
1707044717892,0.00125,,,,
1707044717898,,0.26375,,
1707044717899,0.260989010989011,,0.25625,
1707044718892,0.00125,,,,
1707044718898,0.26151151151151153,0.26125,,
1707044718899,,,0.2575,
1707044719892,0.0,,,,
1707044719898,0.26375,0.26375,,
1707044719899,,,0.2575,
1707044720892,0.00125,,,,
1707044720898,0.26125,0.2625,,
1707044720899,,,0.25625,
1707044721892,0.0,,,,
1707044721898,0.26125,0.26125,,
1707044721900,,,0.2584915084915085,
1707044722893,0.00125,,,,
1707044722898,0.25625,,,
1707044722899,,,0.254004004004004,
1707044722901,,0.27293120638085744,,
1707044723892,0.0,,,,
1707044723898,0.265,0.253259779338014,,
1707044723899,,,0.265,
1707044724892,0.015,,,,
1707044724898,0.25625,0.26375,,
1707044724899,,,0.25125,
1707044725892,0.00125,,,,
1707044725898,0.26,0.26375,,
1707044725899,,,0.2575,
1707044726892,0.01,,,,
1707044726898,0.25375,0.26875,,
1707044726899,,,0.25,
1707044727892,0.00125,,,,
1707044727898,0.2725,0.25125,,
1707044727899,,,0.26375,
1707044728892,0.00125,,,,
1707044728898,0.26375,0.26125,,
1707044728900,,,0.25625,
