Timestamp,Slave 0,Slave 1,Slave 2,
1706788807605,,315868,,
1706788807610,,,328916,
1706788807613,103116,,,,
1706788807633,292540,,,
1706788808564,104388,,,,
1706788808571,,,362840,
1706788808575,334508,,,
1706788808584,,364568,,
1706788809589,,417664,,
1706788809602,104388,,,,
1706788809606,380316,,,
1706788809670,,,423432,
1706788810583,,,453464,
1706788810586,,455820,,
1706788810588,104392,449440,,,
1706788811581,104504,,,,
1706788811582,452368,,,
1706788811594,,452304,,
1706788811597,,,451824,
1706788812583,,468792,,
1706788812584,106876,454560,,,
1706788812613,,,462528,
1706788813571,109792,,,,
1706788813574,,472860,,
1706788813575,466680,,476728,
1706788814571,649424,,,
1706788814572,,669236,721300,
1706788814573,109872,,,,
1706788815586,110272,,,,
1706788815588,,785228,,
1706788815593,714028,,,
1706788815627,,,735464,
1706788816577,766580,,,
1706788816581,,,753256,
1706788816582,110352,,,,
1706788816588,,795596,,
1706788817579,,844464,,
1706788817581,110356,,,,
1706788817582,,,797832,
1706788817590,779540,,,
1706788818564,110356,,,,
1706788818572,,,807908,
1706788818577,789848,842144,,
1706788819566,110380,,,,
1706788819571,790184,855772,808072,
1706788820571,110544,790832,855968,808692,
1706788821567,110712,,,,
1706788821573,791048,,,
1706788821578,,,808908,
1706788821581,,870292,,
1706788822564,110712,,,,
1706788822571,,,829780,
1706788822572,797912,873156,,
1706788823564,110736,,,,
1706788823570,793704,,,
1706788823571,,883560,829844,
1706788824564,110736,,,,
1706788824572,,883628,,
1706788824574,951024,,910176,
1706788825564,110736,,,,
1706788825570,951096,913720,,
1706788825571,,,963640,
1706788826563,110820,,,,
1706788826570,,1028448,,
1706788826571,951452,,,
1706788826572,,,963640,
1706788827563,110820,,,,
1706788827571,1005564,1028448,1028352,
1706788828565,110820,,,,
1706788828571,,1028448,1221512,
1706788828572,1195284,,,
1706788829565,110820,,,,
1706788829571,1256820,1143052,1287564,
1706788830565,110900,,,,
1706788830573,1256820,1284416,1287700,
1706788831564,110900,,,,
1706788831571,1256820,1284416,1290332,
1706788832572,,1284512,1298776,
1706788832577,110900,,,,
1706788832585,1267936,,,
1706788833562,110900,,,,
1706788833570,1268016,1286880,1298776,
1706788834564,110900,,,,
1706788834571,,,1298828,
1706788834572,1268016,1293880,,
1706788835564,110984,,,,
1706788835570,1268016,,,
1706788835571,,1293880,1298860,
1706788836568,110984,,,,
1706788836573,1275740,1294032,1306780,
1706788837564,110984,,,,
1706788837569,1275740,,,
1706788837570,,1294032,,
1706788837571,,,1306856,
1706788838565,110984,,,,
1706788838572,1275788,1303532,,
1706788838573,,,1306856,
1706788839566,110984,,,,
1706788839571,1275840,1303532,1306916,
