Timestamp,Slave 0,Slave 1,Slave 2,
1737132750316,,,317328,
1737132750324,114716,,,,
1737132750327,,325540,,
1737132750336,319988,,,
1737132751284,114928,,,,
1737132751295,,364600,354360,
1737132751297,357892,,,
1737132752292,,404080,,
1737132752298,412328,,,
1737132752318,119668,,,,
1737132752333,,,402760,
1737132753289,119668,,,,
1737132753307,,437756,,
1737132753310,456288,,431968,
1737132754299,119752,,,,
1737132754313,,437468,,
1737132754322,479212,,,
1737132754324,,,438828,
1737132755297,119768,479772,,,
1737132755300,,,449124,
1737132755302,,455968,,
1737132756289,119948,,,,
1737132756290,553636,,,
1737132756291,,,560832,
1737132756293,,548076,,
1737132757286,120052,,,,
1737132757291,683348,716920,793780,
1737132758299,120532,,,,
1737132758303,742096,,,
1737132758304,,782912,,
1737132758323,,,801628,
1737132759295,,,828436,
1737132759296,120624,,,,
1737132759302,754260,841168,,
1737132760290,120624,,,,
1737132760295,756076,,,
1737132760302,,888164,,
1737132760308,,,886244,
1737132761283,120720,,,,
1737132761287,778524,,886664,
1737132761288,,1001928,,
1737132762282,120720,,,,
1737132762289,778660,,899444,
1737132762290,,1114324,,
1737132763284,120720,,,,
1737132763287,,,900148,
1737132763289,779060,1166108,,
1737132764289,120816,,1174448,,
1737132764292,,,900560,
1737132764294,780648,,,
1737132765283,120904,,,,
1737132765288,791104,,907804,
1737132765289,,1174972,,
1737132766284,120936,,,,
1737132766288,781180,,,
1737132766289,,1183232,891300,
1737132767282,120936,,,,
1737132767289,940532,,,
1737132767290,,,903312,
1737132767291,,1183252,,
1737132768283,120936,,,,
1737132768289,,,903312,
1737132768290,940596,1183656,,
1737132769281,120936,,,,
1737132769289,940640,1193948,903576,
1737132770283,121052,,,,
1737132770288,1067448,,1067596,
1737132770289,,1193948,,
1737132771281,121052,,,,
1737132771287,1252288,,,
1737132771288,,1194212,,
1737132771289,,,1167792,
1737132772286,121052,,,,
1737132772288,,1196324,,
1737132772289,1252288,,,
1737132772290,,,1167792,
1737132773285,121136,,,,
1737132773288,1252288,,,
1737132773290,,1196588,1167792,
1737132774280,121136,,,,
1737132774288,1255264,1196676,1168928,
1737132775285,121136,,,,
1737132775288,,,1281232,
1737132775291,1296976,1196676,,
1737132776283,121136,,,,
1737132776287,1296976,,,
1737132776288,,,1281232,
1737132776290,,1273868,,
1737132777283,121136,,,,
1737132777289,,1273868,1281232,
1737132777290,1296976,,,
1737132778285,121236,,,,
1737132778289,,,1281288,
1737132778290,1296976,,,
1737132778291,,1273948,,
1737132779282,121236,,,,
1737132779289,1306028,,,
1737132779290,,1273948,1293428,
1737132780281,121236,,,,
1737132780287,1306092,,1293508,
1737132780289,,1282996,,
1737132781286,121236,,,,
1737132781289,1306168,,1293540,
1737132781290,,1282996,,
1737132782282,121328,,,,
1737132782288,1306168,,1293540,
1737132782289,,1283064,,
1737132783283,121328,,,,
1737132783288,1316200,,1302320,
1737132783292,,1283064,,
1737132784282,121328,,,,
1737132784287,1316200,,,
1737132784288,,,1302320,
1737132784289,,1291248,,
1737132785282,121328,,,,
1737132785289,,,1302320,
1737132785290,1316200,1291248,,
1737132786283,121328,,,,
1737132786288,,,1302320,
1737132786289,1316288,,,
1737132786294,,1291248,,
1737132787283,121328,,,,
1737132787288,,,1310768,
1737132787290,1323156,,,
1737132787291,,1291256,,
1737132788281,121328,,,,
1737132788288,1323156,,,
1737132788289,,,1310768,
1737132788290,,1299268,,
1737132789281,121404,,,,
1737132789290,1323156,1299268,,
1737132789292,,,1310864,
1737132790283,121404,,,,
1737132790290,1323156,,,
1737132790291,,,1310864,
1737132790293,,1299384,,
1737132791283,121404,,,,
1737132791290,1330284,1299436,1318304,
1737132792283,121416,,,,
1737132792289,1330292,1306596,1318320,
1737132793282,121416,,,,
1737132793288,1330292,,1318320,
1737132793289,,1306596,,
1737132794282,121416,,,,
1737132794288,,,1318320,
1737132794289,1330292,,,
1737132794291,,1306596,,
1737132795284,121416,,,,
1737132795287,1337236,,1326316,
1737132795288,,1306596,,
1737132796291,121416,,,,
1737132796294,1337236,,1326316,
1737132796296,,1314248,,
1737132797282,121416,,,,
1737132797287,1337344,,,
1737132797289,,1314280,1326316,
1737132798282,121416,,,,
1737132798289,1337344,,1326316,
1737132798290,,1314280,,
1737132799280,121416,,,,
1737132799287,1344216,,,
1737132799289,,,1333444,
1737132799290,,1314280,,
1737132800281,121416,,,,
1737132800288,,,1333444,
1737132800289,1344216,1314280,,
1737132801283,121496,,,,
1737132801289,1344340,,,
1737132801290,,1321140,1333444,
1737132802282,121496,,,,
1737132802289,1344340,,1333444,
1737132802290,,1321144,,
1737132803281,121496,,,,
1737132803287,,,1341364,
