Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;2178.0
Domain Marker;max-jOPS;10793.0
Domain Marker;Last Success for SLAs;5120.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
138;91.3299448189383
277;93.43900345452894
415;94.09719507326975
553;95.25779802831961
692;95.76174624004794
830;96.01500869642865
969;95.13755595704804
1107;96.25020843426877
1245;96.448302483077
1384;96.47094684680637
1522;96.37308058413475
1660;94.97384597576644
1799;96.98363838252634
1937;97.25099792571119
2076;96.25938967275319
2214;96.36506023339795
2352;96.47670952305155
2491;97.53929690675413
2629;97.74875565911123
2767;97.11917983326389
2906;97.24525209176072
3044;96.80228886434527
3183;97.27092931623432
3321;95.2436228466607
3459;96.78477878720649
3598;96.66330381392935
3736;95.10450370573547
3874;97.14230285727766
4013;95.45678865590348
4151;96.83074951448069
4289;96.95650763305265
4428;96.8222887618265
4566;97.2990644013668
4705;96.36207661335168
4843;95.52791782794644
4981;96.15950485595476
5120;96.93360956049278
5258;95.9051488939347
5396;95.26991001989727
5535;95.74890047672233
5673;93.50082023471313
5812;96.00064866353452
5950;95.63470808437418
6088;95.56261933590653
6227;95.78662384446176
6365;95.4393580823538
6503;94.88949000000703
6642;92.43045420389592
6780;90.63058718301053
6918;88.71784037032646
7057;85.28239313751823
7195;85.43990920800289
7334;81.2963523564359
7472;80.36998931929357
7610;79.82057484294008
7749;78.64895664853972
7887;75.24151974099125
8025;74.89340009252433
8164;71.64241569173245
8302;70.31260064611374
8441;68.42346127383921
8579;61.78530965849285
8717;65.24749389194463
8856;63.97494439460899
8994;62.43262017780237
9132;61.62580567651797
9271;60.19009413562789
9409;58.31916303860289
9548;56.61449362700742
9686;55.39657366247323
9824;50.199803542515326
9963;34.97653914988661
10101;41.9685280902816
10239;40.598539168542985
10378;40.19407302913762
10516;16.000396263683154
10654;24.779779561574458
10793;9.739514647676751
10931;2.790960186090272
11070;1.7295141366113775
11208;1.4323840480532264
11346;1.8355021930076498
