Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;3448.0
Domain Marker;max-jOPS;9931.0
Domain Marker;Last Success for SLAs;6236.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
115;91.8397788611867
231;93.03505607210367
346;93.91431190771445
462;94.22922329688974
577;95.37407673927773
693;96.39965710433643
808;96.17552948099488
924;96.88243621142496
1039;96.72649271414016
1155;96.72430543032391
1270;96.60682707015071
1386;97.16899225442984
1501;97.37820949492956
1617;97.01308661674639
1732;97.21467955414285
1848;97.42840184143232
1963;97.45262952982809
2079;97.70214302844006
2194;97.35721608552845
2310;97.73771893613186
2425;97.50918408202106
2541;97.77673256632454
2656;97.8638218284242
2772;97.9025455590957
2887;97.8152167259269
3002;97.84750980773376
3118;97.60581423742784
3233;98.0572357777787
3349;98.18757786093713
3464;98.13333180741122
3580;98.10349835111188
3695;98.36353928698533
3811;97.9766908371452
3926;98.15816084314389
4042;98.0257072209026
4157;97.8587246706946
4273;97.83724774777504
4388;98.42462160007561
4504;98.14351163650687
4619;98.03992588288567
4735;98.33182659514358
4850;97.7622858908772
4966;98.06294469521143
5081;98.0363011886151
5197;98.14195073858401
5312;98.16711237331089
5428;98.37800836649393
5543;97.95848905363823
5659;98.29012875538379
5774;98.33889410109683
5889;97.93226176063794
6005;98.14703783787155
6120;98.12188622878023
6236;97.97732604943491
6351;98.4869352534802
6467;97.22859161670102
6582;95.93950583465458
6698;94.39672831652871
6813;92.07159515774273
6929;90.4946932124124
7044;89.10397071067489
7160;87.7757403151233
7275;86.56982094912163
7391;85.83167623228897
7506;83.89771351479313
7622;82.61459000071936
7737;81.78617774681977
7853;79.96599573615225
7968;78.97753706943091
8084;76.61186471856477
8199;75.33279760755786
8315;74.37492236052441
8430;73.04431673813862
8546;71.53874274430892
8661;70.63728766186838
8776;69.05820083920904
8892;67.46048559233128
9007;65.71736564953859
9123;64.06800453010608
9238;61.2333878834867
9354;60.51091200798128
9469;58.49810332740418
9585;52.651792597442274
9700;51.87128982274956
9816;35.084762930316565
9931;19.517240049343215
10047;9.065604816982455
10162;6.717763420977158
10278;3.6466879154408383
10393;2.179214593234773
