Timestamp,Slave 0,Slave 1,Slave 2,
1730738227500,0,,,,
1730738227511,0,0,,
1730738227513,53,,,0,
1730738227526,181,,,
1730738227535,,195,,
1730738227550,,,216,
1730738228502,54,,,,
1730738228512,260,248,,
1730738228514,,,267,
1730738229502,54,,,,
1730738229511,277,,,
1730738229512,,271,,
1730738229515,,,289,
1730738230502,54,,,,
1730738230512,310,299,,
1730738230515,,,320,
1730738231502,54,,,,
1730738231511,340,,,
1730738231512,,339,,
1730738231517,,,351,
1730738232502,54,,,,
1730738232511,75,,,
1730738232513,,95,,
1730738232519,,,85,
1730738233502,54,,,,
1730738233511,151,,,
1730738233512,,161,,
1730738233514,,,154,
1730738234501,54,,,,
1730738234511,233,,,
1730738234512,,249,,
1730738234515,,,236,
1730738235501,54,,,,
1730738235511,306,,,
1730738235512,,327,,
1730738235514,,,313,
1730738236501,55,,,,
1730738236511,111,,,
1730738236512,,120,,
1730738236514,,,385,
1730738237501,56,,,,
1730738237512,,184,,
1730738237514,,,163,
1730738237516,174,,,
1730738238501,56,,,,
1730738238512,208,,,
1730738238514,,221,203,
1730738239501,56,,,,
1730738239512,263,,,
1730738239514,,273,259,
1730738240501,56,,,,
1730738240511,315,,,
1730738240513,,326,,
1730738240514,,,309,
1730738241501,56,,,,
1730738241512,380,,,
1730738241513,,397,,
1730738241514,,,376,
1730738242502,56,,,,
1730738242512,124,,,
1730738242516,,146,125,
1730738243501,56,,,,
1730738243512,202,,,
1730738243513,,224,,
1730738243514,,,200,
1730738244501,56,,,,
1730738244511,279,,,
1730738244513,,302,,
1730738244514,,,277,
1730738245501,56,,,,
1730738245511,148,,,
1730738245513,,377,,
1730738245514,,,350,
1730738246501,56,,,,
1730738246511,222,,,
1730738246512,,124,,
1730738246515,,,424,
1730738247501,56,,,,
1730738247511,296,,,
1730738247512,,197,,
1730738247515,,,164,
1730738248501,56,,,,
1730738248511,163,,,
1730738248515,,275,,
1730738248516,,,243,
1730738249501,56,,,,
1730738249511,238,,,
1730738249512,,129,,
1730738249514,,,316,
1730738250501,58,,,,
1730738250511,316,,,
1730738250512,,208,,
1730738250514,,,170,
1730738251501,58,,,,
1730738251511,174,,,
1730738251512,,285,,
1730738251514,,,244,
1730738252501,58,,,,
1730738252511,253,,,
1730738252512,,140,,
1730738252514,,,322,
1730738253501,58,,,,
1730738253511,111,,,
1730738253512,,219,,
1730738253514,,,172,
1730738254501,58,,,,
1730738254511,191,,,
1730738254512,,297,,
1730738254514,,,250,
1730738255501,58,,,,
1730738255511,267,,,
1730738255512,,134,,
1730738255514,,,326,
1730738256501,58,,,,
1730738256511,345,,,
1730738256512,,212,,
1730738256514,,,161,
1730738257501,58,,,,
1730738257511,199,,,
1730738257512,,291,,
1730738257514,,,240,
1730738258501,58,,,,
1730738258511,275,,,
1730738258512,,370,,
1730738258514,,,316,
1730738259501,58,,,,
1730738259511,347,,,
1730738259512,,204,,
1730738259514,,,147,
1730738260501,58,,,,
1730738260511,197,,,
1730738260512,,280,,
1730738260514,,,223,
1730738261501,58,,,,
1730738261511,280,,,
1730738261512,,362,,
1730738261515,,,304,
1730738262501,58,,,,
1730738262511,357,,,
1730738262512,,194,,
1730738262514,,,130,
1730738263501,58,,,,
1730738263511,208,,,
1730738263512,,278,,
1730738263516,,,208,
1730738264501,58,,,,
1730738264511,290,,,
1730738264512,,360,,
1730738264514,,,285,
1730738265501,58,,,,
1730738265511,367,,,
1730738265512,,190,,
1730738265514,,,361,
1730738266501,59,,,,
1730738266511,208,,,
1730738266512,,263,,
1730738266514,,,182,
1730738267501,59,,,,
1730738267511,288,,,
1730738267512,,344,,
1730738267514,,,261,
1730738268501,59,,,,
1730738268511,369,,,
1730738268512,,174,,
1730738268514,,,339,
1730738269502,59,,,,
1730738269511,210,,,
1730738269512,,251,,
1730738269514,,,163,
1730738270501,59,,,,
1730738270511,291,,,
1730738270512,,332,,
1730738270514,,,241,
1730738271501,59,,,,
1730738271511,367,,,
1730738271512,,159,,
1730738271514,,,317,
1730738272501,59,,,,
1730738272511,207,,,
1730738272512,,239,,
1730738272514,,,142,
1730738273501,59,,,,
1730738273511,290,,,
1730738273512,,325,,
1730738273514,,,225,
1730738274501,59,,,,
1730738274511,368,,,
1730738274512,,157,,
1730738274514,,,303,
1730738275506,59,,,,
1730738275513,,238,,
1730738275516,207,,,
1730738275524,,,132,
1730738276501,59,,,,
1730738276511,291,,,
1730738276512,,323,,
1730738276514,,,213,
1730738277501,59,,,,
1730738277511,374,,,
1730738277512,,160,,
1730738277514,,,295,
1730738278501,59,,,,
1730738278511,452,,,
1730738278512,,240,,
1730738278514,,,375,
1730738279501,59,,,,
1730738279511,282,,,
1730738279512,,318,,
1730738279514,,,200,
1730738280501,59,,,,
1730738280511,363,,,
1730738280512,,151,,
1730738280514,,,276,
1730738281501,60,,,,
1730738281511,444,,,
1730738281512,,232,,
1730738281514,,,355,
1730738282501,60,,,,
1730738282511,258,,,
1730738282512,,313,,
1730738282514,,,180,
1730738283501,60,,,,
1730738283511,336,,,
1730738283512,,145,,
1730738283514,,,256,
1730738284501,60,,,,
1730738284511,416,,,
1730738284512,,225,,
1730738284513,,,335,
1730738285501,60,,,,
1730738285511,232,,,
1730738285512,,306,,
1730738285514,,,162,
1730738286501,60,,,,
1730738286511,313,,,
1730738286512,,141,,
1730738286514,,,242,
1730738287501,60,,,,
1730738287511,392,,,
1730738287512,,223,,
1730738287514,,,321,
1730738288501,60,,,,
1730738288511,470,,,
1730738288512,,302,,
1730738288514,,,145,
1730738289501,60,,,,
1730738289511,267,,,
1730738289512,,378,,
1730738289514,,,222,
1730738290501,60,,,,
1730738290511,351,,,
1730738290512,,214,,
1730738290514,,,302,
1730738291501,60,,,,
1730738291511,431,,,
1730738291512,,295,,
1730738291514,,,383,
1730738292501,60,,,,
1730738292511,508,,,
1730738292512,,375,,
1730738292514,,,205,
1730738293501,60,,,,
1730738293511,309,,,
1730738293512,,197,,
1730738293514,,,283,
1730738294501,60,,,,
1730738294511,389,,,
1730738294512,,280,,
1730738294513,,,363,
1730738295501,60,,,,
1730738295511,470,,,
1730738295512,,362,,
1730738295514,,,178,
1730738296501,61,,,,
1730738296511,274,,,
1730738296512,,182,,
1730738296514,,,255,
1730738297501,61,,,,
1730738297652,13,,,
1730738297656,,,12,
1730738297667,,13,,
1730738298501,61,,,,
1730738298511,87,,,
1730738298512,,90,,
1730738298514,,,89,
1730738299501,61,,,,
1730738299511,171,,,
1730738299512,,175,,
1730738299513,,,169,
1730738300501,61,,,,
1730738300511,259,,,
1730738300512,,266,,
1730738300514,,,259,
1730738301501,61,,,,
1730738301511,117,,,
1730738301512,,133,,
1730738301514,,,120,
1730738302501,61,,,,
1730738302511,206,,,
1730738302512,,225,,
1730738302514,,,211,
1730738303501,31,,,,
1730738303512,,308,,
1730738303514,,,297,
1730738303520,293,,,
1730738304501,31,,,,
1730738304511,120,,,
1730738304512,,141,,
1730738304514,,,121,
1730738305501,31,,,,
1730738305511,203,,,
1730738305512,,223,,
1730738305515,,,203,
1730738306501,31,,,,
1730738306511,283,,,
1730738306512,,304,,
1730738306514,,,283,
1730738307502,31,,,,
1730738307512,95,109,,
1730738307514,,,93,
1730738308501,31,,,,
1730738308511,178,,,
1730738308512,,191,,
1730738308514,,,174,
1730738309501,31,,,,
1730738309511,263,,,
1730738309512,,277,,
1730738309514,,,254,
1730738310501,31,,,,
1730738310511,347,,,
1730738310512,,101,,
1730738310514,,,337,
1730738311501,31,,,,
1730738311511,163,,,
1730738311512,,178,,
1730738311514,,,152,
1730738312501,32,,,,
1730738312511,246,,,
1730738312512,,262,,
1730738312514,,,232,
1730738313501,32,,,,
1730738313514,,,314,
1730738313515,,345,,
1730738313531,91,,,
1730738314501,32,,,,
1730738314511,173,,,
1730738314512,,173,,
1730738314514,,,137,
1730738315501,32,,,,
1730738315511,257,,,
1730738315512,,259,,
1730738315514,,,221,
1730738316501,32,,,,
1730738316511,99,,,
1730738316512,,339,,
1730738316514,,,300,
1730738317501,32,,,,
1730738317511,181,,,
1730738317512,,168,,
1730738317514,,,121,
1730738318501,32,,,,
1730738318511,267,,,
1730738318512,,256,,
1730738318514,,,206,
1730738319501,32,,,,
1730738319511,119,,,
1730738319512,,338,,
1730738319513,,,286,
1730738320501,32,,,,
1730738320511,200,,,
1730738320512,,167,,
1730738320515,,,109,
1730738321501,32,,,,
1730738321511,282,,,
1730738321512,,250,,
1730738321514,,,191,
1730738322501,32,,,,
1730738322511,137,,,
1730738322512,,334,,
1730738322514,,,272,
1730738323501,32,,,,
1730738323511,221,,,
1730738323512,,164,,
1730738323514,,,95,
1730738324501,32,,,,
1730738324511,303,,,
1730738324512,,249,,
1730738324514,,,178,
1730738325501,32,,,,
1730738325511,162,,,
1730738325512,,334,,
1730738325514,,,259,
1730738326501,32,,,,
1730738326511,245,,,
1730738326512,,169,,
1730738326514,,,342,
1730738327501,32,,,,
1730738327511,101,,,
1730738327512,,252,,
1730738327514,,,165,
1730738328501,33,,,,
1730738328511,189,,,
1730738328512,,340,,
1730738328514,,,250,
1730738329501,34,,,,
1730738329511,274,,,
1730738329512,,175,,
1730738329514,,,334,
1730738330501,34,,,,
1730738330511,134,,,
1730738330512,,258,,
1730738330514,,,159,
1730738331501,34,,,,
1730738331511,222,,,
1730738331512,,348,,
1730738331514,,,247,
1730738332501,34,,,,
1730738332511,307,,,
1730738332512,,180,,
1730738332514,,,329,
1730738333501,34,,,,
1730738333511,168,,,
1730738333512,,264,,
1730738333514,,,152,
1730738334501,34,,,,
1730738334511,251,,,
1730738334514,,,234,
1730738334532,,97,,
1730738335501,34,,,,
1730738335511,108,,,
1730738335512,,180,,
1730738335513,,,317,
1730738336501,34,,,,
1730738336511,195,,,
1730738336512,,269,,
1730738336514,,,146,
1730738337501,34,,,,
1730738337511,282,,,
1730738337512,,103,,
1730738337514,,,228,
1730738338501,34,,,,
1730738338511,139,,,
1730738338512,,188,,
1730738338514,,,313,
1730738339501,34,,,,
1730738339512,,272,,
1730738339513,224,,,
1730738339514,,,135,
1730738340501,34,,,,
1730738340511,313,,,
1730738340512,,107,,
1730738340514,,,222,
1730738341501,34,,,,
1730738341511,163,,,
1730738341512,,197,,
1730738341514,,,308,
1730738342501,34,,,,
1730738342511,251,,,
1730738342512,,285,,
1730738342514,,,134,
1730738343501,34,,,,
1730738343511,99,,,
1730738343512,,117,,
1730738343514,,,215,
1730738344501,34,,,,
1730738344511,185,,,
1730738344512,,203,,
1730738344514,,,301,
1730738345501,35,,,,
1730738345511,276,,,
1730738345512,,294,,
1730738345514,,,127,
1730738346501,35,,,,
1730738346511,114,,,
1730738346512,,124,,
1730738346514,,,212,
1730738347501,35,,,,
1730738347511,205,,,
1730738347512,,213,,
1730738347513,,,301,
1730738348501,35,,,,
1730738348511,290,,,
1730738348512,,301,,
1730738348514,,,121,
1730738349501,35,,,,
1730738349511,125,,,
1730738349512,,134,,
1730738349514,,,206,
1730738350501,35,,,,
1730738350511,213,,,
1730738350512,,223,,
1730738350514,,,293,
1730738351501,35,,,,
1730738351511,298,,,
1730738351512,,307,,
1730738351513,,,111,
1730738352501,35,,,,
1730738352511,117,,,
1730738352512,,133,,
1730738352514,,,194,
1730738353501,35,,,,
1730738353511,205,,,
1730738353512,,217,,
1730738353513,,,279,
1730738354501,36,,,,
1730738354511,292,,,
1730738354512,,307,,
1730738354514,,,100,
1730738355501,36,,,,
1730738355511,110,,,
1730738355512,,128,,
1730738355513,,,182,
1730738356501,36,,,,
1730738356511,197,,,
1730738356512,,215,,
1730738356513,,,268,
1730738357501,36,,,,
1730738357511,286,,,
1730738357512,,303,,
1730738357513,,,357,
1730738358501,36,,,,
1730738358513,,125,,
1730738358515,,,171,
1730738358522,93,,,
1730738359501,36,,,,
1730738359511,182,,,
1730738359512,,213,,
1730738359513,,,256,
1730738360501,36,,,,
1730738360511,276,,,
1730738360512,,304,,
1730738360514,,,345,
1730738361501,36,,,,
1730738361511,365,,,
1730738361512,,131,,
1730738361514,,,164,
1730738362501,37,,,,
1730738362511,177,,,
1730738362512,,221,,
1730738362514,,,251,
1730738363501,37,,,,
1730738363511,268,,,
1730738363512,,312,,
1730738363514,,,339,
1730738364501,37,,,,
1730738364511,357,,,
1730738364512,,133,,
1730738364514,,,154,
1730738365501,37,,,,
1730738365511,159,,,
1730738365512,,222,,
1730738365513,,,239,
1730738366501,37,,,,
1730738366511,249,,,
1730738366512,,315,,
1730738366514,,,326,
1730738367501,37,,,,
1730738367511,333,,,
1730738367512,,132,,
1730738367513,,,136,
1730738368501,37,,,,
1730738368511,133,,,
1730738368512,,220,,
1730738368514,,,220,
1730738369501,37,,,,
1730738369511,221,,,
1730738369512,,307,,
1730738369514,,,301,
1730738370501,37,,,,
1730738370511,309,,,
1730738370512,,125,,
1730738370514,,,114,
