Timestamp,Slave 0,Slave 1,Slave 2,
1730741234967,0,,,,
1730741234973,0,,0,
1730741234981,22,,,,
1730741234987,,0,,
1730741234997,80,,,
1730741235001,,,106,
1730741235008,,108,,
1730741235968,23,,,,
1730741235974,109,,133,
1730741235988,,132,,
1730741236968,23,,,,
1730741236974,136,,163,
1730741236988,,161,,
1730741237968,23,,,,
1730741237974,166,,194,
1730741237988,,191,,
1730741238968,23,,,,
1730741238974,200,,228,
1730741238991,,221,,
1730741239969,23,,,,
1730741239974,,,264,
1730741239975,234,,,
1730741239988,,260,,
1730741240968,23,,,,
1730741240974,267,,296,
1730741240988,,289,,
1730741241968,23,,,,
1730741241974,301,,331,
1730741241988,,322,,
1730741242968,23,,,,
1730741242974,333,,362,
1730741242988,,357,,
1730741243968,23,,,,
1730741243974,375,,398,
1730741243988,,394,,
1730741244968,23,,,,
1730741244974,432,,453,
1730741244988,,452,,
1730741245969,24,,,,
1730741245974,520,,541,
1730741245988,,538,,
1730741246969,24,,,,
1730741246974,603,,624,
1730741246988,,621,,
1730741247968,24,,,,
1730741247974,633,,654,
1730741247988,,648,,
1730741248968,24,,,,
1730741248974,677,,698,
1730741248988,,691,,
1730741249974,25,,,,
1730741249975,721,,,
1730741249976,,,739,
1730741249995,,735,,
1730741250969,25,,,,
1730741250974,775,,789,
1730741250988,,786,,
1730741251968,25,,,,
1730741251974,817,,98,
1730741251993,,93,,
1730741252968,25,,,,
1730741252974,140,,154,
1730741252988,,146,,
1730741253968,25,,,,
1730741253974,213,,226,
1730741253988,,216,,
1730741254968,25,,,,
1730741254974,296,,309,
1730741254988,,299,,
1730741255968,25,,,,
1730741255974,383,,103,
1730741255988,,383,,
1730741256968,25,,,,
1730741256974,158,,188,
1730741256988,,151,,
1730741257968,25,,,,
1730741257974,142,,276,
1730741257988,,120,,
1730741258968,25,,,,
1730741258974,232,,187,
1730741258988,,207,,
1730741259968,25,,,,
1730741259974,324,,280,
1730741259988,,298,,
1730741260968,26,,,,
1730741260974,414,,370,
1730741260988,,386,,
1730741261968,26,,,,
1730741261974,145,,154,
1730741261988,,138,,
1730741262968,26,,,,
1730741262974,240,,248,
1730741262988,,231,,
1730741263968,26,,,,
1730741263974,334,,340,
1730741263988,,321,,
1730741264968,26,,,,
1730741264974,181,,429,
1730741264988,,409,,
1730741265968,26,,,,
1730741265974,270,,206,
1730741265988,,196,,
1730741266968,26,,,,
1730741266974,364,,299,
1730741266988,,287,,
1730741267968,26,,,,
1730741267974,455,,386,
1730741267988,,374,,
1730741268968,26,,,,
1730741268974,547,,478,
1730741268988,,464,,
1730741269968,26,,,,
1730741269974,634,,174,
1730741269988,,547,,
1730741270968,26,,,,
1730741270974,228,,267,
1730741270988,,636,,
1730741271968,26,,,,
1730741271974,317,,354,
1730741271988,,720,,
1730741272968,27,,,,
1730741272974,406,,443,
1730741272988,,223,,
1730741273968,27,,,,
1730741273973,,,535,
1730741273974,498,,,
1730741273988,,311,,
1730741274968,27,,,,
1730741274974,593,,629,
1730741274988,,403,,
1730741275968,27,,,,
1730741275974,680,,181,
1730741275988,,488,,
1730741276968,27,,,,
1730741276974,255,,,
1730741276975,,,266,
1730741276988,,572,,
1730741277968,27,,,,
1730741277974,349,,360,
1730741277988,,663,,
1730741278968,27,,,,
1730741278974,445,,451,
1730741278988,,176,,
1730741279968,27,,,,
1730741279974,539,,545,
1730741279988,,264,,
1730741280968,27,,,,
1730741280973,,,634,
1730741280974,627,,,
1730741280988,,350,,
1730741281968,27,,,,
1730741281974,721,,725,
1730741281988,,440,,
1730741282968,27,,,,
1730741282974,815,,816,
1730741282988,,531,,
1730741283968,27,,,,
1730741283974,230,,905,
1730741283988,,618,,
1730741284967,27,,,,
1730741284974,329,,268,
1730741284988,,710,,
1730741285968,28,,,,
1730741285974,420,,359,
1730741285988,,799,,
1730741286968,28,,,,
1730741286974,514,,452,
1730741286988,,887,,
1730741287968,28,,,,
1730741287973,,,543,
1730741287974,605,,,
1730741287988,,222,,
1730741288968,28,,,,
1730741288973,,,636,
1730741288974,703,,,
1730741288988,,314,,
1730741289968,28,,,,
1730741289974,800,,729,
1730741289988,,404,,
1730741290968,28,,,,
1730741290973,,,820,
1730741290974,892,,,
1730741290988,,492,,
1730741291968,28,,,,
1730741291973,,,910,
1730741291974,230,,,
1730741291988,,578,,
1730741292968,28,,,,
1730741292974,320,,248,
1730741292988,,668,,
1730741293968,28,,,,
1730741293973,416,,,
1730741293974,,,340,
1730741293988,,759,,
1730741294968,28,,,,
1730741294973,,,432,
1730741294974,509,,,
1730741294988,,849,,
1730741295968,28,,,,
1730741295973,,,521,
1730741295974,601,,,
1730741296003,,181,,
1730741296968,28,,,,
1730741296973,,,607,
1730741296974,690,,,
