Timestamp,Slave 0,Slave 1,Slave 2,
1730813158605,0,,,,
1730813158611,0,,0,
1730813158612,,0,,
1730813158619,0.02295496545083163,,,,
1730813158621,,,0.13637628722516004,
1730813158626,0.13456309473489061,,,
1730813158628,,0.1346396770496349,,
1730813159606,0.027017898682877406,,,,
1730813159612,0.28566598985801217,,0.28086108274470234,
1730813159613,,0.2845528455284553,,
1730813160606,0.001666666,,,,
1730813160612,0.315,,0.32,
1730813160614,,0.2994011976047904,,
1730813161606,0.001666666,,,,
1730813161612,0.331666666,,0.288333333,
1730813161613,,0.3072812284569138,,
1730813162606,0.0,,,,
1730813162612,0.31,,0.296666666,
1730813162614,,0.3363303356643357,,
1730813163606,0.001666666,,,,
1730813163612,0.335,,0.281666666,
1730813163613,,0.30697363963963964,,
1730813164606,0.001666666,,,,
1730813164612,0.328333333,,0.318333333,
1730813164613,,0.293333333,,
1730813165607,0.001665000999000999,,,,
1730813165612,0.336666666,,0.273333333,
1730813165613,,0.3246753246753247,,
1730813166606,0.0016683343343343344,,,,
1730813166611,0.301666666,,,
1730813166612,,,0.276666666,
1730813166613,,0.35201868468468467,,
1730813167606,0.001666666,,,,
1730813167612,0.3,,0.266666666,
1730813167613,,0.346666666,,
1730813168606,0.0,,,,
1730813168611,0.173333333,,,
1730813168612,,,0.311666666,
1730813168613,,0.381666666,,
1730813169606,0.001666666,,,,
1730813169612,0.226666666,,0.231666666,
1730813169613,,0.226666666,,
1730813170606,0.0,,,,
1730813170612,0.19480519480519481,,0.213333333,
1730813170613,,0.216666666,,
1730813171607,0.00999000999000999,,,,
1730813171612,0.29362695995995997,,0.271666666,
1730813171613,,0.336666666,,
1730813172606,0.0016683343343343344,,,,
1730813172612,0.298333333,,0.311666666,
1730813172613,,0.318333333,,
1730813173606,0.001666666,,,,
1730813173612,0.3,,0.301666666,
1730813173613,,0.331666666,,
1730813174606,0.0,,,,
1730813174612,0.278333333,,0.321666666,
1730813174613,,0.285,,
1730813175606,0.001666666,,,,
1730813175612,0.306666666,,0.333667,
1730813175613,,0.293333333,,
1730813176606,0.0,,,,
