Timestamp,Slave 0,Slave 1,Slave 2,
1739868286050,114024,,,,
1739868286073,,308120,,
1739868286115,,,309940,
1739868286121,290244,,,
1739868287034,114740,,,,
1739868287043,,328084,328332,
1739868287049,308820,,,
1739868288048,,363500,,
1739868288052,,,355968,
1739868288067,351400,,,
1739868288070,114856,,,,
1739868289034,114896,,,,
1739868289042,401276,,,
1739868289051,,,396940,
1739868289054,,387748,,
1739868290030,114896,,,,
1739868290034,,,398560,
1739868290039,431684,,,
1739868290042,,386840,,
1739868291031,,,399172,
1739868291034,114896,,,,
1739868291040,,390928,,
1739868291044,432956,,,
1739868292050,,402608,,
1739868292053,,,412568,
1739868292086,439508,,,
1739868292089,115216,,,,
1739868293042,,,417292,
1739868293045,115220,,,,
1739868293047,445152,,,
1739868293063,,415400,,
1739868294035,115220,,,,
1739868294039,,445688,,
1739868294046,,,436648,
1739868294069,446988,,,
1739868295026,115220,,,,
1739868295030,,494092,,
1739868295043,,,481148,
1739868295059,484372,,,
1739868296032,,,550504,
1739868296033,115312,,,,
1739868296036,,552496,,
1739868296050,543860,,,
1739868297039,,,605004,
1739868297057,,609160,,
1739868297065,115312,,,,
1739868297072,599424,,,
1739868298034,,,668868,
1739868298042,652912,,,
1739868298065,,675324,,
1739868298082,115312,,,,
1739868299035,,,784700,
1739868299080,698328,744872,,
1739868299093,115856,,,,
1739868300025,115856,,778884,,
1739868300031,,,788552,
1739868300057,699316,,,
1739868301021,115892,,,,
1739868301040,,816124,,
1739868301044,699848,,,
1739868301057,,,793204,
1739868302033,115892,,,,
1739868302036,,,798016,
1739868302050,,929320,,
1739868302075,700036,,,
1739868303037,115892,,,,
1739868303038,700376,,,
1739868303039,,929784,,
1739868303042,,,849224,
1739868304025,115892,,,,
1739868304030,,,849560,
1739868304034,,931532,,
1739868304045,716276,,,
1739868305016,115984,,,,
1739868305024,,998280,850056,
1739868305043,717052,,,
1739868306016,115984,,,,
1739868306019,,,828196,
1739868306023,711256,,,
1739868306037,,994304,,
1739868307014,115984,,,,
1739868307022,,,828288,
1739868307025,713096,994408,,
1739868308016,116068,,,,
1739868308020,,,828288,
1739868308028,,994408,,
1739868308031,713180,,,
1739868309021,,,834888,
1739868309024,116068,,,,
1739868309030,713232,,,
1739868309035,,994408,,
1739868310020,116068,,,,
1739868310021,,,834944,
1739868310025,713232,,,
1739868310029,,1002668,,
1739868311022,116124,,,834944,
1739868311025,,1002668,,
1739868311029,723792,,,
1739868312014,116124,,,,
1739868312026,,1003000,835032,
1739868312028,723792,,,
1739868313014,116156,,,,
1739868313021,,,843484,
1739868313024,723796,,,
1739868313026,,1012504,,
1739868314017,116156,,,,
1739868314025,,1012556,843484,
1739868314028,723872,,,
1739868315021,116156,,,,
1739868315023,,,843556,
1739868315030,,1012584,,
1739868315035,782460,,,
1739868316017,116156,,,,
1739868316023,,,843556,
1739868316028,909832,,,
1739868316029,,1012584,,
1739868317022,,,843556,
1739868317024,116156,,1012688,,
1739868317029,909868,,,
1739868318019,116244,,,,
1739868318025,,,848656,
1739868318028,,1016120,,
1739868318030,909924,,,
1739868319023,,,901756,
1739868319027,909924,,,
1739868319030,,1016120,,
1739868319034,116244,,,,
1739868320026,116244,,,,
1739868320032,,,979952,
1739868320035,909980,,,
1739868320038,,1016120,,
1739868321023,116244,,,,
1739868321028,909984,,,
1739868321044,,,979952,
1739868321045,,1016120,,
1739868322019,116244,,,,
1739868322020,,,980032,
1739868322025,,1016208,,
1739868322031,948548,,,
1739868323020,116244,,,,
1739868323023,,,980032,
1739868323024,,1016208,,
1739868323025,1042056,,,
1739868324023,116320,,,,
1739868324032,1042056,,,
1739868324033,,1018888,980032,
1739868325020,116320,,,,
1739868325025,,,980032,
1739868325028,,1079892,,
1739868325033,1042056,,,
1739868326015,116320,,,,
1739868326021,,,980552,
1739868326026,1042200,,,
1739868326030,,1079904,,
1739868327020,116320,,,,
1739868327022,,,1061440,
1739868327028,,1079904,,
1739868327033,1042220,,,
1739868328019,116328,,,,
1739868328024,,,1205108,
1739868328025,,1080172,,
1739868328032,1042232,,,
1739868329019,116328,,,,
1739868329023,,,1205108,
1739868329025,1043552,,,
1739868329038,,1080172,,
1739868330018,116328,,,,
1739868330031,,,1205108,
1739868330032,,1080172,,
1739868330035,1099556,,,
1739868331014,116328,,,,
1739868331022,,,1205108,
1739868331029,1221900,,,
1739868331030,,1080172,,
1739868332015,116328,,,,
1739868332023,,,1205108,
1739868332024,,1112936,,
1739868332028,1221900,,,
1739868333014,116328,,,,
1739868333023,1221900,,1205192,
1739868333026,,1228688,,
1739868334017,116408,,,,
1739868334030,,,1205192,
1739868334032,1221900,,,
1739868334034,,1228688,,
1739868335015,116436,,,,
1739868335023,,,1205192,
1739868335032,1221900,1228688,,
1739868336017,116436,,,,
1739868336025,,,1207040,
1739868336028,1221968,,,
1739868336030,,1228688,,
1739868337016,116436,,,,
1739868337024,1221968,,,
1739868337026,,1228688,,
1739868337028,,,1213376,
1739868338021,116436,,,,
