Timestamp,Slave 0,Slave 1,Slave 2,
1739891578922,0,,,,
1739891578928,,0,,
1739891578932,0,,,
1739891578933,,,0,
1739891578963,,,149,
1739891578966,,149,,
1739891578992,149,,,
1739891579037,53,,,,
1739891579925,53,,,,
1739891579931,,149,,
1739891579933,149,,,
1739891579937,,,149,
1739891580925,53,,,,
1739891580931,,149,,
1739891580934,149,,,
1739891580936,,,149,
1739891581924,53,,,,
1739891581931,,149,,
1739891581934,149,,,
1739891581939,,,149,
1739891582929,53,,,,
1739891582930,,149,,
1739891582935,,,149,
1739891582943,149,,,
1739891583924,53,,,,
1739891583934,,,149,
1739891583936,149,149,,
1739891584924,53,,,,
1739891584930,,149,,
1739891584933,149,,,
1739891584935,,,149,
1739891585925,53,,,,
1739891585931,,149,,
1739891585933,149,,,
1739891585935,,,149,
1739891586924,53,,,,
1739891586930,,149,,
1739891586933,149,,,
1739891586935,,,149,
1739891587924,53,,,,
1739891587930,,149,,
1739891587933,149,,,
1739891587936,,,149,
1739891588924,53,,,,
1739891588930,,149,,
1739891588933,149,,,
1739891588935,,,149,
1739891589924,53,,,,
1739891589930,,149,,
1739891589934,,,149,
1739891589935,149,,,
1739891590925,53,,,,
1739891590930,,149,,
1739891590933,149,,,
1739891590935,,,149,
1739891591925,53,,,,
1739891591930,,149,,
1739891591933,149,,,
1739891591935,,,149,
1739891592924,53,,,,
1739891592930,,149,,
1739891592933,149,,,
1739891592938,,,149,
1739891593926,53,,,,
1739891593930,,149,,
1739891593934,149,,,
1739891593935,,,149,
1739891594924,53,,,,
1739891594930,,149,,
1739891594934,149,,,
1739891594935,,,149,
1739891595923,53,,,,
1739891595930,,149,,
1739891595933,149,,,
1739891595935,,,149,
1739891596924,53,,,,
1739891596930,,149,,
1739891596933,149,,,
1739891596937,,,149,
1739891597924,53,,,,
1739891597931,,149,,
1739891597933,149,,,
1739891597935,,,149,
1739891598923,53,,,,
1739891598930,,149,,
1739891598933,149,,,
1739891598935,,,149,
1739891599924,53,,,,
1739891599929,,149,,
1739891599934,149,,149,
1739891600923,53,,,,
1739891600930,,149,,
1739891600934,149,,,
1739891600935,,,149,
1739891601924,53,,,,
1739891601930,,149,,
1739891601933,149,,,
1739891601935,,,149,
1739891602924,53,,,,
1739891602930,,149,,
1739891602933,149,,,
1739891602935,,,149,
1739891603924,53,,,,
1739891603930,,149,,
1739891603933,149,,,
1739891603935,,,149,
1739891604924,53,,,,
1739891604930,,149,,
1739891604933,149,,,
1739891604935,,,149,
1739891605923,53,,,,
1739891605929,,149,,
1739891605933,149,,,
1739891605935,,,149,
1739891606924,53,,,,
1739891606929,,149,,
1739891606933,149,,,
1739891606935,,,149,
1739891607923,53,,,,
1739891607929,,149,,
1739891607934,149,,,
1739891607935,,,149,
1739891608923,53,,,,
1739891608929,,149,,
1739891608934,,,149,
1739891608935,149,,,
1739891609923,53,,,,
1739891609930,,149,,
1739891609933,149,,,
1739891609938,,,149,
1739891610923,53,,,,
1739891610930,,149,,
1739891610934,149,,149,
1739891611923,53,,,,
1739891611930,,149,,
1739891611933,149,,,
1739891611934,,,149,
1739891612924,53,,,,
1739891612929,,149,,
1739891612934,149,,,
1739891612936,,,150,
1739891613923,53,,,,
1739891613930,,149,,
1739891613934,149,,,
1739891613935,,,149,
1739891614923,53,,,,
1739891614930,,149,,
1739891614933,149,,,
1739891614935,,,149,
1739891615924,53,,,,
1739891615929,,149,,
1739891615933,149,,,
1739891615935,,,149,
1739891616923,53,,,,
1739891616929,,149,,
1739891616933,149,,,
1739891616934,,,149,
1739891617923,53,,,,
1739891617929,,149,,
1739891617934,,,149,
1739891617935,149,,,
1739891618923,53,,,,
1739891618929,,149,,
1739891618933,149,,,
1739891618934,,,149,
1739891619923,53,,,,
1739891619929,,149,,
1739891619934,149,,149,
1739891620924,53,,,,
1739891620931,,149,,
1739891620935,149,,,
1739891620936,,,149,
1739891621923,53,,,,
1739891621930,,149,,
1739891621934,149,,149,
1739891622923,53,,,,
1739891622929,,149,,
1739891622934,149,,,
1739891622935,,,149,
1739891623923,53,,,,
1739891623930,,149,,
1739891623933,149,,,
1739891623934,,,149,
1739891624923,53,,,,
1739891624930,,149,,
1739891624934,149,,,
1739891624935,,,149,
1739891625923,53,,,,
1739891625930,,149,,
1739891625934,149,,,
1739891625935,,,149,
1739891626923,53,,,,
1739891626930,,149,,
1739891626934,149,,,
1739891626935,,,149,
1739891627923,53,,,,
1739891627930,,149,,
1739891627933,149,,,
1739891627934,,,149,
1739891628923,53,,,,
1739891628930,,149,,
1739891628934,149,,,
1739891628935,,,149,
1739891629923,53,,,,
1739891629930,,149,,
1739891629934,149,,,
1739891629935,,,149,
1739891630923,53,,,,
1739891630929,,149,,
1739891630934,149,,149,
1739891631923,53,,,,
1739891631929,,149,,
1739891631934,149,,149,
1739891632924,53,,,,
1739891632930,,149,,
1739891632933,149,,,
1739891632934,,,149,
1739891633923,53,,,,
1739891633930,,149,,
1739891633933,149,,,
1739891633934,,,149,
1739891634923,53,,,,
1739891634929,,149,,
1739891634933,149,,,
1739891634934,,,149,
1739891635922,53,,,,
1739891635930,,149,,
1739891635933,149,,,
1739891635934,,,149,
1739891636923,53,,,,
1739891636930,,149,,
1739891636933,149,,,
1739891636934,,,149,
1739891637923,53,,,,
1739891637930,,149,,
1739891637933,149,,,
1739891637935,,,149,
1739891638923,53,,,,
1739891638930,,149,,
1739891638933,149,,,
1739891638934,,,149,
1739891639923,53,,,,
1739891639932,,149,,
1739891639933,149,,,
1739891639935,,,149,
1739891640923,53,,,,
1739891640930,,149,,
1739891640934,149,,149,
1739891641924,53,,,,
1739891641930,,149,,
1739891641935,149,,,
1739891641936,,,149,
1739891642923,53,,,,
1739891642930,,149,,
1739891642934,149,,149,
1739891643923,53,,,,
1739891643929,,149,,
1739891643933,149,,,
1739891643934,,,149,
1739891644923,53,,,,
1739891644930,,149,,
1739891644933,149,,,
1739891644935,,,149,
1739891645922,53,,,,
1739891645930,,149,,
1739891645933,149,,,
1739891645935,,,149,
1739891646923,53,,,,
1739891646930,,149,,
1739891646933,149,,,
1739891646934,,,149,
1739891647922,53,,,,
1739891647930,,149,,
1739891647933,149,,,
1739891647935,,,149,
1739891648923,53,,,,
1739891648929,,149,,
1739891648933,149,,,
1739891648934,,,149,
1739891649923,53,,,,
1739891649930,,149,,
1739891649933,149,,,
1739891649934,,,149,
1739891650923,53,,,,
1739891650931,,149,,
1739891650933,149,,,
1739891650935,,,149,
1739891651923,53,,,,
1739891651930,,149,,
1739891651933,149,,,
1739891651935,,,149,
1739891652923,53,,,,
1739891652930,,149,,
1739891652933,149,,,
1739891652934,,,149,
1739891653923,53,,,,
1739891653930,,149,,
1739891653933,149,,,
1739891653934,,,149,
1739891654923,53,,,,
1739891654929,,149,,
1739891654933,149,,,
1739891654934,,,149,
1739891655923,53,,,,
1739891655929,,149,,
1739891655933,149,,,
1739891655934,,,149,
1739891656923,53,,,,
1739891656930,,149,,
1739891656933,149,,,
1739891656935,,,149,
1739891657923,53,,,,
1739891657929,,149,,
1739891657933,149,,,
1739891657934,,,149,
1739891658923,53,,,,
1739891658929,,149,,
1739891658933,149,,,
1739891658958,,,149,
1739891659922,53,,,,
1739891659930,,149,,
1739891659933,149,,,
1739891659934,,,149,
1739891660922,53,,,,
1739891660930,,149,,
1739891660934,,,149,
1739891660936,149,,,
1739891661923,53,,,,
1739891661930,,149,,
1739891661933,149,,,
1739891661934,,,149,
1739891662923,53,,,,
1739891662929,,149,,
1739891662933,149,,,
1739891662934,,,149,
1739891663923,53,,,,
1739891663929,,149,,
1739891663933,149,,,
1739891663934,,,149,
1739891664922,53,,,,
1739891664929,,149,,
1739891664933,149,,,
1739891664934,,,149,
1739891665922,53,,,,
1739891665929,,149,,
1739891665933,149,,,
1739891665934,,,149,
1739891666923,53,,,,
1739891666929,,149,,
1739891666933,149,,,
1739891666934,,,149,
1739891667923,53,,,,
1739891667930,,149,,
1739891667933,149,,,
1739891667934,,,149,
1739891668923,53,,,,
1739891668930,,149,,
1739891668933,149,,,
1739891668934,,,149,
1739891669923,53,,,,
1739891669930,,149,,
1739891669933,149,,,
1739891669934,,,149,
1739891670923,53,,,,
1739891670929,,149,,
1739891670933,149,,,
1739891670934,,,149,
1739891671923,53,,,,
1739891671929,,149,,
1739891671933,149,,,
1739891671934,,,149,
1739891672923,53,,,,
1739891672929,,149,,
1739891672933,149,,,
1739891672934,,,149,
1739891673923,53,,,,
1739891673929,,149,,
1739891673933,149,,,
1739891673934,,,150,
1739891674923,53,,,,
1739891674929,,149,,
1739891674933,149,,,
1739891674935,,,149,
1739891675923,53,,,,
1739891675929,,149,,
1739891675933,149,,,
1739891675934,,,149,
1739891676923,53,,,,
1739891676930,,149,,
1739891676933,149,,,
1739891676934,,,149,
1739891677923,53,,,,
1739891677929,,149,,
1739891677933,149,,,
1739891677934,,,149,
1739891678923,53,,,,
1739891678929,,149,,
1739891678933,149,,,
1739891678934,,,149,
1739891679923,53,,,,
1739891679930,,149,,
1739891679933,149,,,
1739891679935,,,149,
1739891680923,53,,,,
1739891680929,,149,,
1739891680933,149,,,
1739891680934,,,149,
1739891681923,53,,,,
1739891681929,,149,,
1739891681933,149,,,
1739891681934,,,149,
1739891682923,53,,,,
1739891682929,,149,,
1739891682933,149,,,
1739891682935,,,149,
1739891683923,53,,,,
1739891683929,,149,,
1739891683933,149,,,
1739891683934,,,149,
1739891684923,53,,,,
1739891684929,,149,,
1739891684933,149,,,
1739891684935,,,149,
1739891685923,53,,,,
1739891685929,,149,,
1739891685934,149,,,
1739891685935,,,149,
1739891686923,53,,,,
1739891686929,,149,,
1739891686933,149,,,
1739891686935,,,149,
1739891687923,53,,,,
1739891687929,,149,,
1739891687933,149,,,
1739891687934,,,149,
1739891688923,53,,,,
1739891688929,,149,,
1739891688933,149,,,
1739891688934,,,149,
1739891689923,53,,,,
1739891689929,,149,,
1739891689933,149,,,
1739891689934,,,149,
1739891690923,53,,,,
1739891690929,,149,,
1739891690933,149,,,
1739891690934,,,149,
1739891691923,53,,,,
1739891691929,,149,,
1739891691933,149,,,
1739891691934,,,149,
1739891692923,53,,,,
1739891692930,,149,,
1739891692933,149,,,
1739891692934,,,149,
1739891693923,53,,,,
1739891693929,,149,,
1739891693933,149,,,
1739891693934,,,149,
1739891694922,53,,,,
1739891694929,,149,,
1739891694933,149,,,
1739891694934,,,149,
1739891695923,53,,,,
1739891695929,,149,,
1739891695933,149,,,
1739891695934,,,149,
1739891696923,53,,,,
1739891696929,,149,,
1739891696933,149,,,
1739891696934,,,149,
1739891697923,53,,,,
1739891697929,,149,,
1739891697933,149,,,
1739891697934,,,149,
1739891698923,53,,,,
1739891698929,,149,,
1739891698933,149,,,
1739891698934,,,149,
1739891699924,53,,,,
1739891699930,,149,,
1739891699933,149,,,
1739891699934,,,149,
1739891700923,53,,,,
1739891700929,,149,,
1739891700933,149,,,
1739891700934,,,149,
1739891701923,53,,,,
1739891701929,,149,,
1739891701933,149,,,
1739891701934,,,149,
1739891702923,53,,,,
1739891702929,,149,,
1739891702933,149,,,
1739891702934,,,149,
1739891703923,53,,,,
1739891703929,,149,,
1739891703933,149,,,
1739891703934,,,149,
1739891704923,53,,,,
1739891704929,,149,,
1739891704933,149,,,
1739891704934,,,149,
1739891705925,53,,,,
1739891705933,,149,,
1739891705937,149,,,
1739891705938,,,149,
1739891706923,53,,,,
1739891706929,,149,,
1739891706933,149,,,
1739891706934,,,149,
1739891707923,53,,,,
1739891707930,,149,,
1739891707933,149,,,
1739891707935,,,149,
1739891708923,53,,,,
1739891708929,,149,,
1739891708933,149,,,
1739891708935,,,149,
1739891709923,53,,,,
1739891709930,,149,,
1739891709933,149,,,
1739891709935,,,149,
1739891710923,53,,,,
1739891710929,,149,,
1739891710934,,,149,
1739891710936,149,,,
1739891711923,53,,,,
1739891711929,,149,,
1739891711933,149,,,
1739891711934,,,149,
1739891712923,53,,,,
1739891712929,,149,,
1739891712933,149,,,
1739891712935,,,149,
1739891713922,53,,,,
1739891713929,,149,,
1739891713933,149,,,
1739891713935,,,149,
1739891714923,53,,,,
1739891714929,,149,,
1739891714933,149,,,
1739891714935,,,149,
1739891715923,53,,,,
1739891715929,,149,,
1739891715933,149,,,
1739891715935,,,149,
1739891716923,53,,,,
1739891716930,,149,,
1739891716933,149,,,
1739891716935,,,149,
1739891717923,53,,,,
1739891717930,,149,,
1739891717933,149,,,
1739891717935,,,149,
1739891718923,53,,,,
1739891718930,,149,,
1739891718933,149,,,
1739891718934,,,149,
1739891719923,53,,,,
1739891719929,,149,,
1739891719933,149,,,
1739891719934,,,149,
1739891720923,53,,,,
1739891720929,,149,,
1739891720933,149,,,
1739891720934,,,149,
1739891721923,53,,,,
1739891721929,,149,,
1739891721933,149,,,
1739891721934,,,149,
1739891722923,53,,,,
1739891722929,,149,,
1739891722933,149,,,
1739891722936,,,149,
1739891723922,53,,,,
1739891723929,,149,,
1739891723933,149,,,
1739891723934,,,149,
1739891724923,53,,,,
1739891724929,,149,,
1739891724933,149,,,
1739891724935,,,149,
1739891725923,53,,,,
1739891725930,,149,,
1739891725933,149,,,
1739891725934,,,149,
1739891726923,53,,,,
1739891726930,,149,,
1739891726933,149,,,
1739891726934,,,149,
1739891727923,53,,,,
1739891727930,,149,,
1739891727934,149,,149,
1739891728923,53,,,,
1739891728929,,149,,
1739891728933,149,,,
1739891728934,,,149,
1739891729923,53,,,,
1739891729930,,149,,
1739891729933,149,,,
1739891729934,,,149,
1739891730923,53,,,,
1739891730929,,149,,
1739891730933,149,,,
1739891730935,,,149,
1739891731923,53,,,,
1739891731929,,149,,
1739891731933,149,,,
1739891731934,,,149,
1739891732923,53,,,,
1739891732929,,149,,
1739891732933,149,,,
1739891732934,,,149,
1739891733923,53,,,,
1739891733929,,149,,
1739891733933,149,,,
1739891733935,,,149,
1739891734923,53,,,,
1739891734929,,149,,
1739891734933,149,,,
1739891734935,,,149,
1739891735923,53,,,,
1739891735929,,149,,
1739891735933,149,,,
1739891735935,,,149,
1739891736923,53,,,,
1739891736930,,149,,
1739891736933,149,,,
1739891736935,,,149,
1739891737923,53,,,,
1739891737930,,149,,
1739891737933,149,,,
