Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;1929.0
Domain Marker;max-jOPS;8387.0
Domain Marker;Last Success for SLAs;5013.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
96;90.36808779183008
193;93.06513777558204
289;93.36223203386503
386;93.6280921002072
482;94.68936781775133
578;92.49703040877417
675;95.30536330858351
771;95.47343196550611
868;95.54950030725573
964;95.73690238510903
1060;96.11556029787597
1157;95.65641396912663
1253;96.3919357773974
1350;95.00622004579758
1446;96.38227599237374
1542;95.78855813416929
1639;96.80248172999947
1735;95.24193958493667
1832;96.92481179844431
1928;96.05826587338343
2024;95.23187332462949
2121;97.16728448451424
2217;94.76452860475311
2314;95.87285215864439
2410;95.92505260765299
2506;95.73452532091862
2603;97.36573005922321
2699;97.39481015974681
2796;97.14304396479295
2892;97.17895571151979
2988;95.6717903947777
3085;95.9634115745373
3181;96.01791621269766
3278;95.53164696436566
3374;95.8550813203496
3470;95.13306792553388
3567;95.85922908074356
3663;96.14994837159198
3760;96.04927457234133
3856;96.0051531011327
3952;94.55186523269269
4049;96.67004406983625
4145;96.07296639647805
4242;94.66803610817611
4338;96.55724522079313
4434;94.9856115923699
4531;96.30829505085975
4627;93.76828489791468
4724;96.49302008645704
4820;94.11022573084021
4916;93.38572452529947
5013;96.22408548165654
5109;94.1803386551621
5206;93.35198149296482
5302;93.87962498052327
5398;95.71026479166294
5495;95.95862790227311
5591;95.8012010125111
5688;93.2526895055787
5784;93.35414156865203
5880;92.61368755049588
5977;88.07643697122168
6073;92.4286246280176
6170;92.25785574606462
6266;93.0144224374564
6362;92.23022244864109
6459;91.67284157879429
6555;90.85592357037336
6652;88.48970150007987
6748;85.6219142116683
6844;84.63337411465376
6941;78.04307430757855
7037;79.9210810812494
7134;79.76138539426766
7230;79.12112852610137
7326;72.65995916657367
7423;74.44164088318644
7519;74.0005559982135
7616;69.69554468425366
7712;62.48504189850957
7808;66.40478693640503
7905;62.64122413107922
8001;48.909992385005836
8098;45.52615570674072
8194;39.76863543371819
8290;34.89943158324181
8387;2.8262182604418786
8483;1.5448331613114337
8580;1.8310977969673463
8676;1.6027308072119977
8772;2.1269213952095383
