Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;2360.0
Domain Marker;max-jOPS;7164.0
Domain Marker;Last Success for SLAs;4186.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
80;89.28404342831976
161;92.62198938822175
241;92.8377306941603
322;93.51818293186169
402;94.4231449404895
483;95.01026863981062
563;95.11242440223491
644;95.05476402224532
724;95.66617871253412
805;95.24232017840369
885;95.92180022558432
966;96.47180432243026
1046;96.25780811433758
1127;96.76725229919404
1207;96.6506150371169
1288;96.50861108638937
1368;96.26668238413632
1449;96.6967106265819
1529;96.65212500797907
1610;96.7924317762667
1690;96.52565387415646
1771;97.51690124192606
1851;96.78682481537092
1932;97.05151442538775
2012;96.91704798421641
2093;97.036450328138
2173;97.44963651480187
2254;97.32894657585398
2334;96.93175826321279
2415;97.10582996362587
2495;97.24309732370978
2576;97.13051685727308
2656;97.39931118685239
2737;97.45223238180711
2817;97.54527136188626
2898;97.26960322147154
2978;97.17665219282294
3059;97.68236694969012
3139;97.56708131062044
3220;97.66056614423591
3300;97.65139849024142
3381;97.42390677600706
3461;97.48787641446044
3542;97.82284392898363
3622;97.26997839555833
3703;97.83822998411624
3783;97.4573033275364
3864;97.23436891785548
3944;97.81302347957151
4025;98.09378989433249
4105;97.4885409076801
4186;97.98709923078762
4266;98.00339174656291
4347;97.49075999551796
4427;97.7254830375348
4508;97.51914655882844
4588;97.71071683351894
4669;98.13248336971351
4749;97.66285859509244
4830;97.46249067241168
4910;97.66776561409714
4991;97.40295886411602
5071;97.60983093014953
5152;97.33239081637146
5232;97.73462614430893
5313;97.24248495712747
5393;97.41585355806438
5474;97.36132130128662
5554;95.48956784559753
5635;96.82289668445007
5715;96.53646540267962
5796;96.21508249444477
5876;95.97142863486852
5957;94.70199486787627
6037;94.49389415894923
6118;94.16305939901919
6198;93.4360049987526
6279;91.1619820435043
6359;90.73036986425892
6440;90.30219499867242
6520;88.18990465524837
6601;87.73183730817333
6681;83.72037036346306
6762;82.25518682170717
6842;80.39343458459969
6923;78.276872601082
7003;76.87006457269064
7084;73.94999286792344
7164;67.96595203219127
7245;46.86582351430392
7325;38.10353408075905
7406;28.40887590660092
7486;27.404884663943918
