Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;2300.0
Domain Marker;max-jOPS;7486.0
Domain Marker;Last Success for SLAs;4186.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
80;90.05834052110843
161;92.29651967085641
241;92.7025646839128
322;93.88314055708818
402;95.18961413993259
483;94.77228907228218
563;95.00192856717511
644;95.66969379917242
724;95.50950028862752
805;95.26622584931441
885;95.92611628665999
966;96.2090593323366
1046;96.37676261027934
1127;96.23683515614796
1207;95.89334869497236
1288;96.59193404961673
1368;96.7152362688827
1449;96.63173073355871
1529;96.53363608815334
1610;96.72865848508505
1690;97.09578708423486
1771;96.65520915191418
1851;96.98866301932144
1932;96.8838383631342
2012;96.98932118474963
2093;96.97014013005527
2173;96.97940256575231
2254;97.30120840364508
2334;97.15300599155992
2415;97.12399369835366
2495;97.36813193471339
2576;97.07868326237083
2656;97.40957255209712
2737;97.16746933127415
2817;97.38612547194049
2898;97.2305589306707
2978;97.35434260498421
3059;97.02901500809907
3139;97.3675117868349
3220;97.54904259869161
3300;97.45784752805476
3381;97.57353602439848
3461;97.76035229789524
3542;97.2216660558081
3622;97.58528541388895
3703;97.57976954315194
3783;97.85271273291598
3864;97.61858520668038
3944;97.82914209419366
4025;97.11337115510304
4105;97.86103682485982
4186;97.5981703487349
4266;97.77295752796189
4347;97.6398293830946
4427;97.63583087597921
4508;97.7945988692024
4588;97.97075262432355
4669;97.95280190900014
4749;97.53300367078276
4830;97.41320559716836
4910;97.7441132244318
4991;96.9423506174062
5071;97.02633432219093
5152;98.07213518139952
5232;97.7731810736867
5313;97.46198184560292
5393;97.55363922204366
5474;97.73618025323344
5554;97.01151347489329
5635;96.85844778211171
5715;97.1016152756637
5796;97.14240799288257
5876;96.31066735905884
5957;95.40658346710937
6037;96.23844517080752
6118;95.51232464532593
6198;95.73966057441453
6279;94.83310483838156
6359;93.22203298289254
6440;92.40655709607854
6520;91.14317911512117
6601;88.90875320098763
6681;89.06625867911974
6762;87.81837838964931
6842;85.43850279108592
6923;83.11261206662678
7003;81.70986937485806
7084;78.54649643865929
7164;76.91871294712438
7245;74.36307856061335
7325;71.46037891538762
7406;68.28618642676463
7486;56.632835173390994
7567;38.67925087764489
7647;47.64247804730364
7728;34.31119611098594
7808;26.746372934778755
