
===================================
Domain Marker;critical-jOPS;2306.0
Domain Marker;max-jOPS;7164.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
80.0;500.0;2100.0;3100.0;3400.0;4300.0;6800.0
161.0;500.0;2300.0;3600.0;4000.0;4900.0;17300.0
241.0;500.0;2600.0;4200.0;4700.0;5800.0;122000.0
322.0;500.0;2800.0;4700.0;5300.0;6400.0;159000.0
402.0;500.0;2900.0;5100.0;5800.0;7100.0;179000.0
483.0;500.0;3200.0;5700.0;6400.0;8000.0;141000.0
563.0;500.0;3400.0;6200.0;7000.0;8800.0;137000.0
644.0;400.0;3400.0;6600.0;7500.0;9300.0;142000.0
724.0;500.0;3500.0;7100.0;8100.0;10300.0;142000.0
805.0;500.0;3800.0;7800.0;8800.0;11000.0;124000.0
885.0;500.0;3900.0;8200.0;9300.0;11600.0;128000.0
966.0;400.0;4000.0;8500.0;9800.0;12522.000000000116;143000.0
1046.0;500.0;3800.0;8900.0;10300.0;13900.0;145000.0
1127.0;500.0;4200.0;9300.0;10600.0;13100.0;144000.0
1207.0;400.0;4200.0;9600.0;11100.0;14100.0;181000.0
1288.0;500.0;4000.0;9700.0;11300.0;14700.0;151000.0
1368.0;500.0;4300.0;10300.0;11900.0;15000.0;147000.0
1449.0;300.0;4100.0;10300.0;12000.0;15500.0;154000.0
1529.0;500.0;4100.0;10100.0;12000.0;15600.0;173000.0
1610.0;400.0;4200.0;10500.0;12600.0;17800.0;162000.0
1690.0;400.0;4200.0;10200.0;12200.0;16300.0;163000.0
1771.0;500.0;4200.0;10100.0;12200.0;17800.0;155000.0
1851.0;400.0;4300.0;10300.0;12500.0;19700.0;197000.0
1932.0;400.0;4400.0;10400.0;12500.0;18100.0;166000.0
2012.0;400.0;4300.0;10100.0;12100.0;17500.0;174000.0
2093.0;300.0;4300.0;10200.0;12400.0;20339.999999996508;151000.0
2173.0;400.0;4300.0;10000.0;12200.0;23000.0;217000.0
2254.0;400.0;3900.0;9000.0;11400.0;32000.0;192000.0
2334.0;400.0;4100.0;9200.0;11500.0;26000.0;215000.0
2415.0;400.0;4300.0;9600.0;12000.0;40000.0;304000.0
2495.0;400.0;4500.0;10000.0;12200.0;34000.0;220000.0
2576.0;400.0;4400.0;9800.0;12100.0;30000.0;178000.0
2656.0;400.0;4500.0;9900.0;12500.0;35000.0;203000.0
2737.0;400.0;4700.0;10100.0;12700.0;37000.0;241000.0
2817.0;400.0;4600.0;10000.0;12500.0;41000.0;244000.0
2898.0;400.0;4600.0;10000.0;12900.0;50000.0;238000.0
2978.0;400.0;4800.0;10200.0;12600.0;33000.0;233000.0
3059.0;400.0;4700.0;10200.0;13400.0;60000.0;237000.0
3139.0;300.0;4800.0;10200.0;13800.0;84000.0;257000.0
3220.0;400.0;4900.0;10800.0;15000.0;57000.0;336000.0
3300.0;400.0;5000.0;11000.0;15400.0;86000.0;381000.0
3381.0;400.0;5000.0;10800.0;14500.0;58000.0;220000.0
3461.0;400.0;5100.0;11100.0;16700.0;83000.0;356000.0
3542.0;400.0;5200.0;11200.0;17900.0;82000.0;295000.0
3622.0;400.0;5100.0;10700.0;14800.0;54000.0;228000.0
3703.0;400.0;5300.0;11500.0;18600.0;79000.0;333000.0
3783.0;400.0;5300.0;11500.0;18500.0;71000.0;343000.0
3864.0;400.0;5300.0;11400.0;17700.0;73000.0;391000.0
3944.0;400.0;5400.0;12400.0;22000.0;86000.0;535000.0
4025.0;400.0;5600.0;13200.0;28000.0;101000.0;409000.0
4105.0;400.0;5700.0;13000.0;29000.0;103000.0;447000.0
4186.0;400.0;5700.0;12800.0;23000.0;97000.0;449000.0
4266.0;400.0;5900.0;14700.0;36000.0;131000.0;576000.0
4347.0;400.0;6000.0;16200.0;38000.0;113000.0;419000.0
4427.0;400.0;6100.0;15300.0;30000.0;112000.0;534000.0
4508.0;400.0;6100.0;15700.0;34000.0;118000.0;516000.0
4588.0;300.0;6200.0;17800.0;39000.0;103000.0;536000.0
4669.0;400.0;6400.0;24000.0;53000.0;134000.0;700000.0
4749.0;400.0;6600.0;33000.0;69000.0;135000.0;820000.0
4830.0;400.0;6800.0;31000.0;56000.0;112000.0;610000.0
4910.0;400.0;7100.0;33000.0;55000.0;114000.0;620000.0
4991.0;300.0;7300.0;38000.0;65000.0;129000.0;890000.0
5071.0;400.0;7400.0;39000.0;65000.0;140000.0;910000.0
5152.0;400.0;7600.0;40000.0;66000.0;122000.0;930000.0
5232.0;400.0;7700.0;44000.0;68000.0;137000.0;1200000.0
5313.0;400.0;7700.0;44000.0;73000.0;134000.0;1700000.0
5393.0;400.0;8200.0;55000.0;83000.0;151000.0;980000.0
5474.0;400.0;8500.0;62000.0;93000.0;153000.0;1800000.0
5554.0;400.0;9000.0;72000.0;105000.0;171000.0;2000000.0
5635.0;400.0;9300.0;67000.0;105000.0;181000.0;1900000.0
5715.0;400.0;10100.0;85000.0;120000.0;206000.0;2800000.0
5796.0;400.0;11300.0;111000.0;150000.0;255000.0;2700000.0
5876.0;400.0;11600.0;114000.0;153000.0;222000.0;2700000.0
5957.0;300.0;13200.0;127000.0;176000.0;265799.99999998836;3300000.0
6037.0;400.0;15400.0;122000.0;161000.0;245000.0;3400000.0
6118.0;400.0;16400.0;137000.0;164000.0;238000.0;4500000.0
6198.0;400.0;23000.0;169000.0;211000.0;321000.0;4400000.0
6279.0;400.0;31000.0;182000.0;225000.0;316000.0;4800000.0
6359.0;400.0;45000.0;203000.0;257000.0;360000.0;4500000.0
