MemTotal:       32755048 kB
MemFree:        21921076 kB
MemAvailable:   31312584 kB
Buffers:         2359528 kB
Cached:          7236108 kB
SwapCached:            0 kB
Active:          5898188 kB
Inactive:        3992832 kB
Active(anon):       1752 kB
Inactive(anon):   501500 kB
Active(file):    5896436 kB
Inactive(file):  3491332 kB
Unevictable:      198164 kB
Mlocked:            5540 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2344 kB
Writeback:             0 kB
AnonPages:        493604 kB
Mapped:           320464 kB
Shmem:            202868 kB
KReclaimable:     466852 kB
Slab:             603376 kB
SReclaimable:     466852 kB
SUnreclaim:       136524 kB
KernelStack:        7996 kB
PageTables:        17420 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16377524 kB
Committed_AS:    3348224 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       25472 kB
VmallocChunk:          0 kB
Percpu:             9696 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      173048 kB
DirectMap2M:     6004736 kB
DirectMap1G:    28311552 kB
