Timestamp,Slave 0,Slave 1,Slave 2,
1707689930877,117844,,,,
1707689930890,321780,,,
1707689930905,,,320452,
1707689930911,,319316,,
1707689931853,117940,,,,
1707689931866,,361560,,
1707689931870,370160,,,
1707689931873,,,354320,
1707689932866,118200,,,,
1707689932874,427256,,,
1707689932875,,424296,,
1707689932886,,,405932,
1707689933860,,,445956,
1707689933871,,439644,,
1707689933875,118200,,,,
1707689933881,467920,,,
1707689934871,118200,,,,
1707689934877,,441684,,
1707689934878,501232,,,
1707689934880,,,477260,
1707689935867,118568,,,,
1707689935868,,,527444,
1707689935876,,447616,,
1707689935891,549620,,,
1707689936848,118568,,,,
1707689936854,,530292,,
1707689936855,,,614568,
1707689936858,640292,,,
1707689937849,118832,,,,
1707689937855,,,765360,
1707689937856,,682872,,
1707689937857,831528,,,
1707689938862,,,865560,
1707689938863,119720,,,,
1707689938882,,803480,,
1707689938889,847516,,,
1707689939874,,,872728,
1707689939876,,867372,,
1707689939882,119816,,,,
1707689939895,858660,,,
1707689940848,119816,,,,
1707689940854,,926204,,
1707689940856,908728,,895892,
1707689941849,120080,,,,
1707689941857,,1045752,,
1707689941858,910484,,944496,
1707689942848,120080,,,,
1707689942852,,,946764,
1707689942856,,1250228,,
1707689942862,933288,,,
1707689943847,120080,,,,
1707689943855,,,966144,
1707689943857,933952,,,
1707689943866,,1251656,,
1707689944851,120344,,,,
1707689944853,,,969016,
1707689944855,,1255996,,
1707689944856,934220,,,
1707689945857,949016,,953536,
1707689945858,120440,,,,
1707689945859,,1279944,,
1707689946847,120704,,,,
1707689946855,949016,,953872,
1707689946857,,1280020,,
1707689947847,120704,,,,
1707689947854,949876,1301696,,
1707689947855,,,961336,
1707689948850,120704,,,,
1707689948853,,1301696,,
1707689948856,979548,,,
1707689948859,,,961424,
1707689949847,120968,,,,
1707689949855,,,977000,
1707689949856,979700,,,
1707689949866,,1303424,,
1707689950847,121068,,,,
1707689950854,981368,,977000,
1707689950856,,1294940,,
1707689951852,121068,,,,
1707689951856,,,977100,
1707689951858,1115284,1294940,,
1707689952849,121332,,,,
1707689952856,,1298572,,
1707689952858,,,1004820,
1707689952861,1115336,,,
1707689953846,121332,,,,
1707689953853,,1298572,1157800,
1707689953854,1115600,,,
1707689954850,121404,,,,
1707689954853,,1298836,,
1707689954855,1197176,,1157800,
1707689955848,121404,,,,
1707689955853,,1299364,1157800,
1707689955858,1315448,,,
1707689956849,121668,,,,
1707689956853,1315448,,,
1707689956854,,1304232,,
1707689956855,,,1158064,
1707689957849,121668,,,,
1707689957853,,1304232,1269212,
1707689957855,1315524,,,
1707689958846,121668,,,,
1707689958855,,1304232,1269212,
1707689958858,1318428,,,
1707689959850,122028,,,,
1707689959855,1330572,1304564,,
1707689959856,,,1269292,
1707689960847,122028,,,,
1707689960853,,,1269292,
1707689960856,1330648,,,
1707689960857,,1313276,,
1707689961850,122028,,,,
1707689961852,,1313276,,
1707689961854,,,1280908,
1707689961856,1330648,,,
1707689962846,122292,,,,
1707689962852,,,1280984,
1707689962853,,1313276,,
1707689962855,1338304,,,
1707689963849,122380,,,,
1707689963856,1338380,,,
1707689963857,,1313608,,
1707689963859,,,1280984,
1707689964847,122380,,,,
1707689964852,,1322016,,
1707689964853,,,1280984,
1707689964854,1338380,,,
1707689965847,122644,,,,
1707689965854,,1322016,1288112,
1707689965857,1338380,,,
1707689966849,122644,,,,
1707689966853,,1322016,1288404,
1707689966857,1346372,,,
1707689967851,122644,,,,
1707689967854,,1322016,1288404,
1707689967856,1346372,,,
1707689968847,122908,,,,
1707689968855,1346456,,1288404,
1707689968856,,1328976,,
1707689969846,122908,,,,
1707689969855,1346456,,,
1707689969856,,1329228,,
1707689969857,,,1296060,
1707689970850,122908,,,,
1707689970856,,1329720,,
1707689970857,,,1296060,
1707689970868,1354376,,,
1707689971847,122908,,,,
1707689971853,1354376,1336584,1296140,
1707689972848,123172,,,,
1707689972855,1354376,,,
1707689972857,,1336584,1296140,
1707689973853,123172,,,,
1707689973864,,1336584,,
1707689973870,,,1302740,
1707689973873,1362296,,,
1707689974850,123256,,,,
1707689974854,,1336584,,
1707689974860,,,1302740,
1707689974861,1362296,,,
1707689975847,123520,,,,
1707689975853,,1343976,,
1707689975856,1362296,,,
1707689975857,,,1302740,
1707689976848,123520,,,,
1707689976853,,,1302740,
1707689976856,,1343976,,
1707689976857,1362296,,,
1707689977846,123520,,,,
1707689977853,,1343976,,
1707689977854,,,1309340,
1707689977856,1370052,,,
1707689978847,123784,,,,
1707689978852,,,1309340,
1707689978856,1370052,,,
1707689978857,,1343976,,
1707689979849,123784,,,,
1707689979852,,,1309340,
1707689979853,,1350840,,
1707689979854,1370052,,,
1707689980846,123784,,,,
1707689980852,,,1309340,
1707689980855,,1350840,,
1707689980864,1370052,,,
1707689981846,124136,,,,
1707689981854,,,1315500,
1707689981856,1377708,1350940,,
1707689982859,124136,1377708,,1315500,
1707689982869,,1358332,,
1707689983847,124136,,,,
1707689983853,,1358332,1315500,
1707689983856,1377708,,,
1707689984850,124504,,,,
1707689984853,,1358332,1322364,
1707689984860,1377708,,,
1707689985848,124544,,,,
1707689985854,1385628,1358332,,
1707689985856,,,1322364,
1707689986847,124544,,,,
1707689986854,,,1322364,
1707689986856,1385628,1365460,,
1707689987849,124544,,,,
1707689987853,,,1322364,
1707689987856,,1365460,,
1707689987859,1385892,,,
1707689988847,124808,,,,
1707689988852,,,1328436,
1707689988853,,1365548,,
1707689988854,1393548,,,
1707689989847,124808,,,,
1707689989854,,,1328436,
1707689989858,1393572,1365548,,
1707689990846,124808,,,,
1707689990853,,1373208,1329808,
1707689990855,1393656,,,
1707689991846,125072,,,,
1707689991853,1393656,1373236,1329752,
1707689992846,125072,,,,
1707689992853,,1373336,1336544,
1707689992858,1401372,,,
1707689993850,125072,,,,
1707689993860,,1373336,1336612,
1707689993864,1401448,,,
1707689994846,125336,,,,
1707689994853,,1380200,,
1707689994854,,,1336612,
1707689994857,1401448,,,
1707689995851,125336,,,1336612,
1707689995852,,1380200,,
1707689995855,1401448,,,
1707689996846,125336,,,,
1707689996852,,,1343260,
1707689996854,1409632,,,
1707689996855,,1380200,,
1707689997847,125600,,,,
1707689997854,1409980,1387056,,
1707689997856,,,1343260,
1707689998850,126408,,,,
1707689998857,,1393332,,
1707689998858,1414616,,,
1707689998860,,,1345368,
1707689999854,126408,,,,
1707689999857,,1393416,,
1707689999859,1414616,,,
1707689999861,,,1345912,
1707690000845,137380,,,,
1707690000852,,,1346028,
1707690000853,,1393512,,
1707690000854,1419732,,,
1707690001846,162580,,,,
1707690001854,1427508,1400312,,
1707690001856,,,1352464,
