Timestamp,Slave 0,Slave 1,Slave 2,
1707712287033,113716,,,,
1707712287041,291956,,,
1707712287046,,,310132,
1707712287063,,304084,,
1707712288037,338744,,,
1707712288039,113988,,,,
1707712288041,,350232,,
1707712288049,,,350876,
1707712289043,113988,,,,
1707712289045,,395384,,
1707712289046,385924,,,
1707712289054,,,411772,
1707712290037,114080,,,430248,
1707712290040,434476,,,
1707712290061,,402624,,
1707712291031,454472,,,
1707712291034,114080,,,,
1707712291051,,423356,,
1707712291062,,,460964,
1707712292034,119612,,,,
1707712292035,467484,,,
1707712292036,,444272,,
1707712292044,,,476552,
1707712293029,119612,,,,
1707712293033,,,522964,
1707712293035,,504760,,
1707712293036,515688,,,
1707712294013,119708,,,,
1707712294021,,610556,,
1707712294036,,,625136,
1707712294037,672740,,,
1707712295047,,785548,,
1707712295048,,,782240,
1707712295049,119880,719272,,,
1707712296030,119956,,,,
1707712296041,,,824904,
1707712296044,726388,,,
1707712296049,,830460,,
1707712297029,,881140,,
1707712297036,734216,,,
1707712297039,119956,,,,
1707712297066,,,873260,
1707712298018,756372,,,
1707712298022,,1018712,,
1707712298029,119968,,,,
1707712298035,,,983848,
1707712299014,120092,,,,
1707712299018,,1020428,,
1707712299020,757156,,1040524,
1707712300012,120092,,,,
1707712300019,758808,1077000,,
1707712300020,,,1041396,
1707712301014,120168,,,,
1707712301020,,,1041816,
1707712301021,761296,1084052,,
1707712302012,120272,,,,
1707712302020,781604,1092844,1048744,
1707712303014,120304,,,,
1707712303019,768032,1071960,1031060,
1707712304014,120304,,,,
1707712304019,890924,,1032200,
1707712304022,,1080224,,
1707712305013,120304,,,,
1707712305020,,,1034656,
1707712305021,947252,,,
1707712305022,,1080284,,
1707712306013,120392,,,,
1707712306020,,1081340,,
1707712306021,947260,,1034656,
1707712307013,120392,,,,
1707712307017,,,1036240,
1707712307019,1013564,1084304,,
1707712308013,120392,,,,
1707712308019,1258924,1136116,1099160,
1707712309012,120392,,,,
1707712309020,,1136116,1099160,
1707712309021,1259008,,,
1707712310012,120468,,,,
1707712310019,,1136432,,
1707712310021,1259008,,1099216,
1707712311010,120468,,,,
1707712311022,1261912,,1120104,
1707712311037,,1251268,,
1707712312012,120468,,,,
1707712312016,1271416,,,
1707712312019,,1251268,,
1707712312020,,,1254604,
1707712313013,120468,,,,
1707712313016,1271416,,,
1707712313019,,,1254604,
1707712313020,,1251268,,
1707712314013,120468,,,,
1707712314018,,1251348,,
1707712314019,1271484,,,
1707712314020,,,1254604,
1707712315013,120564,,,,
1707712315018,1271532,,,
1707712315020,,1263492,1254604,
1707712316013,120576,,,,
1707712316021,,1263576,,
1707712316022,,,1266568,
1707712316024,1278956,,,
1707712317012,120576,,,,
1707712317018,1278956,,,
1707712317019,,,1266640,
1707712317021,,1263576,,
1707712318013,120576,,,,
1707712318019,1278956,1263632,1266640,
1707712319012,120576,,,,
1707712319019,1279096,,,
1707712319020,,1272344,1266640,
1707712320012,120576,,,,
1707712320020,,1272376,,
1707712320021,1286752,,,
1707712320023,,,1275876,
1707712321012,120652,,,,
1707712321019,1286752,1272376,,
1707712321021,,,1275880,
1707712322011,120652,,,,
1707712322018,1286752,,1275880,
1707712322019,,1272376,,
1707712323012,120652,,,,
1707712323018,,,1275952,
1707712323020,1286752,1280292,,
1707712324013,120652,,,,
1707712324020,1295008,1280356,1283408,
1707712325012,120652,,,,
1707712325017,,,1283436,
1707712325020,1295072,1280432,,
1707712326012,120652,,,,
1707712326019,1295072,,,
1707712326020,,1280432,,
1707712326021,,,1283436,
1707712327015,120652,,,,
1707712327017,,1287824,,
1707712327018,1302728,,,
1707712327019,,,1289772,
1707712328012,120728,,,,
1707712328020,1302728,1287824,,
1707712328021,,,1289772,
1707712329014,120740,,,,
1707712329021,1302740,1287836,1289780,
1707712330014,120740,,,,
1707712330019,1302740,1287836,1289780,
1707712331012,120740,,,,
1707712331019,1309600,1295756,1296380,
1707712332012,120740,,,,
1707712332018,1309600,1295756,,
1707712332020,,,1296460,
1707712333012,120740,,,,
1707712333018,1309600,,1296460,
1707712333019,,1295760,,
1707712334013,120740,,,,
1707712334028,,,1296460,
1707712334035,,1302720,,
1707712334036,1309696,,,
1707712335012,120832,,,,
