
===================================
Domain Marker;critical-jOPS;2115.0
Domain Marker;max-jOPS;11070.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;400.0;1600.0;2000.0;2100.0;2800.0;118000.0
277.0;500.0;1800.0;2500.0;2800.0;3500.0;122000.0
415.0;500.0;2100.0;3100.0;3400.0;4200.0;123000.0
553.0;400.0;2300.0;3700.0;4100.0;5200.0;128000.0
692.0;400.0;2500.0;4200.0;4700.0;5700.0;129000.0
830.0;500.0;2800.0;4700.0;5300.0;6500.0;132000.0
969.0;500.0;3000.0;5300.0;6100.0;34000.0;1100000.0
1107.0;400.0;3100.0;5800.0;6500.0;8800.0;121000.0
1245.0;400.0;3200.0;6200.0;7000.0;8700.0;135000.0
1384.0;400.0;3400.0;6700.0;7700.0;10100.0;136000.0
1522.0;400.0;3400.0;7000.0;8000.0;10700.0;136000.0
1660.0;400.0;3500.0;7600.0;9300.0;28000.0;1100000.0
1799.0;400.0;3500.0;7400.0;8600.0;11300.0;114000.0
1937.0;400.0;3500.0;7300.0;8700.0;12000.0;117000.0
2076.0;400.0;3600.0;7700.0;9400.0;72000.0;960000.0
2214.0;400.0;3600.0;7800.0;9700.0;128000.0;950000.0
2352.0;400.0;3600.0;7300.0;8700.0;23000.0;960000.0
2491.0;400.0;3600.0;7500.0;9000.0;134000.0;940000.0
2629.0;400.0;3700.0;7500.0;9100.0;158000.0;950000.0
2767.0;400.0;3600.0;7400.0;9100.0;54000.0;940000.0
2906.0;400.0;3700.0;7600.0;9300.0;94000.0;940000.0
3044.0;400.0;3600.0;7300.0;9000.0;108470.00000000116;960000.0
3183.0;400.0;3700.0;7500.0;9500.0;222000.0;344000.0
3321.0;400.0;3800.0;8000.0;10700.0;69000.0;960000.0
3459.0;400.0;3800.0;7700.0;9600.0;112000.0;930000.0
3598.0;400.0;3800.0;7700.0;10400.0;262000.0;930000.0
3736.0;400.0;3900.0;8400.0;13800.0;228000.0;980000.0
3874.0;400.0;3800.0;7400.0;9000.0;22000.0;940000.0
4013.0;400.0;3900.0;8400.0;18000.0;262000.0;1400000.0
4151.0;400.0;3800.0;7500.0;9600.0;102000.0;950000.0
4289.0;400.0;3900.0;8200.0;12500.0;219000.0;960000.0
4428.0;400.0;3900.0;7700.0;10700.0;270979.9999999814;970000.0
4566.0;400.0;4100.0;8500.0;19800.0;270000.0;960000.0
4705.0;400.0;4100.0;8900.0;22000.0;427000.0;960000.0
4843.0;400.0;4100.0;8300.0;16300.0;144000.0;980000.0
4981.0;300.0;4200.0;8800.0;17800.0;268000.0;950000.0
5120.0;300.0;4200.0;8700.0;17000.0;447000.0;960000.0
5258.0;400.0;4300.0;9200.0;23000.0;248000.0;960000.0
5396.0;300.0;4300.0;10200.0;176000.0;630000.0;980000.0
5535.0;300.0;4400.0;9900.0;27000.0;252000.0;950000.0
5673.0;300.0;4700.0;29000.0;351000.0;417000.0;2300000.0
5812.0;300.0;4600.0;11400.0;64000.0;532000.0;960000.0
5950.0;300.0;4700.0;12600.0;65000.0;449000.0;1100000.0
6088.0;300.0;4700.0;13500.0;69000.0;504000.0;980000.0
6227.0;300.0;5000.0;21000.0;97000.0;445000.0;1300000.0
6365.0;300.0;5100.0;18000.0;70000.0;498000.0;980000.0
6503.0;300.0;5000.0;12700.0;28000.0;384000.0;1100000.0
6642.0;300.0;5300.0;31000.0;309000.0;720000.0;1100000.0
6780.0;300.0;5200.0;20000.0;85000.0;210000.0;980000.0
6918.0;300.0;5800.0;159000.0;388000.0;760000.0;2400000.0
7057.0;300.0;5500.0;25000.0;73000.0;444000.0;970000.0
7195.0;300.0;5800.0;41000.0;145000.0;434000.0;990000.0
7334.0;300.0;5900.0;57000.0;288000.0;464000.0;980000.0
7472.0;300.0;6000.0;35000.0;123000.0;348000.0;990000.0
7610.0;300.0;6400.0;84000.0;321000.0;660000.0;990000.0
7749.0;300.0;6500.0;70000.0;297000.0;545000.0;990000.0
7887.0;300.0;7300.0;388000.0;660000.0;860000.0;2900000.0
8025.0;400.0;7100.0;93000.0;288000.0;620000.0;1600000.0
8164.0;300.0;7500.0;117000.0;320000.0;720000.0;1000000.0
8302.0;300.0;8100.0;132000.0;293000.0;710000.0;1100000.0
8441.0;400.0;8200.0;141000.0;363000.0;650000.0;1100000.0
8579.0;400.0;9100.0;261000.0;395000.0;700000.0;1100000.0
8717.0;400.0;10200.0;475000.0;620000.0;910000.0;3600000.0
8856.0;300.0;9800.0;267000.0;450000.0;930000.0;1200000.0
8994.0;300.0;11400.0;290000.0;443000.0;710000.0;1100000.0
9132.0;400.0;11300.0;449000.0;610000.0;920000.0;1100000.0
9271.0;400.0;14100.0;349000.0;451000.0;740000.0;1100000.0
9409.0;300.0;13400.0;361000.0;579000.0;1100000.0;1300000.0
9548.0;400.0;18500.0;451000.0;670000.0;950000.0;1600000.0
9686.0;400.0;19200.0;447000.0;620000.0;910000.0;1400000.0
9824.0;300.0;23000.0;463000.0;670000.0;940000.0;1700000.0
9963.0;300.0;34000.0;522000.0;660000.0;850000.0;1400000.0
10101.0;400.0;45000.0;564000.0;750000.0;1100000.0;1500000.0
10239.0;400.0;60000.0;650000.0;820000.0;960000.0;1600000.0
10378.0;400.0;92000.0;640000.0;760000.0;910000.0;2400000.0
10516.0;400.0;93000.0;660000.0;770000.0;980000.0;2300000.0
10654.0;400.0;284000.0;720000.0;830000.0;990000.0;2000000.0
10793.0;400.0;357000.0;800000.0;910000.0;1100000.0;2300000.0
10931.0;400.0;464000.0;850000.0;950000.0;1200000.0;2200000.0
11070.0;5900.0;860000.0;1200000.0;1400000.0;1800000.0;8400000.0
11208.0;15400.0;950000.0;1400000.0;1800000.0;3200000.0;2.9E7
11346.0;31000.0;800000.0;1200000.0;1400000.0;1800000.0;3.5E7
11485.0;25000.0;950000.0;1500000.0;1800000.0;3900000.0;3.6E7
11623.0;13800.0;910000.0;1400000.0;1700000.0;4200000.0;5.0E7
