MemTotal:       32755048 kB
MemFree:         5138904 kB
MemAvailable:   31180128 kB
Buffers:          997184 kB
Cached:         24870840 kB
SwapCached:            0 kB
Active:         11742800 kB
Inactive:       14497332 kB
Active(anon):       1912 kB
Inactive(anon):   568580 kB
Active(file):   11740888 kB
Inactive(file): 13928752 kB
Unevictable:      187072 kB
Mlocked:            5540 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              8520 kB
Writeback:             0 kB
AnonPages:        559420 kB
Mapped:           311264 kB
Shmem:            193104 kB
KReclaimable:     846984 kB
Slab:            1053028 kB
SReclaimable:     846984 kB
SUnreclaim:       206044 kB
KernelStack:        8680 kB
PageTables:        19044 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16377524 kB
Committed_AS:    3783536 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       27880 kB
VmallocChunk:          0 kB
Percpu:            12256 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      322552 kB
DirectMap2M:    17389568 kB
DirectMap1G:    16777216 kB
