Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;3582.0
Domain Marker;max-jOPS;9748.0
Domain Marker;Last Success for SLAs;7070.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
107;90.58688265951035
214;92.84434029753302
321;93.10356729249315
428;94.41843557103614
536;95.92335427583774
643;95.82905789896947
750;95.98601172651455
857;96.17931339310833
964;95.97151212144944
1071;96.91799848099525
1178;96.76283338388725
1285;97.15297935435258
1393;97.04268384507834
1500;97.26411322159753
1607;97.17053097660042
1714;97.31001153665218
1821;97.40657898530351
1928;97.34511049943117
2035;97.69948760696677
2142;97.62596126561968
2250;97.74183651864641
2357;97.5282721094178
2464;97.5147445198542
2571;97.9253776939743
2678;97.56888886210555
2785;97.8947528254878
2892;97.7926459060877
2999;97.92908317452601
3106;97.77538093169757
3214;97.9106750654072
3321;97.88956362369697
3428;98.14162566091869
3535;97.99846278876068
3642;98.07990617981201
3749;97.99083153404187
3856;98.12645786126144
3963;98.19480909125701
4071;98.32315066213927
4178;98.03314139971644
4285;98.41849683498639
4392;98.14503476871019
4499;97.96888667545824
4606;98.1242453604412
4713;98.0126579012593
4820;97.84946176551978
4928;98.01454628666605
5035;97.95874672417582
5142;98.39786264569852
5249;98.1354260420366
5356;98.40917090590419
5463;98.50381397716149
5570;98.09418146049147
5677;98.5007963936387
5784;97.7988143778485
5892;98.05085462575359
5999;98.32947771175868
6106;98.27980596560225
6213;98.06046950267876
6320;98.22989435540337
6427;98.22312724446978
6534;96.66848945466802
6641;94.88167014640807
6749;93.84737668474942
6856;92.10517310044277
6963;90.77271845451514
7070;89.38400657483604
7177;88.42493162452628
7284;86.5313797857819
7391;85.62291162743784
7498;84.13742798133956
7606;82.45487472353916
7713;81.60564698985489
7820;80.29027417633112
7927;79.379087737246
8034;77.77064800434535
8141;75.94060767359939
8248;74.81649097933015
8355;73.47294371611835
8462;71.9578042864364
8570;70.69881737319972
8677;70.08221259999847
8784;68.4339702295306
8891;66.7983211273412
8998;66.32744071739604
9105;64.2436457054661
9212;61.984672012646605
9319;60.02220953764072
9427;56.80159259649198
9534;53.24142881522381
9641;41.82327191206723
9748;20.861110696811945
9855;9.536165651782863
9962;6.016011601226586
10069;5.402503481840853
10176;3.2388892012802772
