"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",4,30,216.272212,6.096960,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",4,30,474.601850,16.888076,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",4,15,536.468867,11.689929,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",4,15,45.238406,2.877497,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",4,15,1977.578040,87.733938,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",4,15,9496.216413,251.141480,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",4,30,500.554951,10.753589,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",4,15,204.711356,3.581384,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",4,15,59.385628,1.198762,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",4,15,402.061152,13.112567,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,11.177257,0.132249,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",4,15,742.232202,20.125279,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",4,15,3197.646145,28.601445,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",4,15,49.584890,0.252975,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",4,15,236.877330,0.460220,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",4,15,31.627401,0.250303,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",4,15,264.993888,4.082240,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",4,30,8340.504650,342.341758,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",4,15,117.640614,1.566038,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",4,30,385.915030,14.092832,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",4,30,961.228642,12.711310,"ops/min"
