Timestamp,Slave 0,Slave 1,Slave 2,
1714914615418,0,,,,
1714914615429,0,,,
1714914615433,61,,,,
1714914615434,,0,,
1714914615435,,,0,
1714914615459,,157,,
1714914615467,157,,,
1714914615494,,,157,
1714914616419,61,,,,
1714914616430,157,,,
1714914616436,,157,,
1714914616437,,,157,
1714914617419,61,,,,
1714914617430,157,,,
1714914617435,,157,,
1714914617438,,,157,
1714914618419,61,,,,
1714914618430,157,,,
1714914618435,,157,,
1714914618437,,,157,
1714914619419,61,,,,
1714914619430,157,,,
1714914619435,,157,,
1714914619437,,,157,
1714914620419,61,,,,
1714914620430,157,,,
1714914620435,,157,,
1714914620437,,,157,
1714914621419,61,,,,
1714914621430,157,,,
1714914621435,,157,,
1714914621437,,,157,
1714914622420,61,,,,
1714914622432,157,,,
1714914622437,,157,,
1714914622438,,,157,
1714914623419,61,,,,
1714914623431,157,,,
1714914623435,,157,,
1714914623439,,,157,
1714914624419,61,,,,
1714914624430,157,,,
1714914624435,,157,,
1714914624437,,,157,
1714914625419,61,,,,
1714914625431,157,,,
1714914625435,,157,,
1714914625437,,,157,
1714914626419,61,,,,
1714914626431,157,,,
1714914626435,,157,,
1714914626437,,,157,
1714914627419,61,,,,
1714914627431,157,,,
1714914627435,,157,,
1714914627437,,,157,
1714914628419,61,,,,
1714914628430,157,,,
1714914628435,,157,,
1714914628437,,,157,
1714914629419,61,,,,
1714914629430,157,,,
1714914629435,,157,,
1714914629437,,,157,
1714914630426,61,,,,
1714914630433,157,,,
1714914630436,,157,,
1714914630439,,,157,
1714914631419,61,,,,
1714914631430,157,,,
1714914631435,,157,,
1714914631437,,,157,
1714914632419,61,,,,
1714914632431,157,,,
1714914632435,,157,,
1714914632437,,,157,
1714914633419,61,,,,
1714914633431,157,,,
1714914633435,,157,,
1714914633437,,,157,
1714914634419,61,,,,
1714914634430,157,,,
1714914634435,,157,,
1714914634437,,,157,
1714914635419,61,,,,
1714914635430,157,,,
1714914635435,,157,,
1714914635436,,,157,
1714914636419,61,,,,
1714914636430,157,,,
1714914636435,,157,,
1714914636436,,,157,
1714914637419,61,,,,
1714914637430,157,,,
1714914637435,,157,,
1714914637437,,,157,
1714914638423,61,,,,
1714914638430,157,,,
1714914638435,,157,,
1714914638438,,,157,
1714914639419,61,,,,
1714914639430,157,,,
1714914639435,,157,,
1714914639437,,,157,
1714914640419,61,,,,
1714914640430,157,,,
1714914640435,,157,,
1714914640437,,,157,
1714914641419,61,,,,
1714914641430,157,,,
1714914641435,,157,,
1714914641436,,,157,
1714914642419,61,,,,
1714914642430,157,,,
1714914642435,,157,,
1714914642437,,,157,
1714914643419,61,,,,
1714914643430,157,,,
1714914643435,,157,,
1714914643437,,,157,
1714914644419,61,,,,
1714914644430,157,,,
1714914644435,,157,,
1714914644437,,,157,
1714914645419,61,,,,
1714914645430,157,,,
1714914645435,,157,,
1714914645438,,,157,
1714914646419,61,,,,
1714914646430,157,,,
1714914646435,,157,,
1714914646438,,,157,
1714914647419,61,,,,
1714914647430,157,,,
1714914647435,,157,,
1714914647437,,,157,
1714914648419,61,,,,
1714914648430,157,,,
1714914648435,,157,,
1714914648436,,,157,
1714914649419,61,,,,
1714914649430,157,,,
1714914649435,,157,,
1714914649439,,,157,
1714914650419,61,,,,
1714914650430,157,,,
1714914650435,,157,,
1714914650436,,,157,
1714914651419,61,,,,
1714914651430,157,,,
1714914651436,,,157,
1714914651438,,157,,
1714914652419,61,,,,
1714914652430,157,,,
1714914652435,,157,,
1714914652437,,,157,
1714914653419,61,,,,
1714914653430,157,,,
1714914653435,,157,,
1714914653436,,,157,
1714914654419,61,,,,
1714914654430,157,,,
1714914654435,,157,,
1714914654436,,,157,
1714914655419,61,,,,
1714914655430,157,,,
1714914655435,,157,,
1714914655436,,,157,
1714914656419,61,,,,
1714914656430,157,,,
1714914656435,,157,,
1714914656436,,,157,
1714914657419,61,,,,
1714914657430,157,,,
1714914657435,,157,,
1714914657436,,,157,
1714914658419,61,,,,
1714914658430,157,,,
1714914658435,,157,,
1714914658436,,,157,
1714914659419,61,,,,
1714914659430,157,,,
1714914659435,,157,,
1714914659436,,,157,
1714914660419,61,,,,
1714914660430,157,,,
