Timestamp,Slave 0,Slave 1,Slave 2,
1714919563710,0,,,,
1714919563723,0,,,
1714919563724,,0,0,
1714919563725,0.024562601796879104,,,,
1714919563733,,0.17034471649484537,,
1714919563737,,,0.16966508714159506,
1714919563739,0.16321368344977114,,,
1714919564712,0.010141987829614604,,,,
1714919564723,0.2997967479674797,,,
1714919564724,,0.2951564076690212,,
1714919564725,,,0.2909919028340081,
1714919565712,0.0,,,,
1714919565723,0.3325,,,
1714919565724,,0.285,,
1714919565725,,,0.3221778221778222,
1714919566712,0.0025,,,,
1714919566723,0.3075,,,
1714919566724,,0.335,,
1714919566725,,,0.2927927927927928,
1714919567711,0.0,,,,
1714919567723,0.31,,,
1714919567724,,0.32,,
1714919567725,,,0.3025,
1714919568712,0.0025,,,,
1714919568725,0.3068862275449102,,0.3046953046953047,
1714919568732,,0.31994047619047616,,
1714919569711,0.0,,,,
1714919569723,0.28306613226452904,,,
1714919569725,,,0.3103103103103103,
1714919569726,,0.3345070422535211,,
1714919570711,0.0025,,,,
1714919570723,0.29,,,
1714919570724,,0.3106212424849699,,
1714919570725,,,0.325,
1714919571711,0.0,,,,
1714919571723,0.28,,,
1714919571725,,0.2825,0.3525,
1714919572711,0.005,,,,
1714919572723,0.315,,,
1714919572725,,0.25724275724275725,0.3475,
1714919573711,0.0,,,,
1714919573723,0.3125,,,
1714919573724,,0.23523523523523523,,
1714919573725,,,0.345,
1714919574711,0.0025,,,,
1714919574723,0.21,,,
1714919574724,,0.195,,
1714919574725,,,0.3175,
1714919575711,0.0,,,,
1714919575723,0.2125,,,
1714919575724,,0.2375,,
1714919575725,,,0.2325,
1714919576711,0.0025,,,,
1714919576723,0.2525,,,
1714919576724,,0.2175,,
1714919576725,,,0.2325,
1714919577711,0.0,,,,
1714919577723,0.2325,,,
1714919577724,,0.2275,,
1714919577725,,,0.235,
1714919578712,0.0025,,,,
1714919578723,0.2325,,,
1714919578725,,0.225,,
1714919578728,,,0.24426719840478564,
1714919579711,0.0,,,,
1714919579723,0.225,,,
1714919579724,,0.2225,,
1714919579725,,,0.23319959879638916,
1714919580711,0.01,,,,
1714919580723,0.22,,,
1714919580724,,0.23,,
1714919580726,,,0.22977022977022976,
1714919581711,0.0025,,,,
1714919581723,0.2725,,,
1714919581724,,0.34,,
1714919581725,,,0.2925,
1714919582711,0.0,,,,
1714919582723,0.225,,,
1714919582724,,0.2475,,
1714919582725,,,0.2852852852852853,
1714919583711,0.0,,,,
1714919583723,0.2375,,,
1714919583724,,0.2675,,
1714919583725,,,0.23976023976023977,
1714919584711,0.005,,,,
1714919584723,0.225,,,
1714919584724,,0.2325,,
1714919584725,,,0.235,
1714919585711,0.0,,,,
1714919585723,0.2125,,,
1714919585724,,0.21,,
1714919585725,,,0.2502502502502503,
1714919586711,0.0025,,,,
1714919586723,0.21,,,
1714919586724,,0.2075,,
1714919586725,,,0.215,
1714919587712,0.0,,,,
1714919587723,0.22,,,
1714919587724,,0.2225,,
1714919587725,,,0.22977022977022976,
1714919588711,0.0025,,,,
1714919588723,0.2125,,,
1714919588724,,0.215,,
1714919588725,,,0.2325,
1714919589711,0.0,,,,
1714919589723,0.2075,,,
1714919589724,,0.21,,
1714919589725,,,0.21521521521521522,
1714919590711,0.0025,,,,
1714919590723,0.2125,,,
1714919590724,,0.205,,
1714919590725,,,0.2125,
1714919591711,0.0,,,,
1714919591723,0.2075,,,
1714919591724,,0.24,,
1714919591725,,,0.22,
1714919592711,0.0,,,,
1714919592723,0.2225,,,
1714919592725,,0.2175,0.21,
1714919593711,0.0025,,,,
1714919593723,0.23,,,
1714919593724,,0.215,,
1714919593725,,,0.23,
1714919594711,0.0,,,,
