Timestamp,Slave 0,Slave 1,Slave 2,
1715040054479,0,,,,
1715040054488,0,,,
1715040054500,,0,0,
1715040054504,3.3674892961947373E-4,,,,
1715040054516,0.005283086909484313,,,
1715040054552,,,0.007656720700043035,
1715040054609,,0.0071810406272273695,,
1715040055483,0.0,,,,
1715040055489,0.0,,,
1715040055501,,0.003367003367003367,,
1715040055503,,,0.0,
1715040056480,0.0,,,,
1715040056489,0.0,,,
1715040056501,,,0.0,
1715040056505,,0.0,,
1715040057480,0.0,,,,
1715040057490,0.016983016983016984,,,
1715040057501,,0.0,,
1715040057507,,,0.007455268389662028,
1715040058481,0.0,,,,
1715040058489,0.0,,,
1715040058502,,0.0,,
1715040058508,,,0.0,
1715040059480,0.0,,,,
1715040059489,0.0,,,
1715040059501,,0.0,,
1715040059503,,,0.0,
1715040060480,0.0,,,,
1715040060490,0.0,,,
1715040060501,,,0.0,
1715040060503,,0.012724550898203593,,
1715040061482,0.0,,,,
1715040061492,0.0,,,
1715040061504,,,0.0,
1715040061530,,0.0,,
1715040062480,0.0,,,,
1715040062489,0.0,,,
1715040062500,,,0.0,
1715040062502,,0.0,,
1715040063480,0.0,,,,
1715040063489,0.0,,,
1715040063501,,0.0,,
1715040063503,,,0.0,
1715040064480,0.0,,,,
1715040064489,0.024,,,
1715040064501,,,0.021042084168336674,
1715040064504,,0.0,,
1715040065480,0.0,,,,
1715040065489,0.0,,,
1715040065500,,,0.0,
1715040065503,,0.0,,
1715040066485,0.0,,,,
1715040066489,0.0,,,
1715040066502,,,0.0,
1715040066505,,0.0,,
1715040067480,0.0,,,,
1715040067489,0.0,,,
1715040067501,,,0.0,
1715040067509,,0.0,,
1715040068515,0.0,,,
1715040068516,0.0,,,,
1715040068517,,0.0,,
1715040068636,,,0.0,
1715040069485,0.0,,,,
1715040069490,0.0,,,
1715040069504,,,0.0,
1715040069506,,0.0,,
1715040070480,0.0,,,,
1715040070489,0.025525525525525526,,,
1715040070501,,,0.0,
1715040070503,,0.0,,
1715040071480,0.0,,,,
1715040071489,0.0,,,
1715040071501,,,0.0305,
1715040071503,,0.0,,
1715040072480,0.0,,,,
1715040072489,0.0,,,
1715040072503,,0.0,,
1715040072504,,,0.0,
1715040073480,0.0,,,,
1715040073489,0.0,,,
1715040073501,,,0.0,
1715040073503,,0.0,,
1715040074484,0.0,,,,
1715040074489,0.0115,,,
1715040074501,,,0.0,
1715040074502,,0.0,,
1715040075480,0.0,,,,
1715040075489,0.0,,,
1715040075500,,,0.00975,
1715040075502,,0.0,,
1715040076489,0.0,0.0,,,
1715040076501,,0.0,0.0,
1715040077484,0.0,,,,
1715040077489,0.0,,,
1715040077500,,,0.0,
1715040077501,,0.0,,
1715040078480,0.0,,,,
1715040078491,0.0,,,
1715040078501,,0.0,0.0,
1715040079481,0.0,,,,
1715040079489,0.016016016016016016,,,
1715040079500,,,0.0,
1715040079501,,0.0,,
1715040080480,0.0,,,,
1715040080489,0.0,,,
1715040080500,,,0.0,
1715040080501,,0.0,,
1715040081480,0.0,,,,
1715040081489,0.0,,,
1715040081501,,0.0,0.02125,
1715040082480,0.0,,,,
1715040082489,0.0,,,
1715040082501,,0.0,0.0,
1715040083480,0.0,,,,
1715040083489,0.0,,,
1715040083500,,,0.0,
1715040083501,,0.0,,
1715040084480,0.0,,,,
1715040084489,0.0,,,
1715040084500,,,0.0,
1715040084501,,0.0,,
1715040085480,0.0,,,,
1715040085489,0.006,,,
1715040085500,,,0.0,
1715040085501,,0.0,,
1715040086480,0.0,,,,
1715040086489,0.0,,,
1715040086501,,0.0,,
1715040086522,,,0.005626223091976516,
1715040087480,0.0,,,,
1715040087489,0.0,,,
1715040087500,,,0.0,
1715040087501,,0.0,,
1715040088480,0.0,,,,
1715040088489,0.0,,,
1715040088500,,,0.0,
1715040088501,,0.0,,
