Timestamp,Slave 0,Slave 1,Slave 2,
1716283920425,0,,,,
1716283920432,,,0,
1716283920433,0,,,
1716283920438,,0,,
1716283920466,150,,,
1716283920499,,,150,
1716283920504,56,,,,
1716283920644,,150,,
1716283921427,56,,,,
1716283921434,150,,,
1716283921437,,,150,
1716283921455,,150,,
1716283922427,56,,,,
1716283922434,,,150,
1716283922438,150,,,
1716283922440,,150,,
1716283923427,56,,,,
1716283923433,,,150,
1716283923434,150,,,
1716283923439,,150,,
1716283924426,56,,,,
1716283924433,,,150,
1716283924434,150,,,
1716283924440,,150,,
1716283925427,56,,,,
1716283925434,,,150,
1716283925435,150,,,
1716283925440,,150,,
1716283926426,56,,,,
1716283926434,150,,,
1716283926441,,150,,
1716283926444,,,150,
1716283927427,56,,,,
1716283927434,,,150,
1716283927435,150,,,
1716283927441,,150,,
1716283928426,56,,,,
1716283928433,,,150,
1716283928434,150,,,
1716283928441,,150,,
1716283929436,150,,,
1716283929439,56,,,,
1716283929441,,150,,
1716283929446,,,150,
1716283930427,56,,,,
1716283930433,,,150,
1716283930436,150,,,
1716283930440,,150,,
1716283931427,56,,,,
1716283931433,,,150,
1716283931435,150,,,
1716283931439,,150,,
1716283932427,56,,,,
1716283932433,,,150,
1716283932436,150,,,
1716283932439,,150,,
1716283933426,56,,,,
1716283933434,150,,,
1716283933439,,150,,
1716283933743,,,150,
1716283934427,56,,,,
1716283934433,,,150,
1716283934434,150,,,
1716283934439,,150,,
1716283935436,56,,,,
1716283935443,,150,,
1716283935447,150,,,
1716283935449,,,150,
1716283936431,56,,,,
1716283936433,,,150,
1716283936436,150,,,
1716283936440,,150,,
1716283937426,56,,,,
1716283937434,150,,,
1716283937436,,,150,
1716283937439,,150,,
1716283938428,56,,,,
1716283938434,,,150,
1716283938435,150,,,
1716283938440,,150,,
1716283939427,56,,,,
1716283939433,,,150,
1716283939434,150,,,
1716283939440,,150,,
1716283940426,56,,,,
1716283940433,,,150,
1716283940434,150,,,
1716283940439,,150,,
1716283941426,56,,,,
1716283941433,,,150,
1716283941434,150,,,
1716283941439,,150,,
1716283942426,56,,,,
1716283942433,,,150,
1716283942434,150,,,
1716283942439,,150,,
1716283943426,56,,,,
1716283943433,,,150,
1716283943435,150,,,
1716283943440,,150,,
1716283944426,56,,,,
1716283944433,,,150,
1716283944434,150,,,
1716283944439,,150,,
