Timestamp,Slave 0,Slave 1,Slave 2,
1716296411859,0,,,,
1716296411871,0,,0,
1716296411877,,0,,
1716296411892,0.12220858895705522,,,
1716296411900,,,0.12638249975530977,
1716296411927,,0.12049814053630847,,
1716296411933,0.02448561926689325,,,,
1716296412860,0.021574973031283712,,,,
1716296412872,0.25,,0.3343621399176955,
1716296412878,,0.28391167192429023,,
1716296413863,0.004985044865403789,,,,
1716296413872,0.295,,0.2975,
1716296413878,,0.31,,
1716296414860,0.0025075225677031092,,,,
1716296414872,0.3075,,,
1716296414873,,,0.31718281718281716,
1716296414878,,0.3,,
1716296415860,0.0025,,,,
1716296415872,0.2975,,0.3028028028028028,
1716296415878,,0.32,,
1716296416860,0.0,,,,
1716296416872,0.2947052947052947,,,
1716296416875,,,0.306580259222333,
1716296416878,,0.3225,,
1716296417860,0.0025,,,,
1716296417872,0.2927927927927928,,0.30341023069207623,
1716296417878,,0.3125,,
1716296418876,0.3012948207171315,,0.30378486055776893,
1716296418878,,0.3125,,
1716296418888,0.0048638132295719845,,,,
1716296419860,0.0,,,,
1716296419872,0.2635542168674699,,0.321285140562249,
1716296419878,,0.345,,
1716296420860,0.0025,,,,
1716296420872,0.2775,,0.33,
1716296420878,,0.3075,,
1716296421860,0.0,,,,
1716296421872,0.2775,,0.3325,
1716296421878,,0.2925,,
1716296422860,0.0025,,,,
1716296422872,0.285,,0.315,
1716296422878,,0.3225,,
1716296423860,0.0,,,,
1716296423872,0.295,,0.3175,
1716296423878,,0.31,,
1716296424860,0.0025,,,,
1716296424872,0.3275,,0.3175,
1716296424878,,0.285,,
1716296425860,0.0025,,,,
1716296425872,0.3125,,0.3125,
1716296425878,,0.2925,,
1716296426860,0.0025,,,,
1716296426872,0.25,,0.3175,
1716296426880,,0.34181636726546905,,
1716296427860,0.0025,,,,
1716296427872,0.2575,,0.3625,
1716296427878,,0.280561122244489,,
1716296428860,0.0,,,,
1716296428872,0.2025,,0.28,
1716296428878,,0.28,,
1716296429860,0.0025,,,,
1716296429872,0.23,,0.24,
1716296429878,,0.2325,,
1716296430860,0.0025,,,,
1716296430872,0.21,,0.2975,
1716296430878,,0.21,,
1716296431860,0.0,,,,
1716296431872,0.2075,,0.2525,
1716296431878,,0.2175,,
1716296432860,0.0025,,,,
1716296432872,,,0.2675,
1716296432874,0.2370259481037924,,,
1716296432878,,0.2,,
1716296433860,0.02,,,,
1716296433872,0.29308617234468937,,0.2475,
1716296433878,,0.13,,
1716296434861,0.0024975024975024975,,,,
1716296434872,0.285,,0.3275,
1716296434878,,0.2975,,
1716296435860,0.0,,,,
1716296435872,0.2775,,0.3225,
1716296435878,,0.3125,,
1716296436860,0.0025,,,,
1716296436872,0.2775,,0.33,
1716296436878,,0.2852852852852853,,
1716296437860,0.0,,,,
1716296437872,0.2675,,0.3575,
1716296437878,,0.2922077922077922,,
1716296438860,0.005,,,,
1716296438872,0.3625,,0.285,
1716296438878,,0.215,,
1716296439860,0.0,,,,
1716296439872,0.1875,,0.43,
1716296439878,,0.1975,,
1716296441053,0.15453005927180355,,,
1716296441055,0.0020920502092050207,,,,
1716296441057,,0.16129032258064516,,
1716296441129,,,0.441527446300716,
1716296441860,0.0,,,,
1716296441872,0.18315018315018314,,0.2018842530282638,
1716296441878,,0.21289537712895376,,
1716296442860,0.0,,,,
1716296442872,0.2075,,0.255,
1716296442878,,0.23773773773773774,,
1716296443860,0.0025,,,,
1716296443872,0.2125,,0.25,
1716296443878,,0.27472527472527475,,
1716296444860,0.0,,,,
1716296444872,0.215,,0.24,
1716296444878,,0.24274274274274274,,
1716296445860,0.0025,,,,
1716296445872,0.23,,0.2225,
1716296445878,,0.21728271728271728,,
1716296446860,0.0,,,,
1716296446872,0.1925,,0.265,
1716296446878,,0.2125,,
1716296447860,0.0,,,,
1716296447872,0.23,,0.22,
1716296447878,,0.215,,
1716296448860,0.0025,,,,
1716296448872,0.235,,0.2175,
1716296448878,,0.22,,
1716296449860,0.0025,,,,
1716296449872,0.2175,,0.235,
1716296449878,,0.21771771771771772,,
1716296450860,0.0,,,,
1716296450872,0.225,,0.2175,
1716296450878,,0.22,,
1716296451860,0.0025,,,,
1716296451872,0.3025,,0.155,
1716296451878,,0.1575,,
1716296452863,0.0,,,,
1716296452873,,,0.2022977022977023,
1716296452874,0.20459081836327345,,,
1716296452936,,0.26912181303116145,,
1716296453860,0.0025075225677031092,,,,
1716296453872,0.21042084168336672,,0.19269269269269268,
1716296453878,,0.2229299363057325,,
1716296454860,0.0,,,,
1716296454872,0.2175,,0.23,
1716296454878,,0.21771771771771772,,
1716296455860,0.0025025025025025025,,,,
1716296455872,0.2375,,0.21,
1716296455878,,0.2175,,
1716296456860,0.0,,,,
1716296456872,0.225,,0.22,
1716296456878,,0.22,,
1716296457860,0.0025025025025025025,,,,
1716296457872,0.2175,,0.225,
1716296457878,,0.2125,,
1716296458860,0.0,,,,
1716296458872,0.21,,0.21,
1716296458878,,0.24475524475524477,,
1716296459860,0.0,,,,
1716296459872,0.23,,0.23,
1716296459878,,0.22772772772772773,,
1716296460861,0.0024975024975024975,,,,
1716296460872,,,0.225,
1716296460878,,0.205,,
1716296460901,0.23080660835762876,,,
1716296461860,0.0,,,,
1716296461872,0.22657054582904224,,0.225,
1716296461878,,0.22227772227772227,,
1716296462860,0.0025,,,,
1716296462872,0.2175,,0.22,
1716296462878,,0.22022022022022023,,
1716296463860,0.0025025025025025025,,,,
1716296463872,0.22,,0.215,
1716296463878,,0.2225,,
1716296464859,0.0,,,,
1716296464872,0.21,,0.21,
1716296464878,,0.25724275724275725,,
1716296465860,0.0024975024975024975,,,,
1716296465872,0.2175,,0.2125,
1716296465878,,0.22022022022022023,,
1716296466860,0.0,,,,
1716296466872,0.2125,,,
1716296466873,,,0.22477522477522477,
1716296466878,,0.2097902097902098,,
1716296467860,0.005005005005005005,,,,
1716296467872,0.225,,0.21771771771771772,
1716296467878,,0.21271271271271272,,
1716296468860,0.0,,,,
1716296468872,0.2375,,0.1975,
1716296468878,,0.22977022977022976,,
1716296469860,0.0,,,,
1716296469872,0.2125,,0.225,
1716296469878,,0.2125,,
1716296470860,0.0025025025025025025,,,,
1716296470872,0.2225,,0.225,
1716296470878,,0.21271271271271272,,
1716296471860,0.0024975024975024975,,,,
1716296471872,0.225,,0.2025,
1716296471878,,0.2075,,
1716296472859,0.0,,,,
1716296472872,0.225,,0.215,
1716296472878,,0.2325,,
1716296473860,0.0024975024975024975,,,,
1716296473872,0.2075,,0.2025,
1716296473878,,0.22477522477522477,,
1716296474860,0.0,,,,
1716296474872,0.2025,,0.2075,
1716296474878,,0.235,,
1716296475860,0.0,,,,
1716296475872,0.2125,,0.225,
1716296475878,,0.21021021021021022,,
1716296476859,0.0025025025025025025,,,,
1716296476872,0.225,,0.2025,
1716296476878,,0.205,,
1716296477859,0.0,,,,
1716296477872,0.215,,0.2175,
1716296477878,,0.24,,
1716296478859,0.0,,,,
1716296478872,0.215,,0.215,
1716296478878,,0.2175,,
1716296479860,0.0,,,,
1716296479872,0.2125,,0.2125,
1716296479878,,0.22,,
1716296480860,0.0025025025025025025,,,,
1716296480872,0.215,,0.21,
1716296480878,,0.2125,,
1716296481859,0.0,,,,
1716296481872,0.2175,,0.225,
1716296481878,,0.22,,
1716296482860,0.0024975024975024975,,,,
1716296482872,0.2125,,0.2175,
1716296482878,,0.2125,,
1716296483859,0.0,,,,
1716296483872,0.21,,0.2125,
1716296483878,,0.2175,,
1716296484860,0.0,,,,
1716296484872,0.21,,0.215,
1716296484878,,0.22,,
1716296485859,0.0025,,,,
1716296485872,0.225,,0.2075,
1716296485877,,0.215,,
1716296486859,0.0,,,,
1716296486872,0.2125,,0.23,
1716296486878,,0.2325,,
1716296487860,0.0025,,,,
1716296487872,0.245,,0.2075,
1716296487878,,0.22727272727272727,,
1716296488860,0.0,,,,
1716296488872,0.235,,0.205,
1716296488878,,0.21521521521521522,,
1716296489859,0.0,,,,
1716296489872,0.22,,0.2175,
1716296489878,,0.2325,,
1716296490860,0.0025,,,,
1716296490872,0.2175,,0.2025,
1716296490878,,0.23,,
1716296491859,0.0,,,,
1716296491872,0.205,,0.205,
1716296491878,,0.24975024975024976,,
1716296492859,0.0,,,,
1716296492872,0.225,,,
1716296492873,,,0.24225774225774227,
1716296492878,,0.21521521521521522,,
1716296493860,0.012487512487512488,,,,
1716296493872,0.2475,,0.22522522522522523,
1716296493878,,0.23976023976023977,,
1716296494860,0.0,,,,
1716296494872,0.2275,,,
1716296494873,,,0.23476523476523475,
1716296494878,,0.235,,
1716296495860,0.0024975024975024975,,,,
1716296495872,0.235,,0.22522522522522523,
1716296495878,,0.23023023023023023,,
1716296496859,0.0,,,,
1716296496872,0.225,,0.2225,
1716296496878,,0.225,,
1716296497860,0.0024975024975024975,,,,
1716296497872,0.225,,,
1716296497873,,,0.23226773226773226,
1716296497878,,0.255,,
1716296498860,0.0,,,,
1716296498872,0.23,,0.22522522522522523,
1716296498878,,0.2275,,
1716296499860,0.005,,,,
1716296499872,0.2275,,0.23,
1716296499878,,0.2325,,
1716296500860,0.0,,,,
1716296500872,0.2225,,0.23,
1716296500878,,0.2325,,
1716296501859,0.0,,,,
1716296501872,0.2175,,0.2225,
1716296501878,,0.225,,
1716296502860,0.024975024975024976,,,,
1716296502872,0.2325,,0.225,
1716296502878,,0.2325,,
1716296503859,0.0025025025025025025,,,,
1716296503872,0.235,,0.245,
1716296503878,,0.2375,,
1716296504860,0.0,,,,
1716296504872,0.225,,0.2225,
1716296504878,,0.2275,,
1716296505859,0.13,,,,
1716296505872,0.2125,,0.21,
1716296505878,,0.2325,,
1716296506859,0.0825,,,,
1716296506872,0.205,,0.31,
1716296506878,,0.245,,
1716296507859,0.0025,,,,
1716296507872,0.2225,,0.2175,
1716296507878,,0.2225,,
1716296508860,0.0,,,,
1716296508872,0.23,,0.225,
1716296508878,,0.235,,
1716296509859,0.0,,,,
1716296509872,0.215,,0.215,
1716296509878,,0.2225,,
1716296510859,0.0,,,,
1716296510872,0.225,,0.225,
1716296510877,,0.2175,,
1716296511859,0.0025,,,,
1716296511872,0.2225,,0.2225,
1716296511878,,0.23,,
1716296512859,0.0,,,,
1716296512872,0.22,,0.24,
1716296512878,,0.2275,,
1716296513860,0.0,,,,
1716296513872,0.245,,0.22,
1716296513878,,0.2375,,
1716296514859,0.005005005005005005,,,,
1716296514872,0.2125,,0.225,
1716296514878,,0.2275,,
