16:27:51,830 INFO  [org.radargun.LaunchMaster] (main) Running in directory: /mnt/workspace/results/.
16:27:51,891 INFO  [org.radargun.LaunchMaster] (main) Configuration file is: /mnt/workspace/results/config.xml
16:27:51,894 ERROR [org.radargun.config.DomConfigParser] (main) loading: /mnt/workspace/results/config.xml
16:27:51,913 ERROR [org.radargun.config.DomConfigParser] (main) loaded: /mnt/workspace/results/config.xml
16:27:52,415 INFO  [org.radargun.RemoteSlaveConnection] (main) Attempting to start Master listening for connection on: results/127.0.0.1:2103
16:27:52,418 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting 5 seconds for server socket to open completely
16:27:57,441 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 3 slaves.
16:27:57,466 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 2 slaves.
16:27:57,471 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 1 slaves.
16:27:57,479 INFO  [org.radargun.RemoteSlaveConnection] (main) Connection established from 3 slaves.
16:27:57,697 INFO  [org.radargun.Master] (main) Started benchmarking configuration 'Infinispan 9.2 - distributed'
16:27:57,697 INFO  [org.radargun.Master] (main) Starting scenario on Cluster[default=3]
16:27:57,955 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 3 reconnecting slaves
16:27:59,436 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 2 reconnecting slaves
16:27:59,652 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 1 reconnecting slaves
16:27:59,864 INFO  [org.radargun.Master] (main) Starting distributed stage ScenarioInit.
16:28:02,684 INFO  [org.radargun.stages.ScenarioInitStage] (main) Received responses from all 3 slaves. Durations [0 = 13 ms, 1 = 17 ms, 2 = 16 ms]
16:28:02,685 INFO  [org.radargun.Master] (main) Finished distributed stage ScenarioInit.
16:28:02,686 INFO  [org.radargun.Master] (main) Starting distributed stage BeforeServiceStart.
16:28:02,691 INFO  [org.radargun.stages.BeforeServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 0 ns, 1 = 0 ns, 2 = 0 ns]
16:28:02,692 INFO  [org.radargun.Master] (main) Finished distributed stage BeforeServiceStart.
16:28:02,695 INFO  [org.radargun.Master] (main) Starting distributed stage ServiceStart.
16:28:17,152 INFO  [org.radargun.stages.lifecycle.ServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 14.44 seconds, 1 = 13.54 seconds, 2 = 13.77 seconds]
16:28:17,159 INFO  [org.radargun.Master] (main) Finished distributed stage ServiceStart.
16:28:17,162 INFO  [org.radargun.Master] (main) Starting distributed stage AfterServiceStart.
16:28:17,176 INFO  [org.radargun.stages.AfterServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 0 ns, 1 = 0 ns, 2 = 0 ns]
16:28:17,179 INFO  [org.radargun.Master] (main) Finished distributed stage AfterServiceStart.
16:28:17,181 INFO  [org.radargun.Master] (main) Starting distributed stage MonitorStart.
16:28:17,291 INFO  [org.radargun.sysmonitor.AbstractMonitors] (main) Gathering statistics every 1000 ms
16:28:17,313 INFO  [org.radargun.stages.monitor.MonitorStartStage] (main) Received responses from all 3 slaves. Durations [0 = 7 ms, 1 = 10 ms, 2 = 7 ms]
16:28:17,314 INFO  [org.radargun.Master] (main) Finished distributed stage MonitorStart.
16:28:17,326 INFO  [org.radargun.Master] (main) Starting distributed stage Load.
16:28:38,120 INFO  [org.radargun.stages.cache.test.LoadStage] (main) Received responses from all 3 slaves. Durations [0 = 20.4 seconds, 1 = 20.16 seconds, 2 = 20.77 seconds]
16:28:38,121 INFO  [org.radargun.Master] (main) Finished distributed stage Load.
16:28:38,131 WARN  [org.radargun.config.InitHelper] (main) Method public void org.radargun.stages.cache.test.BasicOperationsTestStage.init() overrides public void org.radargun.stages.test.TestStage.init() but both are declared with @Init annotation: calling only once
16:28:38,134 INFO  [org.radargun.Master] (main) Starting distributed stage BasicOperationsTest.
16:29:38,217 INFO  [org.radargun.stages.cache.test.BasicOperationsTestStage] (main) Received responses from all 3 slaves. Durations [0 = 60.04 seconds, 1 = 60.02 seconds, 2 = 60.02 seconds]
16:29:38,217 INFO  [org.radargun.stages.cache.test.BasicOperationsTestStage] (main) This test was executed as a warmup
16:29:38,219 INFO  [org.radargun.Master] (main) Finished distributed stage BasicOperationsTest.
16:29:38,220 INFO  [org.radargun.Master] (main) Starting distributed stage Clear.
16:29:38,463 INFO  [org.radargun.stages.cache.ClearStage] (main) Received responses from all 3 slaves. Durations [0 = 226 ms, 1 = 208 ms, 2 = 176 ms]
16:29:38,463 INFO  [org.radargun.Master] (main) Finished distributed stage Clear.
16:29:38,465 INFO  [org.radargun.Master] (main) Starting distributed stage Load.
16:29:49,378 INFO  [org.radargun.stages.cache.test.LoadStage] (main) Received responses from all 3 slaves. Durations [0 = 10.88 seconds, 1 = 10.91 seconds, 2 = 10.9 seconds]
16:29:49,379 INFO  [org.radargun.Master] (main) Finished distributed stage Load.
16:29:49,465 WARN  [org.radargun.config.InitHelper] (main) Method public void org.radargun.stages.cache.test.BasicOperationsTestStage.init() overrides public void org.radargun.stages.test.TestStage.init() but both are declared with @Init annotation: calling only once
16:29:49,465 INFO  [org.radargun.Master] (main) Starting distributed stage BasicOperationsTest.
16:39:49,913 INFO  [org.radargun.stages.cache.test.BasicOperationsTestStage] (main) Received responses from all 3 slaves. Durations [0 = 10 minutes, 1 = 10 minutes, 2 = 10 minutes]
16:39:50,067 INFO  [org.radargun.Master] (main) Finished distributed stage BasicOperationsTest.
16:39:50,068 INFO  [org.radargun.Master] (main) Starting distributed stage MonitorStop.
16:39:50,078 INFO  [org.radargun.Master] (main) Finished distributed stage MonitorStop.
16:39:50,080 INFO  [org.radargun.Master] (main) Starting distributed stage ScenarioDestroy.
16:39:50,279 INFO  [org.radargun.Master] (main) Finished distributed stage ScenarioDestroy.
16:39:50,280 INFO  [org.radargun.Master] (main) Starting distributed stage ScenarioCleanup.
16:39:55,477 INFO  [org.radargun.stages.ScenarioCleanupStage] (main) Node 0 has changed available memory from 1358 MB to 1348 MB and has 3 unfinished threads
16:39:55,477 INFO  [org.radargun.stages.ScenarioCleanupStage] (main) Node 1 has changed available memory from 1358 MB to 1348 MB and has 1 unfinished threads
16:39:55,478 INFO  [org.radargun.stages.ScenarioCleanupStage] (main) Node 2 has changed available memory from 1358 MB to 1348 MB and has 3 unfinished threads
16:39:55,478 INFO  [org.radargun.Master] (main) Finished distributed stage ScenarioCleanup.
16:39:55,479 INFO  [org.radargun.Master] (main) Finished scenario on Cluster[default=3] in 11 mins 55 secs
16:39:55,515 INFO  [org.radargun.Master] (main) Finished benchmarking configuration 'Infinispan 9.2 - distributed' in 11 mins 57 secs
16:39:55,515 INFO  [org.radargun.Master] (main) Executed all benchmarks in 11 mins 57 secs, reporting...
16:39:55,516 INFO  [org.radargun.Master] (main) Running reporter org.radargun.reporting.csv.CsvReporter@39ac0c0a
16:39:55,523 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/mnt/workspace/results/results/csv/stress-test_Infinispan 9.2 - distributed_default_3.csv
16:39:55,606 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/mnt/workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_Memory usage.csv
16:39:55,660 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/mnt/workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_RSS Memory usage.csv
16:39:55,723 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/mnt/workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_Open files.csv
16:39:55,745 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/mnt/workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_GC CPU usage.csv
16:39:55,763 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/mnt/workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_CPU usage.csv
16:39:55,781 INFO  [org.radargun.Master] (main) Running reporter org.radargun.reporting.html.HtmlReporter@58ce9668
16:39:59,207 INFO  [org.radargun.Master] (main) All reporters have been executed, exiting.
16:39:59,225 INFO  [org.radargun.ShutDownHook] (Thread-0) Master process is being shutdown
