Timestamp,Slave 0,Slave 1,Slave 2,
1714973265919,0,,,,
1714973265926,,0,,
1714973265928,,,0,
1714973265934,0,,,
1714973265953,,0.008134528514963298,,
1714973265967,1.536497730711044E-4,,,,
1714973265993,0.011655298502215035,,,
1714973266008,,,0.008283608283608284,
1714973266920,0.0,,,,
1714973266927,,0.0,,
1714973266929,,,0.0,
1714973266942,0.0,,,
1714973267920,0.0,,,,
1714973267926,,0.0,,
1714973267929,,,0.0,
1714973267934,0.0,,,
1714973268920,0.0,,,,
1714973268929,,,0.0,
1714973268932,,0.0,,
1714973268935,0.0,,,
1714973269920,0.0,,,,
1714973269927,,0.0,,
1714973269932,,,0.0,
1714973269936,0.0,,,
1714973270920,0.0,,,,
1714973270927,,0.0,,
1714973270929,,,0.020791583166332665,
1714973270935,0.023023023023023025,,,
1714973271921,0.0,,,,
1714973271927,,0.0,,
1714973271929,,,0.0,
1714973271934,0.0,,,
1714973272926,0.0,,,,
1714973272927,,0.0,,
1714973272930,,,0.0,
1714973272935,0.0,,,
1714973273920,0.0,,,,
1714973273929,,0.0,0.0,
1714973273934,0.0,,,
1714973274920,0.0,,,,
1714973274927,,0.026078234704112337,,
1714973274929,,,0.0,
1714973274934,0.0,,,
1714973275921,0.0,,,,
1714973275927,,0.0,,
1714973275929,,,0.025,
1714973275934,0.0,,,
1714973276920,0.0,,,,
1714973276926,,0.0,,
1714973276930,,,0.0,
1714973276935,0.0,,,
1714973277919,0.0,,,,
1714973277926,,0.0,,
1714973277929,,,0.0,
1714973277934,0.02077077077077077,,,
1714973278920,0.0,,,,
1714973278926,,0.0,,
1714973278929,,,0.0,
1714973278934,0.0,,,
1714973279920,0.0,,,,
1714973279927,,0.0,,
1714973279929,,,0.013,
1714973279935,0.0,,,
1714973280930,,,0.0,
1714973280937,0.0,,,
1714973280939,,0.0,,
1714973280941,0.0,,,,
1714973281921,0.0,,,,
1714973281927,,0.015450861195542046,,
1714973281935,0.006513026052104208,,,
1714973281944,,,0.0,
1714973282920,0.0,,,,
1714973282927,,0.0,,
1714973282930,,,0.006845841784989858,
1714973282934,0.0,,,
1714973283920,0.0,,,,
1714973283926,,0.0,,
1714973283929,,,0.0,
1714973283934,0.0,,,
1714973284920,0.0,,,,
1714973284927,,0.00925,,
1714973284929,,,0.0,
1714973284934,0.0,,,
1714973285920,0.0,,,,
1714973285926,,0.0,,
1714973285932,,,0.0,
1714973285934,0.01575,,,
1714973286920,0.0,,,,
1714973286926,,0.0,,
1714973286929,,,0.0,
1714973286934,0.0,,,
1714973287920,0.0,,,,
1714973287927,,0.0,,
1714973287931,,,0.01122754491017964,
1714973287934,0.0,,,
1714973288919,0.0,,,,
1714973288926,,0.0,,
1714973288929,,,0.0,
1714973288934,0.0,,,
1714973289919,0.0,,,,
1714973289926,,0.0,,
1714973289929,,,0.0,
1714973289934,0.0,,,
1714973290920,0.0,,,,
1714973290926,,0.0,,
1714973290929,,,0.0,
1714973290934,0.0,,,
1714973291920,0.02075,,,,
1714973291928,,0.02445109780439122,,
1714973291932,,,0.0,
1714973291934,0.0,,,
1714973292920,0.0,,,,
1714973292927,,0.0,,
1714973292929,,,0.0,
1714973292934,0.02425,,,
1714973293919,0.0,,,,
1714973293926,,0.0,,
1714973293933,,,0.01045816733067729,
1714973293934,0.0,,,
1714973294920,0.0,,,,
1714973294927,,0.0,,
1714973294929,,,0.0,
1714973294934,0.0,,,
1714973295920,0.0,,,,
1714973295926,,0.0,,
1714973295929,,,0.0,
1714973295934,0.0,,,
1714973296920,0.0,,,,
1714973296927,,0.00475,,
1714973296929,,,0.0,
1714973296934,0.00425,,,
1714973297919,0.0,,,,
1714973297926,,0.0,,
1714973297929,,,0.0,
1714973297934,0.0,,,
1714973298919,0.0,,,,
