Timestamp,Slave 0,Slave 1,Slave 2,
1714983939665,0,,,,
1714983939672,0,,,
1714983939680,,0,,
1714983939701,,,0,
1714983939709,56,,,,
1714983939729,150,,,
1714983939839,,150,,
1714983939897,,,150,
1714983940670,56,,,,
1714983940673,150,,,
1714983940682,,150,,
1714983940702,,,150,
1714983941667,56,,,,
1714983941673,150,,,
1714983941681,,150,,
1714983941703,,,150,
1714983942666,56,,,,
1714983942676,150,,,
1714983942682,,150,,
1714983942702,,,150,
1714983943667,56,,,,
1714983943674,150,,,
1714983943684,,150,,
1714983943743,,,150,
1714983944667,56,,,,
1714983944674,150,,,
1714983944682,,150,,
1714983944702,,,150,
1714983945667,56,,,,
1714983945674,150,,,
1714983945681,,150,,
1714983945702,,,150,
1714983946675,56,150,,,
1714983946683,,150,,
1714983946705,,,150,
1714983947667,56,,,,
1714983947673,150,,,
1714983947682,,150,,
1714983947702,,,150,
1714983948666,56,,,,
1714983948673,150,,,
1714983948681,,150,,
1714983948702,,,150,
1714983949666,56,,,,
1714983949675,150,,,
1714983949702,,,150,
1714983949787,,150,,
1714983950666,56,,,,
1714983950674,150,,,
1714983950687,,150,,
1714983950702,,,150,
1714983951666,56,,,,
1714983951674,150,,,
1714983951681,,150,,
1714983951702,,,150,
1714983952666,56,,,,
1714983952674,150,,,
1714983952682,,150,,
1714983952702,,,150,
1714983953666,56,,,,
1714983953673,150,,,
1714983953682,,150,,
1714983953702,,,150,
1714983954683,150,,,
1714983954684,,150,,
1714983954688,56,,,,
1714983954708,,,150,
1714983955667,56,,,,
1714983955673,150,,,
1714983955681,,150,,
1714983955702,,,150,
1714983956666,56,,,,
1714983956673,150,,,
1714983956681,,150,,
1714983956702,,,150,
1714983957666,56,,,,
1714983957673,150,,,
1714983957682,,150,,
1714983957702,,,150,
1714983958666,56,,,,
1714983958673,150,,,
1714983958682,,150,,
1714983958702,,,150,
1714983959666,56,,,,
1714983959674,150,,,
1714983959681,,150,,
1714983959702,,,150,
1714983960667,56,,,,
1714983960675,150,,,
1714983960681,,150,,
1714983960702,,,150,
1714983961666,56,,,,
1714983961673,150,,,
1714983961681,,150,,
1714983961702,,,150,
1714983962666,56,,,,
1714983962674,150,,,
1714983962681,,150,,
1714983962702,,,150,
1714983963666,56,,,,
1714983963673,150,,,
1714983963681,,150,,
1714983963702,,,150,
1714983964666,56,,,,
1714983964695,150,,,
1714983964702,,,150,
1714983964722,,150,,
1714983965666,56,,,,
1714983965674,150,,,
1714983965681,,150,,
1714983965702,,,150,
1714983966666,56,,,,
1714983966673,150,,,
1714983966681,,150,,
1714983966702,,,150,
1714983967666,56,,,,
