Timestamp,Slave 0,Slave 1,Slave 2,
1715090347707,0,,,,
1715090347714,0,,,
1715090347716,,,0,
1715090347721,23,,,,
1715090347725,,0,,
1715090347741,,,50,
1715090347747,31,,,
1715090347804,,62,,
1715090348708,24,,,,
1715090348715,48,,,
1715090348716,,,64,
1715090348727,,76,,
1715090349708,24,,,,
1715090349715,58,,,
1715090349717,,,77,
1715090349726,,89,,
1715090350708,24,,,,
1715090350715,76,,,
1715090350717,,,97,
1715090350726,,105,,
1715090351711,24,,,,
1715090351715,90,,,
1715090351719,,,112,
1715090351726,,120,,
1715090352710,24,,,,
1715090352715,111,,,
1715090352716,,,133,
1715090352727,,138,,
1715090353708,24,,,,
1715090353715,125,,,
1715090353717,,,149,
1715090353726,,153,,
1715090354708,24,,,,
1715090354716,142,,,
1715090354717,,,168,
1715090354726,,170,,
1715090355708,24,,,,
1715090355715,162,,,
1715090355717,,,189,
1715090355726,,189,,
1715090356708,25,,,,
1715090356715,186,,,
1715090356717,,,212,
1715090356726,,210,,
1715090357708,25,,,,
1715090357715,204,,,
1715090357717,,,233,
1715090357727,,50,,
1715090358708,25,,,,
1715090358717,,,54,
1715090358718,48,,,
1715090358725,,75,,
1715090359708,25,,,,
1715090359715,76,,,
1715090359717,,,88,
1715090359726,,107,,
1715090360708,25,,,,
1715090360715,110,,,
1715090360717,,,123,
1715090360726,,141,,
1715090361708,25,,,,
1715090361715,144,,,
1715090361716,,,159,
1715090361726,,83,,
1715090362711,25,,,,
1715090362717,71,,,
1715090362718,,,85,
1715090362727,,112,,
1715090363708,26,,,,
1715090363717,111,,128,
1715090363726,,154,,
1715090364708,26,,,,
1715090364716,152,,171,
1715090364726,,106,,
1715090365708,26,,,,
1715090365715,112,,,
1715090365716,,,132,
1715090365725,,161,,
1715090366708,26,,,,
1715090366715,171,,,
1715090366717,,,192,
1715090366726,,100,,
1715090367708,26,,,,
1715090367715,194,,,
1715090367717,,,215,
1715090367725,,131,,
1715090368709,26,,,,
1715090368715,226,,,
1715090368717,,,248,
1715090368726,,164,,
1715090369708,26,,,,
1715090369715,115,,,
1715090369717,,,113,
1715090369726,,194,,
1715090370708,26,,,,
1715090370715,146,,,
1715090370717,,,145,
1715090370725,,222,,
1715090371708,27,,,,
1715090371715,182,,,
1715090371717,,,181,
1715090371725,,258,,
1715090372708,27,,,,
1715090372715,212,,,
1715090372717,,,210,
1715090372726,,288,,
1715090373708,27,,,,
1715090373715,243,,,
1715090373716,,,240,
1715090373726,,113,,
1715090374708,27,,,,
1715090374715,284,,,
1715090374716,,,283,
1715090374725,,155,,
1715090375708,27,,,,
1715090375715,318,,,
1715090375716,,,316,
1715090375725,,188,,
1715090376708,27,,,,
1715090376715,135,,,
1715090376718,,,354,
1715090376725,,225,,
1715090377708,27,,,,
1715090377715,180,,,
1715090377716,,,163,
1715090377726,,271,,
1715090378707,27,,,,
1715090378715,229,,,
1715090378716,,,214,
1715090378725,,321,,
1715090379708,27,,,,
1715090379715,278,,,
1715090379717,,,264,
1715090379725,,371,,
1715090380708,27,,,,
1715090380715,326,,,
