Timestamp,Slave 0,Slave 1,Slave 2,
1716391324942,0,,,,
1716391324951,,0,,
1716391324953,0,,,
1716391324967,2.1926430377134602E-4,,,,
1716391324975,,,0,
1716391324991,0.007291422316052858,,,
1716391325006,,,0.004224360478760855,
1716391325011,,0.004599798152317367,,
1716391325944,0.0,,,,
1716391325952,,0.0,,
1716391325955,0.0,,,
1716391325977,,,0.0,
1716391326944,0.0,,,,
1716391326951,,0.0,,
1716391326957,0.0,,,
1716391326977,,,0.0,
1716391327944,0.0,,,,
1716391327954,0.0,0.0,,
1716391327977,,,0.0,
1716391328943,0.0,,,,
1716391328953,,0.0,,
1716391328955,0.0,,,
1716391328977,,,0.0,
1716391329945,0.0,,,,
1716391329954,,0.0,,
1716391329959,0.0,,,
1716391329977,,,0.0,
1716391330944,0.0,,,,
1716391330952,,0.0,,
1716391330955,0.0,,,
1716391330977,,,0.0,
1716391331945,0.0,,,,
1716391331954,,0.0,,
1716391331979,,,0.0,
1716391331984,0.0,,,
1716391332943,0.0,,,,
1716391332951,,0.0,,
1716391332954,0.020618556701030927,,,
1716391332976,,,0.0,
1716391333943,0.0,,,,
1716391333951,,0.0,,
1716391333954,0.0,,,
1716391333976,,,0.02275,
1716391334944,0.0,,,,
1716391334952,,0.021728271728271728,,
1716391334954,0.0,,,
1716391334978,,,0.0,
1716391335943,0.0,,,,
1716391335951,,0.0,,
1716391335954,0.0,,,
1716391335976,,,0.0,
1716391336943,0.0,,,,
1716391336951,,0.0,,
1716391336955,0.006993006993006993,,,
1716391336976,,,0.0,
1716391337943,0.0,,,,
1716391337955,0.0,,,
1716391337977,,,0.011488511488511488,
1716391338002,,0.01569933396764986,,
1716391338944,0.0,,,,
1716391338951,,0.0,,
1716391338954,0.0,,,
1716391338976,,,0.0,
1716391339946,0.0,,,,
1716391339953,,0.0,,
1716391339955,0.0,,,
1716391339977,,,0.0,
1716391340946,0.0,,,,
1716391340952,,0.0,,
1716391340954,0.018018018018018018,,,
1716391340976,,,0.0,
1716391341943,0.0,,,,
1716391341951,,0.011,,
1716391341954,0.0,,,
1716391341976,,,0.012,
1716391342943,0.0,,,,
1716391342951,,0.0,,
1716391342954,0.0,,,
1716391342976,,,0.0,
1716391343943,0.0,,,,
1716391343951,,0.0,,
1716391343954,0.0,,,
1716391343976,,,0.0,
1716391344943,0.0,,,,
1716391344952,,0.0,,
1716391344954,0.00675,,,
1716391344976,,,0.0,
1716391345944,0.0,,,,
1716391345952,,0.0,,
1716391345956,0.0,,,
1716391345977,,,0.01048951048951049,
1716391346943,0.0,,,,
1716391346952,,0.01225,,
1716391346954,0.0,,,
1716391346976,,,0.0,
1716391347944,0.0,,,,
1716391347951,,0.0,,
1716391347955,0.0,,,
1716391347976,,,0.0,
1716391348944,0.0,,,,
1716391348952,,0.0,,
1716391348954,0.0,,,
1716391348976,,,0.0,
1716391349943,0.0,,,,
1716391349951,,0.0,,
1716391349954,0.0,,,
1716391349977,,,0.0,
1716391350943,0.0,,,,
1716391350951,,0.0,,
1716391350976,,,0.0,
1716391351012,0.02717391304347826,,,
1716391351943,0.0,,,,
1716391351951,,0.0,,
1716391351954,0.0,,,
1716391351976,,,0.0,
1716391352943,0.0,,,,
1716391352952,,0.0,,
1716391352954,0.0,,,
1716391352976,,,0.019,
1716391353943,0.0,,,,
1716391353953,,0.0,,
1716391353954,0.0,,,
1716391353976,,,0.0,
1716391354943,0.0,,,,
1716391354951,,0.028028028028028028,,
1716391354954,0.0,,,
1716391354976,,,0.0,
1716391355943,0.0,,,,
1716391355952,,0.0,,
1716391355954,0.0,,,
1716391355977,,,0.0,
1716391356943,0.0,,,,
1716391356951,,0.0,,
1716391356955,0.021,,,
1716391356976,,,0.0,
1716391357943,0.0,,,,
1716391357951,,0.0,,
1716391357954,0.0,,,
1716391357977,,,0.0,
1716391358943,0.0,,,,
1716391358952,,0.0,,
1716391358954,0.0,,,
1716391358976,,,0.0,
1716391359943,0.0,,,,
1716391359951,,0.0,,
1716391359954,0.0,,,
1716391359977,,,0.00775,
1716391360943,0.0,,,,
1716391360951,,0.0025,,
1716391360954,0.0,,,
1716391360977,,,0.0,
1716391361942,0.0,,,,
1716391361951,,0.0,,
1716391361954,0.0,,,
1716391361976,,,0.0,
1716391362943,0.0,,,,
1716391362951,,0.0,,
1716391362954,0.01075,,,
1716391362976,,,0.0,
1716391363943,0.0,,,,
1716391363951,,0.0,,
1716391363956,0.0,,,
1716391363977,,,0.0,
1716391364943,0.0,,,,
1716391364951,,0.004,,
1716391364954,0.0,,,
1716391364976,,,0.0045045045045045045,
1716391365943,0.0,,,,
1716391365951,,0.0,,
1716391365954,0.0,,,
1716391365976,,,0.0,
1716391366943,0.0,,,,
1716391366951,,0.0,,
1716391366954,0.0,,,
1716391366977,,,0.0,
1716391367943,0.0,,,,
1716391367951,,0.0,,
1716391367955,0.005994005994005994,,,
1716391367978,,,0.0,
1716391368943,0.0,,,,
1716391368951,,0.0,,
1716391368954,0.0,,,
1716391368976,,,0.0,
1716391369943,0.0,,,,
1716391369951,,0.0,,
1716391369955,0.0,,,
1716391369976,,,0.0,
1716391370943,0.0,,,,
1716391370952,,0.0,,
1716391370954,0.0,,,
1716391370976,,,0.0,
1716391371943,0.0,,,,
1716391371952,,0.0,,
1716391371954,0.0,,,
1716391371976,,,0.0,
1716391372943,0.0,,,,
1716391372951,,0.0,,
1716391372954,0.0,,,
1716391372976,,,0.0,
1716391373943,0.0,,,,
1716391373951,,0.04125,,
1716391373954,0.0,,,
1716391373976,,,0.039,
1716391374943,0.0,,,,
1716391374951,,0.0,,
1716391374955,0.0,,,
1716391374976,,,0.0,
1716391375943,0.0,,,,
1716391375952,,0.0,,
1716391375954,0.03453453453453453,,,
1716391375976,,,0.0,
1716391376942,0.0,,,,
1716391376951,,0.0,,
1716391376954,0.0,,,
1716391376976,,,0.0,
1716391377942,0.0,,,,
1716391377951,,0.014,,
1716391377954,0.0,,,
1716391378022,,,0.012200956937799042,
1716391378943,0.0,,,,
1716391378951,,0.0,,
1716391378954,0.0,,,
1716391378976,,,0.0,
1716391379943,0.0,,,,
1716391379953,,0.0,,
1716391379954,0.0,,,
1716391379976,,,0.0,
1716391380943,0.0,,,,
1716391380951,,0.0,,
1716391380954,0.0075,,,
1716391380977,,,0.0,
1716391381943,0.0,,,,
1716391381951,,0.0,,
1716391381954,0.0,,,
1716391381976,,,0.0,
1716391382942,0.0,,,,
1716391382951,,0.0,,
1716391382954,0.0,,,
1716391382976,,,0.0,
1716391383943,0.0,,,,
1716391383951,,0.0,,
1716391383954,0.0,,,
1716391383976,,,0.0,
1716391384943,0.0,,,,
1716391384951,,0.0,,
1716391384954,0.0,,,
1716391384976,,,0.0,
1716391385943,0.0,,,,
1716391385951,,0.0,,
1716391385954,0.0,,,
1716391385976,,,0.0,
1716391386943,0.0,,,,
1716391386953,,0.0,,
1716391386954,0.0,,,
1716391386976,,,0.0,
1716391387943,0.0,,,,
1716391387952,,0.0,,
1716391387955,0.0,,,
1716391387976,,,0.0,
1716391388943,0.0,,,,
1716391388951,,0.0,,
1716391388954,0.0,,,
1716391388976,,,0.0,
1716391389943,0.0,,,,
1716391389951,,0.00725,,
1716391389954,0.0,,,
1716391389977,,,0.011738261738261738,
1716391390943,0.0,,,,
1716391390951,,0.0,,
1716391390954,0.0,,,
1716391390976,,,0.0,
1716391391943,0.0,,,,
1716391391952,,0.0,,
1716391391954,0.0,,,
1716391391976,,,0.0,
1716391392943,0.0,,,,
1716391392951,,0.0,,
1716391392955,0.0,,,
1716391392976,,,0.0,
1716391393942,0.0,,,,
1716391393951,,0.0,,
1716391393954,0.005755755755755756,,,
1716391393977,,,0.0,
1716391394942,0.0,,,,
1716391394951,,0.0,,
1716391394954,0.0,,,
1716391394976,,,0.0,
1716391395943,0.0,,,,
1716391395951,,0.0,,
1716391395954,0.0,,,
1716391395977,,,0.0,
1716391396943,0.0,,,,
1716391396951,,0.0,,
1716391396954,0.0,,,
1716391396976,,,0.0,
1716391397943,0.0,,,,
