Timestamp,Slave 0,Slave 1,Slave 2,
1716483272894,0,,,,
1716483272903,,0,,
1716483272909,,,0,
1716483272912,0,,,
1716483272952,149,,,
1716483272957,,149,,
1716483272975,,,149,
1716483272980,53,,,,
1716483273896,53,,,,
1716483273905,,149,,
1716483273911,,,149,
1716483273915,149,,,
1716483274896,53,,,,
1716483274905,,149,,
1716483274911,,,149,
1716483274914,149,,,
1716483275900,53,,,,
1716483275905,,149,,
1716483275910,,,149,
1716483275914,149,,,
1716483276896,53,,,,
1716483276906,,149,,
1716483276911,,,149,
1716483276913,149,,,
1716483277896,53,,,,
1716483277905,,149,,
1716483277911,,,149,
1716483277914,149,,,
1716483278896,53,,,,
1716483278905,,149,,
1716483278914,149,,149,
1716483279898,53,,,,
1716483279906,,149,,
1716483279911,,,149,
1716483279917,149,,,
1716483280896,53,,,,
1716483280907,,149,,
1716483280911,,,149,
1716483280913,149,,,
1716483281896,53,,,,
1716483281905,,149,,
1716483281911,,,149,
1716483281914,149,,,
1716483282898,53,,,,
1716483282911,,,149,
1716483282913,149,,,
1716483282977,,149,,
1716483283896,53,,,,
1716483283905,,149,,
1716483283910,,,149,
1716483283913,149,,,
1716483284896,53,,,,
1716483284906,,149,,
1716483284912,,,149,
1716483284913,149,,,
1716483285897,53,,,,
1716483285906,,149,,
1716483285911,,,149,
1716483285953,149,,,
1716483286896,53,,,,
1716483286905,,149,,
1716483286911,,,149,
1716483286913,149,,,
1716483287896,53,,,,
1716483287905,,149,,
1716483287911,,,149,
1716483287913,149,,,
1716483288897,53,,,,
1716483288905,,149,,
1716483288912,,,149,
1716483288913,149,,,
1716483289896,53,,,,
1716483289906,,149,,
1716483289911,,,149,
1716483289913,149,,,
1716483290896,53,,,,
1716483290904,,149,,
1716483290911,,,149,
1716483290913,149,,,
1716483291896,53,,,,
1716483291906,,149,,
1716483291911,,,149,
1716483291914,149,,,
1716483292896,53,,,,
1716483292905,,149,,
1716483292911,,,149,
1716483292913,149,,,
1716483293897,53,,,,
1716483293905,,149,,
1716483293910,,,149,
1716483293912,149,,,
1716483294896,53,,,,
1716483294905,,149,,
1716483294911,,,149,
1716483294915,149,,,
1716483295895,53,,,,
1716483295904,,149,,
1716483295913,149,,149,
1716483296896,53,,,,
1716483296905,,149,,
1716483296911,,,149,
1716483296920,149,,,
1716483297896,53,,,,
1716483297905,,149,,
1716483297911,,,149,
1716483297913,149,,,
1716483298896,53,,,,
1716483298905,,149,,
1716483298911,,,149,
1716483298913,149,,,
1716483299896,53,,,,
1716483299908,,149,,
1716483299912,,,149,
1716483299915,149,,,
1716483300895,53,,,,
1716483300905,,149,,
1716483300911,,,149,
1716483300913,149,,,
1716483301895,53,,,,
1716483301904,,149,,
1716483301911,,,149,
1716483301917,149,,,
1716483302896,53,,,,
1716483302904,,149,,
1716483302910,,,149,
1716483302913,149,,,
1716483303897,53,,,,
1716483303905,,149,,
1716483303911,,,149,
1716483303915,149,,,
1716483304895,53,,,,
1716483304905,,149,,
1716483304911,,,149,
1716483304914,149,,,
1716483305895,53,,,,
1716483305905,,149,,
1716483305910,,,149,
1716483305913,149,,,
1716483306895,53,,,,
1716483306905,,149,,
1716483306910,,,149,
1716483306912,149,,,
1716483307895,53,,,,
1716483307905,,149,,
1716483307910,,,149,
1716483307913,149,,,
1716483308895,53,,,,
1716483308905,,149,,
1716483308911,,,149,
1716483308913,149,,,
1716483309895,53,,,,
1716483309905,,149,,
1716483309911,,,149,
1716483309915,149,,,
1716483310895,53,,,,
1716483310905,,149,,
1716483310910,,,149,
1716483310913,149,,,
1716483311895,53,,,,
1716483311904,,149,,
1716483311910,,,149,
1716483311913,149,,,
1716483312895,53,,,,
1716483312906,,149,,
1716483312910,,,149,
1716483312913,149,,,
1716483313895,53,,,,
1716483313905,,149,,
1716483313911,,,149,
1716483313914,149,,,
1716483314898,53,,,,
1716483314906,,149,,
