Timestamp,Slave 0,Slave 1,Slave 2,
1716488042068,0,,,,
1716488042084,,0,0,
1716488042088,0,,,
1716488042107,,30,,
1716488042130,90,,,
1716488042131,25,,,,
1716488042242,,,107,
1716488043069,25,,,,
1716488043085,,,31,
1716488043087,,41,,
1716488043089,26,,,
1716488044069,25,,,,
1716488044085,,56,45,
1716488044090,41,,,
1716488045069,25,,,,
1716488045085,,73,64,
1716488045089,61,,,
1716488046070,25,,,,
1716488046085,,97,88,
1716488046089,85,,,
1716488047069,26,,,,
1716488047085,,112,104,
1716488047089,100,,,
1716488048070,26,,,,
1716488048086,,132,124,
1716488048090,120,,,
1716488049070,26,,,,
1716488049085,,153,146,
1716488049089,142,,,
1716488050070,26,,,,
1716488050085,,173,165,
1716488050089,162,,,
1716488051072,26,,,,
1716488051085,,192,184,
1716488051090,181,,,
1716488052071,26,,,,
1716488052085,,,202,
1716488052089,199,,,
1716488052112,,42,,
1716488053079,26,,,,
1716488053085,,65,220,
1716488053089,220,,,
1716488054076,26,,,,
1716488054085,,85,59,
1716488054089,71,,,
1716488055069,26,,,,
1716488055085,,118,89,
1716488055089,102,,,
1716488056069,26,,,,
1716488056085,,71,118,
1716488056089,132,,,
1716488057070,26,,,,
1716488057085,,104,,
1716488057086,,,152,
1716488057098,91,,,
1716488058069,26,,,,
1716488058086,,,94,
1716488058088,,131,,
1716488058089,119,,,
1716488059091,27,,,,
1716488059097,,94,,
1716488059100,,,128,
1716488059241,74,,,
1716488060069,27,,,,
1716488060085,,,89,
1716488060087,,121,,
1716488060090,103,,,
1716488061074,27,,,,
1716488061085,,,128,
1716488061087,,160,,
1716488061089,143,,,
1716488062069,27,,,,
1716488062088,,97,,
1716488062089,108,,,
1716488062090,,,163,
1716488063069,27,,,,
1716488063085,,145,,
1716488063087,,,99,
1716488063090,152,,,
1716488064069,28,,,,
1716488064085,,,123,
1716488064088,,167,,
1716488064089,174,,,
1716488065069,28,,,,
1716488065085,,,146,
1716488065086,,189,,
1716488065089,196,,,
1716488066069,28,,,,
1716488066085,,217,175,
1716488066179,102,,,
1716488067069,28,,,,
1716488067085,,111,195,
1716488067089,124,,,
1716488068069,28,,,,
1716488068085,,,110,
1716488068086,,141,,
1716488068089,153,,,
1716488069069,28,,,,
1716488069085,,170,142,
1716488069116,107,,,
1716488070069,28,,,,
1716488070085,,202,171,
1716488070089,140,,,
1716488071069,28,,,,
1716488071085,,236,203,
1716488071089,173,,,
1716488072069,28,,,,
1716488072086,,,229,
1716488072089,201,,,
1716488072126,,112,,
1716488073069,28,,,,
1716488073085,,143,259,
1716488073089,232,,,
1716488074069,29,,,,
1716488074085,,177,291,
1716488074089,267,,,
1716488075069,29,,,,
1716488075085,,213,328,
1716488075089,305,,,
1716488076069,29,,,,
1716488076085,,259,148,
1716488076089,163,,,
1716488077069,29,,,,
1716488077085,,311,203,
1716488077089,216,,,
1716488078069,29,,,,
1716488078085,,131,245,
1716488078089,260,,,
1716488079069,29,,,,
1716488079085,,183,299,
1716488079089,146,,,
1716488080070,29,,,,
1716488080085,,230,144,
1716488080089,194,,,
1716488081069,29,,,,
1716488081085,,159,191,
1716488081089,242,,,
1716488082069,29,,,,
1716488082085,,212,246,
1716488082089,296,,,
1716488083069,29,,,,
1716488083085,,263,297,
1716488083089,349,,,
1716488084069,29,,,,
1716488084087,,302,,
1716488084089,388,,337,
1716488085070,9,,,,
1716488085085,,349,384,
1716488085089,435,,,
1716488086070,9,,,,
1716488086085,,389,424,
1716488086089,475,,,
1716488087069,9,,,,
1716488087085,,425,461,
1716488087089,158,,,
1716488088069,9,,,,
1716488088085,,164,492,
1716488088089,190,,,
1716488089069,9,,,,
1716488089085,,169,533,
1716488089090,233,,,
1716488090069,9,,,,
1716488090085,,214,576,
1716488090089,279,,,
1716488091069,9,,,,
1716488091085,,257,616,
1716488091089,322,,,
1716488092069,9,,,,
1716488092085,,305,192,
1716488092089,370,,,
1716488093069,9,,,,
1716488093085,,357,244,
1716488093089,422,,,
1716488094069,9,,,,
1716488094085,,409,296,
1716488094089,209,,,
1716488095069,10,,,,
1716488095085,,462,349,
1716488095089,261,,,
1716488096069,10,,,,
1716488096085,,513,403,
1716488096089,313,,,
1716488097069,10,,,,
1716488097085,,,445,
1716488097086,,178,,
1716488097089,358,,,
1716488098069,10,,,,
1716488098085,,229,174,
1716488098089,410,,,
1716488099069,10,,,,
1716488099085,,283,,
1716488099086,,,226,
1716488099089,463,,,
1716488100069,10,,,,
1716488100085,,195,,
1716488100086,,,279,
1716488100089,517,,,
1716488101069,10,,,,
1716488101085,,252,,
1716488101086,,,334,
1716488101089,570,,,
1716488102069,10,,,,
1716488102085,,299,387,
1716488102089,617,,,
1716488103069,10,,,,
1716488103085,,350,439,
1716488103089,667,,,
1716488104069,10,,,,
1716488104085,,398,485,
1716488104089,204,,,
1716488105069,11,,,,
1716488105085,,451,539,
1716488105089,258,,,
1716488106069,11,,,,
1716488106085,,508,596,
1716488106089,314,,,
1716488107069,11,,,,
1716488107085,,556,645,
1716488107089,365,,,
1716488108069,11,,,,
1716488108085,,608,697,
1716488108089,418,,,
1716488109069,11,,,,
1716488109085,,658,748,
1716488109089,470,,,
1716488110069,11,,,,
1716488110085,,236,798,
1716488110089,521,,,
1716488111069,11,,,,
1716488111085,,288,852,
1716488111089,574,,,
1716488112069,11,,,,
1716488112085,,343,211,
1716488112089,629,,,
1716488113069,11,,,,
1716488113085,,397,264,
1716488113089,683,,,
1716488114069,11,,,,
1716488114085,,448,318,
1716488114089,734,,,
1716488115069,11,,,,
1716488115085,,498,369,
1716488115089,207,,,
1716488116069,12,,,,
1716488116085,,552,425,
1716488116089,261,,,
1716488117069,12,,,,
1716488117085,,603,476,
1716488117089,314,,,
1716488118069,12,,,,
1716488118085,,660,534,
1716488118089,372,,,
1716488119069,12,,,,
1716488119085,,261,589,
1716488119089,426,,,
1716488120069,12,,,,
1716488120085,,312,641,
1716488120089,479,,,
1716488121069,12,,,,
1716488121085,,367,697,
1716488121089,534,,,
1716488122069,12,,,,
1716488122085,,420,751,
1716488122089,589,,,
1716488123069,12,,,,
1716488123085,,474,806,
1716488123089,643,,,
1716488124069,13,,,,
1716488124085,,59,64,
1716488124089,59,,,
1716488125069,13,,,,
1716488125085,,123,125,
1716488125089,123,,,
1716488126069,13,,,,
1716488126085,,190,193,
1716488126089,192,,,
1716488127069,13,,,,
1716488127085,,254,,
1716488127087,,,256,
1716488127092,255,,,
1716488128069,13,,,,
1716488128085,,315,318,
1716488128089,316,,,
1716488129069,13,,,,
1716488129085,,379,381,
1716488129089,382,,,
1716488130069,14,,,,
1716488130085,,438,442,
1716488130089,442,,,
1716488131069,14,,,,
1716488131085,,506,509,
1716488131089,515,,,
1716488132069,21,,,,
1716488132085,,563,567,
1716488132089,570,,,
1716488133069,21,,,,
1716488133085,,600,604,
1716488133089,604,,,
1716488134069,21,,,,
1716488134085,,649,654,
1716488134089,653,,,
1716488135069,22,,,,
1716488135085,,693,702,
1716488135089,702,,,
1716488136069,22,,,,
1716488136085,,746,755,
1716488136089,753,,,
1716488137069,22,,,,
1716488137085,,800,811,
1716488137089,811,,,
1716488138069,22,,,,
1716488138085,,,114,
1716488138087,,105,,
1716488138089,116,,,
1716488139069,22,,,,
1716488139085,,155,,
1716488139086,,,166,
1716488139089,169,,,
1716488140069,22,,,,
1716488140085,,,219,
1716488140087,,209,,
1716488140089,220,,,
1716488141069,22,,,,
1716488141085,,263,,
1716488141086,,,273,
1716488141089,275,,,
1716488142069,22,,,,
1716488142085,,320,,
1716488142086,,,331,
1716488142089,335,,,
1716488143069,22,,,,
1716488143085,,376,388,
1716488143089,391,,,
1716488144069,22,,,,
1716488144085,,433,446,
1716488144089,448,,,
1716488145069,22,,,,
1716488145085,,489,502,
1716488145089,505,,,
1716488146069,23,,,,
1716488146085,,541,555,
1716488146089,558,,,
1716488147069,23,,,,
1716488147085,,599,,
1716488147087,,,614,
1716488147089,616,,,
1716488148069,23,,,,
1716488148085,,654,671,
1716488148089,674,,,
1716488149069,23,,,,
1716488149085,,705,725,
1716488149089,726,,,
1716488150069,23,,,,
1716488150085,,761,780,
1716488150089,783,,,
1716488151069,23,,,,
1716488151085,,812,831,
