Timestamp,Slave 0,Slave 1,Slave 2,
1716488042216,,312060,,
1716488042261,297508,,,
1716488042271,108456,,,,
1716488042420,,,330564,
1716488043151,109096,,,,
1716488043203,,,334916,
1716488043215,315504,,,
1716488043222,,320508,,
1716488044143,109224,,,,
1716488044168,,326524,,
1716488044176,317680,,,
1716488044178,,,339268,
1716488045138,322288,,,
1716488045140,109352,,,,
1716488045156,,,345412,
1716488045159,,329084,,
1716488046140,326768,,,
1716488046179,109352,,,,
1716488046182,,331644,,
1716488046191,,,348740,
1716488047134,,345340,,
1716488047144,109480,,,,
1716488047159,,,353092,
1716488047247,333552,,,
1716488048165,355056,,,
1716488048175,,367396,,
1716488048176,109608,,,,
1716488048207,,,378308,
1716488049168,109736,,,,
1716488049171,,,398404,
1716488049192,372348,,,
1716488049246,,389924,,
1716488050141,109864,,,,
1716488050178,,,418884,
1716488050195,,408868,,
1716488050212,392956,,,
1716488051164,,,437572,
1716488051175,109992,,,,
1716488051193,415612,,,
1716488051232,,430244,,
1716488052095,109992,,,,
1716488052141,432636,,,
1716488052159,,,455364,
1716488052161,,482084,,
1716488053175,,493988,,
1716488053233,,,475460,
1716488053236,110120,,,,
1716488053328,459388,,,
1716488054150,110248,,,,
1716488054180,489468,,,
1716488054201,,494372,,
1716488054213,,,520260,
1716488055175,,,521540,
1716488055176,,494372,,
1716488055194,110376,,,,
1716488055255,492284,,,
1716488056153,,,522692,
1716488056159,110504,,,,
1716488056199,492412,,,
1716488056244,,510756,,
1716488057189,511996,,,
1716488057197,110504,,,,
1716488057203,,510884,,
1716488057276,,,523972,
1716488058197,515068,,,
1716488058215,,,548932,
1716488058235,,514084,,
1716488058283,110632,,,,
1716488059187,,527396,,
1716488059237,110632,,,,
1716488059262,,,549316,
1716488059299,528124,,,
1716488060146,110888,,,,
1716488060162,,528292,,
1716488060164,,,565828,
1716488060245,528764,,,
1716488061153,,528420,,
1716488061167,529020,,,
1716488061177,111016,,,,
1716488061225,,,566084,
