Timestamp,Slave 0,Slave 1,Slave 2,
1741817044173,0,,,,
1741817044181,,,0,
1741817044187,0,,,
1741817044188,,0,,
1741817044196,0.17768329857211615,,,
1741817044201,,,0.16112266112266113,
1741817044212,,0.1730124521072797,,
1741817044237,0.0328448050248626,,,,
1741817045174,0.021344717182497332,,,,
1741817045182,,,0.2981651376146789,
1741817045187,0.27749747729566093,,,
1741817045190,,0.29877425944841673,,
1741817046174,0.0,,,,
1741817046182,,,0.3225,
1741817046187,0.2875,,,
1741817046190,,0.2975,,
1741817047174,0.005,,,,
1741817047182,,,0.3325,
1741817047188,0.2725,,,
1741817047189,,0.31312625250501,,
1741817048174,0.0,,,,
1741817048182,,,0.3075,
1741817048187,0.285,,,
1741817048191,,0.32435129740518964,,
1741817049175,0.0025,,,,
1741817049182,,,0.3175,
1741817049187,0.3,,,
1741817049189,,0.30561122244488975,,
1741817050175,0.0,,,,
1741817050182,,,0.315,
1741817050187,0.2875,,,
1741817050189,,0.305,,
1741817051175,0.0024975024975024975,,,,
1741817051182,,,0.3425,
1741817051188,0.2925,,,
1741817051189,,0.2922077922077922,,
1741817052175,0.0025,,,,
1741817052191,,,0.2651139742319128,
1741817052229,,0.26227141482194416,,
1741817052285,0.2666362807657247,,,
1741817053174,0.0075075075075075074,,,,
1741817053182,,,0.2951564076690212,
1741817053187,0.3128460686600221,,,
1741817053189,,0.26534859521331944,,
1741817054175,0.0025,,,,
1741817054182,,,0.335,
1741817054187,0.2925,,,
1741817054190,,0.2875,,
1741817055174,0.0025,,,,
1741817055182,,,0.2825,
1741817055187,0.335,,,
1741817055191,,0.2897102897102897,,
1741817056174,0.0,,,,
1741817056182,,,0.26723276723276723,
1741817056187,0.3425,,,
1741817056189,,0.2902902902902903,,
1741817057174,0.0025,,,,
1741817057182,,,0.2752752752752753,
1741817057188,0.3325,,,
1741817057190,,0.3,,
1741817058174,0.0025,,,,
1741817058182,,,0.2925,
1741817058188,0.2725,,,
1741817058190,,0.3325,,
1741817059174,0.0025,,,,
1741817059182,,,0.3075,
1741817059187,0.3,,,
1741817059189,,0.3028028028028028,,
1741817060175,0.0024975024975024975,,,,
1741817060182,,,0.2875,
1741817060188,0.305,,,
1741817060190,,0.27472527472527475,,
1741817061174,0.0025025025025025025,,,,
1741817061182,,,0.295,
1741817061187,0.285,,,
1741817061189,,0.3178178178178178,,
1741817062174,0.0,,,,
1741817062182,,,0.275,
1741817062187,0.32,,,
1741817062189,,0.3025,,
1741817063174,0.0025,,,,
1741817063182,,,0.25,
1741817063187,0.3125,,,
1741817063189,,0.3375,,
1741817064174,0.0075,,,,
1741817064182,,,0.2025,
1741817064187,0.3125,,,
1741817064191,,0.3664007976071785,,
1741817065174,0.005,,,,
1741817065182,,,0.255,
1741817065187,0.3175,,,
1741817065189,,0.3284854563691073,,
1741817066174,0.0025,,,,
1741817066182,,,0.265,
1741817066187,0.305,,,
1741817066189,,0.3225,,
1741817067174,0.0025,,,,
1741817067182,,,0.2425,
1741817067187,0.3175,,,
1741817067189,,0.3475,,
1741817068174,0.0,,,,
1741817068182,,,0.2625,
1741817068187,0.2775,,,
