
===================================
Domain Marker;critical-jOPS;1056.0
Domain Marker;max-jOPS;5245.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
67.0;600.0;3600.0;5600.0;6400.0;7800.0;104000.0
134.0;500.0;4100.0;6600.0;7500.0;9400.0;150000.0
202.0;600.0;4200.0;7200.0;8200.0;10434.000000000015;163000.0
269.0;600.0;4700.0;8300.0;9500.0;12500.0;177000.0
336.0;700.0;4900.0;9000.0;10200.0;13500.0;158000.0
403.0;500.0;5500.0;10000.0;11400.0;14500.0;163000.0
471.0;600.0;5900.0;10800.0;12300.0;17000.0;406000.0
538.0;600.0;5800.0;11200.0;12900.0;16200.0;167000.0
605.0;500.0;5700.0;11500.0;13300.0;17400.0;180000.0
672.0;500.0;5800.0;11900.0;13600.0;17600.0;197000.0
740.0;600.0;5800.0;12100.0;14000.0;18500.0;215000.0
807.0;500.0;5600.0;11900.0;13700.0;17800.0;231000.0
874.0;600.0;5700.0;12000.0;14000.0;18600.0;172000.0
941.0;600.0;5100.0;11400.0;13500.0;18300.0;198000.0
1009.0;500.0;5300.0;11700.0;13800.0;26000.0;240000.0
1076.0;600.0;5300.0;11700.0;13800.0;23000.0;204000.0
1143.0;500.0;5500.0;11700.0;13700.0;22000.0;255000.0
1210.0;500.0;5200.0;11400.0;13700.0;32000.0;283000.0
1278.0;500.0;5200.0;11300.0;13500.0;23000.0;244000.0
1345.0;600.0;5400.0;11600.0;13700.0;33000.0;426000.0
1412.0;600.0;5200.0;11300.0;13600.0;55000.0;292000.0
1479.0;500.0;5300.0;11300.0;13700.0;47000.0;375000.0
1547.0;400.0;5100.0;11000.0;13200.0;32000.0;301000.0
1614.0;500.0;5300.0;11400.0;13900.0;75240.00000000524;456000.0
1681.0;500.0;5500.0;11500.0;14000.0;51000.0;321000.0
1748.0;500.0;5400.0;11400.0;14000.0;54000.0;280000.0
1816.0;500.0;5400.0;11500.0;14100.0;66000.0;303000.0
1883.0;500.0;5500.0;11500.0;14200.0;74000.0;329000.0
1950.0;400.0;5600.0;11700.0;14500.0;80000.0;329000.0
2017.0;400.0;5500.0;11700.0;15700.0;87000.0;308000.0
2085.0;500.0;5500.0;11500.0;14500.0;80000.0;376000.0
2152.0;500.0;5600.0;11800.0;15800.0;103000.0;542000.0
2219.0;400.0;5700.0;11500.0;14500.0;74000.0;505000.0
2286.0;400.0;5800.0;12000.0;15900.0;109000.0;517000.0
2354.0;500.0;5800.0;12000.0;17500.0;99000.0;463000.0
2421.0;500.0;5900.0;12700.0;23000.0;141000.0;720000.0
2488.0;400.0;6000.0;12500.0;19100.0;109730.00000001048;477000.0
2555.0;500.0;6000.0;12800.0;21000.0;93000.0;399000.0
2623.0;500.0;6100.0;13500.0;27000.0;132000.0;566000.0
