Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;1009.0
Domain Marker;max-jOPS;4931.0
Domain Marker;Last Success for SLAs;2247.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
62;89.01770381262764
125;91.2419753709382
187;92.16251558195002
250;93.3254887282589
312;93.90405963133267
375;94.90280887216262
437;94.6149331181565
499;94.7348567779929
562;94.76384092549009
624;95.83535015770717
687;95.61218219769971
749;95.62294513679352
811;95.91019612169399
874;96.29008909231582
936;96.02160087325001
999;96.06521449193608
1061;96.35591418242127
1124;96.57776147321935
1186;96.24569255119216
1248;95.87091700773944
1311;96.09352359838589
1373;96.52533680150373
1436;96.67413174123314
1498;96.66504770617539
1560;96.73439217773648
1623;96.98870412716076
1685;96.43617930339774
1748;97.0301731980622
1810;96.97023938932425
1873;97.14725517573564
1935;97.07939336612499
1997;97.18683073838166
2060;96.98761657101984
2122;97.09826510817167
2185;96.85288599736433
2247;96.45805695203113
2310;96.92005743250158
2372;96.89810877249585
2434;96.99227878779777
2497;97.32469857660143
2559;97.18364162666205
2622;97.20605053150295
2684;97.52043336117674
2746;97.00393702845244
2809;97.32574264587485
2871;97.01667780440167
2934;96.98201827172893
2996;97.03564157214709
3059;97.24719486975178
3121;97.19265761462017
3183;96.73796422924268
3246;97.01620165302431
3308;97.26228159227918
3371;96.97062304372099
3433;97.32027277050362
3496;97.07291788957926
3558;96.88469662042812
3620;97.10826145491536
3683;96.57752681951125
3745;97.05900549641197
3808;97.07506364366425
3870;96.892406392801
3932;96.1926873431949
3995;96.00787633140943
4057;95.44777170618293
4120;95.74745230416205
4182;94.04076669867149
4245;93.84147573119512
4307;93.25522911397259
4369;92.9494078038018
4432;93.32575400693028
4494;91.29563285620853
4557;89.06475809212566
4619;85.92869528843609
4681;89.11119772581895
4744;90.59777282672738
4806;82.44718722460576
4869;82.82377129146506
4931;70.3491733543393
4994;67.88126892593786
5056;77.34497963523349
5118;73.18175494522542
5181;67.11157378224107
