"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",6,30,241.009253,12.310229,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",6,30,588.855006,19.779347,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",6,15,629.995242,7.921988,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",6,15,43.431018,0.910985,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",6,15,2175.909416,58.638104,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",6,15,11549.487618,138.628176,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",6,30,611.434226,10.788412,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",6,15,233.851143,7.301589,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",6,15,62.790618,3.014516,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",6,15,521.069307,7.705870,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,12.015977,0.211940,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",6,15,836.326645,15.973336,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",6,15,3741.012551,100.419385,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",6,15,56.335345,0.357572,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",6,15,357.252226,0.210107,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",6,15,33.237743,0.591723,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",6,15,291.054202,15.840262,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",6,30,9941.406982,95.430261,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",6,15,135.312368,3.839712,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",6,30,463.016974,11.544037,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",6,30,1048.123683,6.408126,"ops/min"
