"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",6,30,243.166549,13.852136,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",6,30,572.953488,15.564604,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",6,15,627.044053,8.576708,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",6,15,48.748286,2.153252,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",6,15,2188.890703,54.160672,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",6,15,11493.999791,227.942323,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",6,30,620.408965,11.122915,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",6,15,232.852323,5.458424,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",6,15,62.039267,1.557632,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",6,15,516.903819,12.855979,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,12.039909,0.111155,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",6,15,837.276138,14.631520,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",6,15,3805.129744,5.258907,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",6,15,56.397101,0.347994,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",6,15,357.314041,0.115466,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",6,15,33.293739,1.250273,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",6,15,279.313967,5.240922,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",6,30,9934.014393,150.388568,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",6,15,136.461412,2.803186,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",6,30,457.673871,12.466072,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",6,30,1034.273248,8.974512,"ops/min"
