Timestamp,Slave 0,Slave 1,Slave 2,
1734012752644,0,,,,
1734012752653,,0,,
1734012752656,0,,,
1734012752658,,,0,
1734012752674,5,,,,
1734012752680,,108,,
1734012752698,95,,,
1734012752718,,,115,
1734012753645,7,,,,
1734012753654,,139,,
1734012753657,122,,,
1734012753659,,,137,
1734012754645,7,,,,
1734012754653,,33,,
1734012754657,148,,,
1734012754659,,,26,
1734012755645,7,,,,
1734012755654,,66,,
1734012755657,56,,,
1734012755659,,,62,
1734012756645,7,,,,
1734012756653,,103,,
1734012756657,95,,,
1734012756658,,,102,
1734012757646,7,,,,
1734012757654,,136,,
1734012757657,131,,,
1734012757659,,,138,
1734012758645,7,,,,
1734012758653,,175,,
1734012758657,174,,,
1734012758659,,,181,
1734012759646,7,,,,
1734012759654,,218,,
1734012759658,220,,,
1734012759659,,,225,
1734012760645,7,,,,
1734012760653,,266,,
1734012760657,270,,,
1734012760659,,,274,
1734012761645,7,,,,
1734012761653,,305,,
1734012761657,310,,,
1734012761658,,,312,
1734012762645,7,,,,
1734012762655,,354,,
1734012762658,360,,,
1734012762659,,,362,
1734012763645,7,,,,
1734012763653,,410,,
1734012763657,421,,,
1734012763659,,,422,
1734012764645,7,,,,
1734012764654,,493,,
1734012764657,499,,,
1734012764685,,,92,
1734012765645,9,,,,
1734012765653,,134,,
1734012765657,535,,,
1734012765659,,,144,
1734012766645,9,,,,
1734012766654,,183,,
1734012766658,586,,,
1734012766659,,,191,
1734012767645,9,,,,
1734012767654,,235,,
1734012767657,641,,,
1734012767659,,,243,
1734012768645,9,,,,
1734012768654,,124,,
1734012768657,678,,,
1734012768659,,,125,
1734012769645,9,,,,
1734012769653,,169,,
1734012769657,723,,,
1734012769659,,,167,
1734012770645,9,,,,
1734012770654,,218,,
1734012770657,769,,,
1734012770659,,,214,
1734012771645,9,,,,
1734012771653,,273,,
1734012771657,826,,,
1734012771658,,,266,
1734012772645,9,,,,
1734012772653,,175,,
1734012772657,192,,,
1734012772658,,,189,
1734012773645,9,,,,
1734012773653,,269,,
1734012773657,113,,,
1734012773658,,,285,
1734012774645,9,,,,
1734012774653,,157,,
1734012774657,209,,,
1734012774659,,,204,
1734012775645,9,,,,
1734012775653,,253,,
1734012775657,304,,,
1734012775659,,,302,
1734012776645,9,,,,
1734012776653,,349,,
1734012776657,197,,,
1734012776658,,,399,
1734012777645,9,,,,
1734012777653,,450,,
1734012777656,297,,,
1734012777658,,,211,
1734012778645,9,,,,
1734012778653,,220,,
1734012778656,204,,,
1734012778658,,,307,
1734012779644,9,,,,
1734012779653,,321,,
1734012779656,306,,,
1734012779659,,,406,
1734012780645,11,,,,
1734012780653,,423,,
1734012780656,409,,,
1734012780658,,,506,
1734012781644,11,,,,
1734012781653,,521,,
1734012781656,507,,,
1734012781660,,,604,
1734012782645,11,,,,
1734012782653,,619,,
1734012782657,607,,,
1734012782659,,,244,
1734012783645,11,,,,
1734012783653,,228,,
1734012783657,191,,,
1734012783658,,,342,
1734012784644,11,,,,
1734012784653,,334,,
1734012784656,296,,,
1734012784658,,,446,
1734012785644,11,,,,
1734012785653,,434,,
1734012785657,397,,,
1734012785658,,,549,
1734012786645,11,,,,
1734012786653,,530,,
1734012786657,496,,,
1734012786658,,,649,
1734012787645,11,,,,
1734012787653,,628,,
1734012787656,593,,,
1734012787658,,,177,
1734012788645,11,,,,
1734012788653,,720,,
1734012788656,237,,,
1734012788658,,,272,
1734012789645,11,,,,
1734012789653,,171,,
1734012789657,332,,,
1734012789658,,,370,
1734012790645,11,,,,
1734012790653,,270,,
1734012790656,434,,,
1734012790658,,,470,
1734012791645,11,,,,
1734012791653,,368,,
1734012791656,533,,,
1734012791658,,,570,
1734012792645,11,,,,
1734012792653,,466,,
1734012792656,634,,,
1734012792658,,,671,
1734012793644,11,,,,
1734012793653,,566,,
1734012793657,737,,,
1734012793658,,,772,
1734012794644,11,,,,
1734012794653,,666,,
1734012794656,836,,,
1734012794658,,,871,
1734012795644,11,,,,
1734012795653,,759,,
1734012795656,184,,,
1734012795659,,,212,
1734012796645,11,,,,
1734012796653,,858,,
1734012796657,287,,,
1734012796658,,,313,
1734012797644,11,,,,
1734012797653,,200,,
1734012797656,382,,,
1734012797658,,,409,
1734012798645,11,,,,
1734012798653,,300,,
1734012798657,485,,,
1734012798658,,,509,
1734012799644,11,,,,
1734012799653,,396,,
1734012799657,585,,,
1734012799658,,,608,
1734012800645,11,,,,
1734012800653,,495,,
1734012800656,686,,,
1734012800658,,,710,
1734012801644,11,,,,
1734012801653,,595,,
1734012801656,786,,,
1734012801658,,,806,
1734012802645,11,,,,
1734012802653,,699,,
1734012802657,889,,,
1734012802658,,,910,
1734012803644,13,,,,
1734012803653,,795,,
1734012803656,238,,,
1734012803660,,,261,
1734012804644,13,,,,
1734012804653,,893,,
1734012804656,340,,,
1734012804658,,,359,
1734012805645,13,,,,
1734012805653,,237,,
1734012805656,437,,,
1734012805658,,,458,
1734012806645,13,,,,
1734012806653,,337,,
1734012806656,537,,,
1734012806658,,,560,
1734012807645,13,,,,
1734012807653,,438,,
1734012807657,638,,,
1734012807658,,,660,
1734012808645,13,,,,
1734012808653,,538,,
1734012808657,740,,,
1734012808658,,,764,
1734012809644,13,,,,
1734012809653,,644,,
1734012809657,845,,,
1734012809658,,,869,
