Timestamp,Slave 0,Slave 1,Slave 2,
1734025353347,0,,,,
1734025353357,0,,,
1734025353358,,0,,
1734025353360,,,0,
1734025353372,,149,,
1734025353373,53,,,,
1734025353380,,,149,
1734025353391,149,,,
1734025354352,53,,,,
1734025354359,149,,,
1734025354360,,149,,
1734025354362,,,149,
1734025355350,53,,,,
1734025355359,149,,,
1734025355360,,149,,
1734025355361,,,149,
1734025356349,53,,,,
1734025356359,149,,,
1734025356360,,149,,
1734025356362,,,149,
1734025357349,53,,,,
1734025357359,,149,,
1734025357362,,,149,
1734025357365,149,,,
1734025358349,53,,,,
1734025358359,149,149,,
1734025358362,,,149,
1734025359349,53,,,,
1734025359359,149,149,,
1734025359361,,,149,
1734025360350,53,,,,
1734025360359,149,,,
1734025360360,,149,,
1734025360364,,,149,
1734025361349,53,,,,
1734025361359,149,149,,
1734025361362,,,149,
1734025362350,53,,,,
1734025362358,149,,,
1734025362359,,149,,
1734025362362,,,149,
1734025363351,53,,,,
1734025363359,,149,,
1734025363360,149,,,
1734025363382,,,149,
1734025364349,53,,,,
1734025364358,149,,,
1734025364359,,149,,
1734025364364,,,149,
1734025365350,53,,,,
1734025365359,149,,,
1734025365360,,149,,
1734025365363,,,149,
1734025366350,53,,,,
1734025366358,149,,,
1734025366359,,149,,
1734025366361,,,149,
1734025367349,53,,,,
1734025367359,149,,,
1734025367362,,,149,
1734025367373,,149,,
1734025368350,53,,,,
1734025368358,149,,,
1734025368359,,149,,
1734025368362,,,149,
1734025369349,53,,,,
1734025369358,149,,,
1734025369361,,149,,
1734025369368,,,149,
1734025370349,53,,,,
1734025370359,149,,,
1734025370363,,,149,
1734025370391,,149,,
1734025371348,53,,,,
1734025371358,149,,,
1734025371359,,149,,
1734025371364,,,149,
1734025372349,53,,,,
1734025372359,149,149,,
1734025372361,,,149,
1734025373349,53,,,,
1734025373359,149,149,,
1734025373361,,,149,
1734025374349,53,,,,
1734025374359,149,149,,
1734025374362,,,149,
1734025375349,53,,,,
1734025375359,149,,,
1734025375360,,149,,
1734025375362,,,149,
1734025376349,53,,,,
1734025376359,149,149,,
1734025376361,,,149,
1734025377348,53,,,,
1734025377358,149,,,
1734025377359,,149,,
1734025377362,,,149,
1734025378349,53,,,,
1734025378358,149,,,
1734025378359,,149,,
1734025378361,,,149,
1734025379348,53,,,,
1734025379359,149,149,,
1734025379361,,,149,
1734025380349,53,,,,
1734025380359,,149,,
1734025380360,149,,,
1734025380365,,,149,
1734025381348,53,,,,
1734025381359,,149,,
1734025381360,149,,,
1734025381361,,,149,
1734025382348,53,,,,
1734025382359,,149,,
1734025382360,149,,,
1734025382362,,,149,
1734025383349,53,,,,
1734025383358,149,,,
1734025383359,,149,,
1734025383361,,,149,
1734025384348,53,,,,
1734025384358,149,,,
1734025384359,,149,,
1734025384361,,,149,
1734025385348,53,,,,
1734025385358,149,,,
1734025385359,,149,,
1734025385361,,,149,
1734025386348,53,,,,
1734025386359,149,149,,
1734025386361,,,149,
1734025387349,53,,,,
1734025387359,149,149,,
1734025387361,,,149,
1734025388348,53,,,,
1734025388359,149,149,,
1734025388361,,,149,
1734025389349,53,,,,
1734025389358,149,,,
1734025389359,,149,,
1734025389361,,,149,
1734025390348,53,,,,
1734025390358,149,,,
1734025390359,,149,,
1734025390361,,,149,
1734025391348,53,,,,
1734025391358,149,,,
1734025391359,,149,,
1734025391361,,,149,
1734025392348,53,,,,
1734025392358,149,,,
1734025392359,,149,,
1734025392362,,,149,
1734025393349,53,,,,
1734025393358,149,,,
1734025393359,,149,,
1734025393362,,,149,
1734025394349,53,,,,
1734025394358,149,149,,
1734025394362,,,149,
1734025395350,53,,,,
1734025395360,149,149,,
1734025395362,,,149,
1734025396349,53,,,,
1734025396359,149,149,,
1734025396361,,,149,
1734025397349,53,,,,
1734025397358,149,149,,
1734025397361,,,149,
1734025398349,53,,,,
1734025398358,149,,,
1734025398359,,149,,
1734025398361,,,149,
1734025399349,53,,,,
1734025399359,149,149,,
1734025399361,,,149,
1734025400349,53,,,,
1734025400358,149,,,
1734025400361,,,149,
1734025400363,,149,,
1734025401349,53,,,,
1734025401358,149,,,
1734025401359,,149,,
1734025401361,,,149,
1734025402348,53,,,,
1734025402358,149,,,
1734025402359,,149,,
1734025402362,,,149,
1734025403348,53,,,,
1734025403358,149,,,
1734025403359,,149,,
