
===================================
Domain Marker;critical-jOPS;1759.0
Domain Marker;max-jOPS;7003.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
80.0;500.0;2200.0;3200.0;3500.0;4300.0;180000.0
161.0;500.0;2400.0;3600.0;4100.0;4800.0;6600.0
241.0;500.0;2600.0;4100.0;4600.0;5700.0;179000.0
322.0;500.0;3000.0;4700.0;5300.0;6600.0;127000.0
402.0;500.0;3100.0;5300.0;6000.0;7300.0;162000.0
483.0;500.0;3300.0;5800.0;6700.0;8700.0;134000.0
563.0;500.0;3400.0;6300.0;7100.0;9700.0;261000.0
644.0;500.0;3800.0;7000.0;7900.0;10300.0;155000.0
724.0;500.0;3700.0;7300.0;8400.0;11400.0;273000.0
805.0;500.0;4100.0;8000.0;9100.0;11700.0;156000.0
885.0;500.0;4100.0;8500.0;9700.0;13000.0;237000.0
966.0;500.0;4200.0;8900.0;10300.0;23000.0;251000.0
1046.0;500.0;4100.0;9100.0;10600.0;16008.99999999965;332000.0
1127.0;500.0;4200.0;9600.0;11200.0;27000.0;215000.0
1207.0;500.0;4200.0;9900.0;11600.0;18180.999999999767;234000.0
1288.0;500.0;4200.0;10300.0;12200.0;34000.0;220000.0
1368.0;500.0;4200.0;10300.0;12100.0;18200.0;200000.0
1449.0;500.0;4600.0;11000.0;13100.0;26000.0;241000.0
1529.0;500.0;4500.0;11100.0;13300.0;43000.0;418000.0
1610.0;500.0;4500.0;10700.0;13000.0;28000.0;228000.0
1690.0;500.0;4500.0;11000.0;13400.0;28000.0;182000.0
1771.0;500.0;4500.0;10700.0;12800.0;22000.0;189000.0
1851.0;500.0;4400.0;10600.0;12900.0;35000.0;247000.0
1932.0;400.0;4500.0;10400.0;12700.0;31000.0;281000.0
2012.0;400.0;4400.0;10500.0;12800.0;43000.0;280000.0
2093.0;500.0;4500.0;10600.0;13200.0;42000.0;393000.0
2173.0;400.0;4400.0;10300.0;13000.0;52000.0;399000.0
2254.0;400.0;4500.0;10400.0;13200.0;58000.0;312000.0
2334.0;500.0;4500.0;10300.0;12900.0;42000.0;255000.0
2415.0;400.0;4600.0;10500.0;13400.0;53000.0;286000.0
2495.0;400.0;4600.0;10400.0;13400.0;69000.0;435000.0
2576.0;400.0;4700.0;10600.0;14100.0;75000.0;391000.0
2656.0;400.0;4600.0;10300.0;13300.0;71000.0;413000.0
2737.0;500.0;4700.0;10200.0;13400.0;88000.0;453000.0
2817.0;400.0;4800.0;10800.0;15900.0;118000.0;545000.0
2898.0;400.0;4900.0;10800.0;14700.0;80000.0;427000.0
2978.0;400.0;4900.0;11100.0;18100.0;114000.0;467000.0
3059.0;400.0;4900.0;10600.0;14900.0;75000.0;467000.0
3139.0;400.0;5000.0;11100.0;16600.0;79000.0;419000.0
3220.0;400.0;5200.0;11800.0;19700.0;85000.0;552000.0
3300.0;400.0;5100.0;11600.0;25000.0;153000.0;670000.0
3381.0;400.0;5300.0;12100.0;23000.0;79000.0;360000.0
3461.0;400.0;5300.0;12000.0;24000.0;90000.0;550000.0
3542.0;400.0;5400.0;13500.0;42000.0;139000.0;660000.0
3622.0;500.0;5300.0;12300.0;29000.0;123000.0;577000.0
3703.0;400.0;5500.0;15000.0;39000.0;141000.0;720000.0
3783.0;400.0;5500.0;14700.0;38000.0;141000.0;660000.0
3864.0;400.0;5600.0;14700.0;34000.0;100000.0;506000.0
3944.0;400.0;5700.0;14800.0;40000.0;135000.0;700000.0
4025.0;400.0;5800.0;15400.0;41000.0;139000.0;595000.0
4105.0;400.0;5800.0;16200.0;42000.0;122000.0;610000.0
4186.0;400.0;6000.0;21000.0;42000.0;112000.0;690000.0
4266.0;400.0;6100.0;19600.0;44000.0;129000.0;850000.0
4347.0;400.0;6200.0;23000.0;55000.0;155000.0;597000.0
4427.0;400.0;6400.0;27000.0;61000.0;145000.0;680000.0
4508.0;400.0;6400.0;30000.0;68000.0;187729.99999998137;840000.0
4588.0;400.0;6600.0;36000.0;88000.0;205000.0;890000.0
4669.0;400.0;7000.0;39000.0;64000.0;148000.0;1100000.0
4749.0;400.0;7000.0;40000.0;77000.0;170000.0;940000.0
4830.0;400.0;7300.0;45000.0;75000.0;153000.0;850000.0
4910.0;300.0;7600.0;45000.0;74000.0;143000.0;1100000.0
4991.0;400.0;7900.0;61000.0;93000.0;161000.0;1200000.0
5071.0;400.0;7900.0;53000.0;83000.0;163330.0000000163;1100000.0
5152.0;400.0;8500.0;85000.0;128000.0;198000.0;2700000.0
5232.0;400.0;8600.0;74000.0;107000.0;175000.0;1800000.0
5313.0;400.0;9000.0;75000.0;113000.0;201000.0;1600000.0
5393.0;400.0;9700.0;84000.0;120000.0;204000.0;1800000.0
5474.0;400.0;10000.0;94000.0;125000.0;199000.0;2800000.0
5554.0;400.0;10900.0;98000.0;142000.0;204000.0;3100000.0
5635.0;400.0;12500.0;151000.0;195000.0;290000.0;3900000.0
5715.0;400.0;12900.0;127000.0;178000.0;265000.0;4200000.0
5796.0;400.0;19800.0;149000.0;199000.0;293000.0;4100000.0
5876.0;400.0;18800.0;162000.0;207000.0;275000.0;4600000.0
5957.0;400.0;33000.0;200000.0;270000.0;352000.0;5000000.0
6037.0;300.0;33000.0;211000.0;258000.0;403000.0;4500000.0
6118.0;400.0;43000.0;204000.0;261000.0;383000.0;5100000.0
6198.0;400.0;56000.0;223000.0;279000.0;368000.0;6300000.0
6279.0;400.0;78000.0;258000.0;308000.0;390000.0;5400000.0
6359.0;400.0;86000.0;273000.0;319000.0;432000.0;5400000.0
6440.0;400.0;84000.0;277000.0;336000.0;487000.0;6500000.0
6520.0;400.0;107000.0;303000.0;372000.0;506000.0;7100000.0
6601.0;400.0;113000.0;298000.0;341000.0;485000.0;6100000.0
6681.0;400.0;145000.0;327000.0;368000.0;433000.0;7200000.0
6762.0;300.0;178000.0;371000.0;423000.0;800000.0;8600000.0
6842.0;400.0;211000.0;422000.0;491000.0;620000.0;1.2E7
6923.0;700.0;393000.0;640000.0;720000.0;900000.0;1.2E7
7003.0;1000.0;546000.0;860000.0;1100000.0;2200000.0;1.8E7
7084.0;2400.0;610000.0;1100000.0;1400000.0;2900000.0;3.0E7
7164.0;30000.0;534000.0;1500000.0;2000000.0;6400000.0;2.4E7
7245.0;58000.0;820000.0;1900000.0;2700000.0;5900000.0;2.5E7
7325.0;2500.0;575000.0;1200000.0;1600000.0;8000000.0;2.0E7
