
===================================
Domain Marker;critical-jOPS;2595.0
Domain Marker;max-jOPS;7808.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
96.0;500.0;2200.0;3200.0;3600.0;4400.0;163000.0
193.0;400.0;2500.0;3800.0;4300.0;5384.000000000015;7800.0
289.0;500.0;2900.0;4500.0;5000.0;6000.0;108000.0
386.0;500.0;3200.0;5100.0;5800.0;7000.0;168000.0
482.0;500.0;3500.0;5700.0;6400.0;7700.0;180000.0
578.0;500.0;3800.0;6400.0;7200.0;8900.0;164000.0
675.0;500.0;4100.0;7100.0;8000.0;9800.0;179000.0
771.0;300.0;4300.0;7600.0;8600.0;10900.0;177000.0
868.0;500.0;4500.0;8300.0;9300.0;11600.0;172000.0
964.0;500.0;4600.0;8700.0;9800.0;12300.0;177000.0
1060.0;500.0;4700.0;9200.0;10400.0;13400.0;171000.0
1157.0;500.0;4800.0;9700.0;11100.0;14600.0;191000.0
1253.0;500.0;4800.0;10100.0;11500.0;14800.0;175000.0
1350.0;500.0;4900.0;10400.0;11900.0;15100.0;180000.0
1446.0;400.0;4800.0;10600.0;12300.0;15800.0;171000.0
1542.0;400.0;4800.0;10900.0;12600.0;17200.0;179000.0
1639.0;400.0;4900.0;11000.0;13000.0;19094.000000000233;238000.0
1735.0;500.0;4900.0;10700.0;12600.0;17600.0;173000.0
1832.0;500.0;4900.0;11000.0;13000.0;22000.0;187000.0
1928.0;500.0;4800.0;10600.0;12700.0;21000.0;185000.0
2024.0;400.0;4600.0;10300.0;12200.0;17700.0;172000.0
2121.0;500.0;4800.0;10600.0;12700.0;27000.0;187000.0
2217.0;400.0;4800.0;10700.0;12700.0;28000.0;251000.0
2314.0;500.0;4800.0;10400.0;12700.0;33000.0;173000.0
2410.0;500.0;4800.0;10300.0;12400.0;24000.0;179000.0
2506.0;400.0;4800.0;10300.0;12700.0;29000.0;200000.0
2603.0;500.0;4800.0;10200.0;12400.0;30000.0;181000.0
2699.0;500.0;4900.0;10400.0;12900.0;38000.0;227000.0
2796.0;500.0;4900.0;10400.0;12800.0;36000.0;209000.0
2892.0;400.0;4900.0;10400.0;13200.0;39000.0;211000.0
2988.0;400.0;5000.0;10500.0;13400.0;52000.0;288000.0
3085.0;500.0;5100.0;10400.0;13100.0;38000.0;206000.0
3181.0;400.0;5100.0;10600.0;13500.0;48000.0;217000.0
3278.0;400.0;5100.0;10800.0;14600.0;53000.0;282000.0
3374.0;400.0;5100.0;10600.0;13500.0;42000.0;265000.0
3470.0;400.0;5200.0;11300.0;16500.0;56000.0;223000.0
3567.0;400.0;5400.0;11300.0;16300.0;52000.0;272000.0
3663.0;500.0;5300.0;11300.0;16400.0;54000.0;331000.0
3760.0;400.0;5400.0;11200.0;15700.0;46000.0;257000.0
3856.0;400.0;5500.0;12000.0;19300.0;54000.0;266000.0
3952.0;400.0;5600.0;12100.0;19500.0;59000.0;256000.0
4049.0;500.0;5600.0;12100.0;21000.0;58000.0;272000.0
4145.0;400.0;5600.0;12200.0;21000.0;66000.0;304000.0
4242.0;400.0;5700.0;13100.0;29000.0;64000.0;504000.0
4338.0;400.0;5800.0;13600.0;27000.0;65000.0;710000.0
4434.0;400.0;6000.0;14500.0;30000.0;81000.0;660000.0
4531.0;400.0;6200.0;16700.0;40000.0;97000.0;569000.0
4627.0;400.0;6200.0;17500.0;37000.0;81000.0;760000.0
4724.0;400.0;6400.0;17200.0;38000.0;82000.0;350000.0
4820.0;400.0;6400.0;22000.0;50000.0;92000.0;640000.0
4916.0;400.0;6700.0;30000.0;55000.0;100000.0;730000.0
5013.0;400.0;6900.0;26000.0;51000.0;105000.0;840000.0
5109.0;400.0;7200.0;35000.0;57000.0;106000.0;770000.0
5206.0;400.0;7100.0;28000.0;47000.0;84000.0;730000.0
5302.0;400.0;7600.0;40000.0;65000.0;116000.0;950000.0
5398.0;400.0;7700.0;39000.0;58000.0;103000.0;1400000.0
5495.0;400.0;7800.0;38000.0;60000.0;117000.0;790000.0
5591.0;300.0;8300.0;56000.0;75000.0;116000.0;1500000.0
5688.0;300.0;8500.0;49000.0;71000.0;140000.0;1200000.0
5784.0;400.0;9200.0;66000.0;93000.0;160000.0;1800000.0
5880.0;300.0;9200.0;60000.0;81000.0;139000.0;1300000.0
5977.0;400.0;9700.0;75000.0;107000.0;176000.0;2800000.0
6073.0;400.0;11000.0;88000.0;121000.0;169000.0;2700000.0
6170.0;400.0;11300.0;91000.0;133000.0;183000.0;2100000.0
6266.0;400.0;11200.0;101000.0;128000.0;202000.0;3300000.0
6362.0;400.0;12000.0;108000.0;139000.0;230000.0;3600000.0
6459.0;300.0;14400.0;134000.0;166000.0;252000.0;3300000.0
6555.0;400.0;22000.0;143000.0;188000.0;276000.0;3600000.0
6652.0;400.0;24000.0;156000.0;198000.0;304000.0;3700000.0
6748.0;300.0;28000.0;195000.0;238000.0;309000.0;4500000.0
6844.0;400.0;41000.0;211000.0;252000.0;327000.0;4500000.0
6941.0;300.0;41000.0;202000.0;235000.0;295000.0;4300000.0
7037.0;300.0;43000.0;192000.0;231000.0;419000.0;4600000.0
7134.0;400.0;61000.0;212000.0;253000.0;360000.0;5800000.0
7230.0;400.0;76000.0;234000.0;281000.0;395000.0;5000000.0
7326.0;300.0;96000.0;270000.0;324000.0;391000.0;6400000.0
7423.0;400.0;115000.0;282000.0;339000.0;439000.0;7200000.0
7519.0;400.0;138000.0;321000.0;369000.0;531000.0;6100000.0
7616.0;400.0;174000.0;401000.0;458000.0;610000.0;1.1E7
7712.0;700.0;342000.0;690000.0;780000.0;1300000.0;1.8E7
7808.0;600.0;546000.0;960000.0;1300000.0;3500000.0;3.3E7
7905.0;1100.0;572000.0;950000.0;1300000.0;7200000.0;6.0E7
8001.0;229000.0;850000.0;2800000.0;3400000.0;5300000.0;2.5E7
8098.0;170000.0;950000.0;2100000.0;2300000.0;4200000.0;2.2E7
8194.0;13600.0;700000.0;1100000.0;1200000.0;1800000.0;6.0E7
