"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",8,30,341.062670,21.320710,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",8,30,601.045861,73.875299,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",8,15,715.983528,9.129965,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",8,15,47.731487,0.203022,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",8,15,619.830357,16.004573,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",8,15,7294.372925,74.955536,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",8,30,737.196940,18.694048,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",8,15,256.139708,2.411709,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",8,15,64.976929,0.924715,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",8,15,684.678211,11.827406,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,13.292200,0.210335,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",8,15,971.453753,38.909701,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",8,15,4381.889586,201.544368,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",8,15,47.072757,0.073040,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",8,15,433.036665,1.960267,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",8,15,38.054254,8.975109,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",8,15,366.606897,15.378320,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",8,30,10993.662048,136.423111,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",8,15,137.613864,2.362488,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",8,30,558.375074,19.210670,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",8,30,1228.345619,12.117658,"ops/min"
