"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",8,30,256.874090,15.357949,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",8,30,700.976269,25.055544,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",8,15,708.224334,3.399610,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",8,15,46.288318,1.473563,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",8,15,2233.114543,41.174009,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",8,15,11276.775854,101.482524,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",8,30,691.001375,14.267002,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",8,15,251.681471,3.913191,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",8,15,64.950035,0.920039,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",8,15,672.064089,13.558763,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,13.267275,0.210000,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",8,15,994.399597,28.452455,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",8,15,4617.743153,21.787374,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",8,15,59.559616,0.183729,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",8,15,479.484104,0.456958,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",8,15,33.893552,0.265984,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",8,15,317.471260,5.521847,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",8,30,10276.740328,162.598719,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",8,15,143.076752,2.456768,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",8,30,525.932442,15.218786,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",8,30,1020.775386,3.677760,"ops/min"
