Timestamp,Slave 0,Slave 1,Slave 2,
1695139689469,0,,,,
1695139689476,,,0,
1695139689477,0,0,,
1695139689483,62,,,,
1695139689490,157,,,
1695139689492,,157,,
1695139689494,,,157,
1695139690471,61,,,,
1695139690478,157,157,157,
1695139691471,61,,,,
1695139691478,157,157,157,
1695139692471,61,,,,
1695139692478,,,157,
1695139692479,,157,,
1695139692489,157,,,
1695139693471,61,,,,
1695139693478,157,157,157,
1695139694471,61,,,,
1695139694478,,,157,
1695139694479,157,157,,
1695139695471,61,,,,
1695139695478,157,157,157,
1695139696472,61,,,,
1695139696479,157,,157,
1695139696480,,157,,
1695139697471,61,,,,
1695139697478,157,157,157,
1695139698471,61,,,,
1695139698478,157,157,157,
1695139699471,61,,,,
1695139699478,157,157,157,
1695139700471,61,,,,
1695139700478,,,157,
1695139700481,,157,,
1695139700495,157,,,
1695139701471,61,,,,
1695139701478,157,,157,
1695139701479,,157,,
1695139702471,61,,,,
1695139702478,157,157,157,
1695139703471,61,,,,
1695139703477,,,157,
1695139703478,157,157,,
1695139704473,61,,,,
1695139704480,157,157,157,
1695139705471,61,,,,
1695139705478,157,,157,
1695139705479,,157,,
1695139706471,61,,,,
1695139706477,,,157,
1695139706478,157,157,,
1695139707471,61,,,,
1695139707477,,,157,
1695139707478,157,157,,
1695139708471,61,,,,
1695139708478,157,157,157,
1695139709471,61,,,,
1695139709478,157,157,157,
1695139710471,61,,,,
1695139710478,157,157,157,
1695139711472,61,,,,
1695139711477,,,157,
1695139711478,157,157,,
1695139712471,61,,,,
1695139712478,157,157,157,
1695139713470,61,,,,
1695139713478,157,,,
1695139713479,,157,157,
1695139714471,61,,,,
1695139714477,,,157,
1695139714478,157,157,,
1695139715470,61,,,,
1695139715477,,,157,
1695139715478,157,,,
1695139715479,,157,,
1695139716472,61,,,,
1695139716478,157,157,157,
1695139717470,61,,,,
1695139717478,157,157,157,
1695139718470,61,,,,
1695139718477,,,157,
1695139718478,157,157,,
1695139719471,61,,,,
1695139719478,157,157,157,
1695139720471,61,,,,
1695139720477,,,157,
1695139720478,157,157,,
1695139721471,61,,,,
1695139721477,,,157,
1695139721478,157,157,,
1695139722470,61,,,,
1695139722477,,,157,
1695139722478,157,157,,
1695139723470,61,,,,
1695139723477,,,157,
1695139723478,157,,,
1695139723479,,157,,
1695139724470,61,,,,
1695139724478,157,157,157,
1695139725470,61,,,,
1695139725477,,,157,
1695139725478,157,157,,
1695139726471,61,,,,
1695139726477,,,157,
1695139726478,157,157,,
1695139727471,61,,,,
1695139727477,,,157,
1695139727478,157,157,,
1695139728471,61,,,,
1695139728477,,,157,
1695139728478,,157,,
1695139728479,157,,,
1695139729470,61,,,,
1695139729477,,,157,
1695139729478,157,157,,
1695139730470,61,,,,
1695139730477,,,157,
1695139730478,157,157,,
1695139731470,61,,,,
1695139731477,,,157,
1695139731478,157,157,,
1695139732470,61,,,,
1695139732477,,,157,
1695139732478,157,157,,
1695139733470,61,,,,
1695139733477,,,157,
1695139733478,157,157,,
1695139734470,61,,,,
1695139734477,,,157,
1695139734478,157,157,,
1695139735470,61,,,,
1695139735477,,,157,
1695139735478,157,157,,
1695139736470,61,,,,
1695139736477,,,157,
1695139736478,157,157,,
1695139737470,61,,,,
1695139737477,,,157,
1695139737478,157,157,,
1695139738470,61,,,,
1695139738477,,,157,
1695139738478,157,157,,
1695139739470,61,,,,
1695139739477,,,157,
1695139739478,157,157,,
1695139740470,61,,,,
1695139740477,,,157,
1695139740478,157,157,,
1695139741470,61,,,,
1695139741477,,,157,
1695139741478,157,157,,
1695139742470,61,,,,
1695139742477,,,157,
1695139742478,157,157,,
1695139743470,61,,,,
1695139743477,,,157,
1695139743478,157,157,,
1695139744470,61,,,,
1695139744477,,,157,
1695139744478,157,157,,
1695139745470,61,,,,
1695139745477,,,157,
1695139745478,157,157,,
1695139746470,61,,,,
1695139746477,,,157,
1695139746478,157,157,,
1695139747470,61,,,,
1695139747477,,,157,
1695139747478,157,157,,
1695139748470,61,,,,
1695139748477,,,157,
1695139748478,157,157,,
1695139749470,61,,,,
1695139749477,,,157,
1695139749478,157,157,,
1695139750470,61,,,,
1695139750477,,,157,
1695139750478,157,157,,
1695139751470,61,,,,
1695139751477,,,157,
1695139751478,157,157,,
1695139752470,61,,,,
1695139752477,,,157,
1695139752478,157,157,,
1695139753470,61,,,,
1695139753477,,,157,
1695139753478,157,,,
1695139753479,,157,,
1695139754470,61,,,,
1695139754477,,,157,
1695139754478,157,157,,
1695139755470,61,,,,
1695139755477,,,157,
1695139755478,157,157,,
1695139756470,61,,,,
1695139756477,,,157,
1695139756478,157,157,,
1695139757470,61,,,,
1695139757477,,,157,
1695139757478,157,157,,
1695139758470,61,,,,
1695139758477,,,157,
1695139758478,157,157,,
1695139759470,61,,,,
1695139759477,,,157,
1695139759478,157,157,,
1695139760470,61,,,,
1695139760477,,,157,
1695139760478,157,157,,
1695139761470,61,,,,
1695139761477,,,157,
1695139761478,157,157,,
1695139762470,61,,,,
1695139762477,,,157,
1695139762478,157,157,,
1695139763470,61,,,,
1695139763477,,,157,
1695139763478,157,157,,
1695139764470,61,,,,
1695139764477,,,157,
1695139764478,157,157,,
1695139765470,61,,,,
1695139765477,,,157,
1695139765478,157,157,,
1695139766470,61,,,,
1695139766477,,,157,
1695139766478,157,157,,
1695139767470,61,,,,
