Timestamp,Slave 0,Slave 1,Slave 2,
1695148370197,0,,,,
1695148370201,0.013494230053356496,,,,
1695148370203,,0,,
1695148370204,0,,0,
1695148370208,,0.1305285600952003,,
1695148370209,0.114289964299881,,,
1695148370211,,,0.12864366448542533,
1695148371204,,0.3125,0.29803822937625757,
1695148371205,0.3049698795180723,,,
1695148371206,0.007462686567164179,,,,
1695148372198,0.0012600806451612903,,,,
1695148372203,,0.37125,,
1695148372204,,,0.3125,
1695148372206,0.2897102897102897,,,
1695148373198,0.0,,,,
1695148373204,,0.3975,,
1695148373210,,,0.34791252485089463,
1695148373222,0.20792322834645668,,,
1695148374198,0.0,,,,
1695148374203,,0.28875,,
1695148374204,,,0.2904929577464789,
1695148374205,0.26831129196337744,,,
1695148375198,0.00125,,,,
1695148375204,,0.2975,,
1695148375205,0.31375,,0.2525,
1695148376198,0.005,,,,
1695148376203,,0.28,,
1695148376205,0.3025,,0.2922077922077922,
1695148377198,0.00125,,,,
1695148377203,,0.26375,,
1695148377204,,,0.28153153153153154,
1695148377205,0.3575,,,
1695148378198,0.0,,,,
1695148378204,,0.28375,,
1695148378205,0.25625,,0.2825,
1695148379198,0.00125,,,,
1695148379203,,0.29,,
1695148379204,,,0.265,
1695148379205,0.25125,,,
1695148380198,0.00125,,,,
1695148380203,,0.26625,,
1695148380204,,,0.26,
1695148380205,0.2775,,,
1695148381198,0.00125,,,,
1695148381203,,0.27,,
1695148381204,,,0.27375,
1695148381205,0.26375,,,
1695148382198,0.0,,,,
1695148382203,,0.27875,,
1695148382204,,,0.26,
1695148382205,0.26125,,,
1695148383198,0.00125,,,,
1695148383203,,0.265,,
1695148383204,,,0.27375,
1695148383205,0.265,,,
1695148384198,0.0,,,,
1695148384203,,0.30375,,
1695148384204,,,0.2475,
1695148384205,0.25125,,,
1695148385198,0.00125,,,,
1695148385204,,0.26375,,
1695148385205,0.245,,0.2775,
1695148386198,0.0,,,,
1695148386203,,0.27125,,
1695148386204,,,0.255,
1695148386205,0.26,,,
1695148387198,0.00125,,,,
1695148387203,,0.27625,,
1695148387204,,,0.25375,
1695148387205,0.265,,,
1695148388198,0.0,,,,
1695148388203,,0.2725,,
1695148388204,,,0.26,
1695148388205,0.27125,,,
1695148389198,0.00125,,,,
1695148389203,,0.26625,,
1695148389204,,,0.2625,
1695148389205,0.2725,,,
1695148390198,0.0012487512487512488,,,,
1695148390203,,0.27125,,
1695148390204,,,0.2625,
1695148390205,0.27,,,
1695148391198,0.0012512512512512512,,,,
1695148391203,,0.275,,
1695148391204,,,0.2625,
1695148391205,0.26125,,,
1695148392198,0.0,,,,
1695148392203,,0.27,,
1695148392204,,,0.265,
1695148392206,0.26848151848151847,,,
1695148393198,0.0,,,,
1695148393203,,0.2775,,
1695148393204,,,0.25625,
1695148393205,0.26651651651651653,,,
1695148394198,0.0012487512487512488,,,,
1695148394203,,0.27,,
1695148394204,,,0.2725,
1695148394205,0.25875,,,
1695148395198,0.0,,,,
1695148395203,,0.27375,,
1695148395204,,,0.26375,
1695148395205,0.2625,,,
1695148396198,0.0012512512512512512,,,,
1695148396203,,0.275,,
1695148396205,0.26625,,0.26375,
1695148397198,0.0,,,,
1695148397203,,0.2725,,
1695148397204,,,0.26625,
1695148397205,0.26625,,,
1695148398198,0.0,,,,
1695148398203,,0.2775,,
1695148398204,,,0.2625,
1695148398205,0.2625,,,
1695148399198,0.00125,,,,
1695148399211,0.26714711729622265,,0.2621769383697813,
1695148399212,,0.27502477700693756,,
1695148400198,0.0,,,,
1695148400203,,0.2711907164480323,,
1695148400204,,,0.26785714285714285,
1695148400205,0.2653420523138833,,,
1695148401198,0.0,,,,
1695148401203,,0.28,,
1695148401204,,,0.2575,
1695148401205,0.2675,,,
1695148402198,0.00125,,,,
1695148402203,,0.2775,,
1695148402204,,,0.2675,
1695148402205,0.25875,,,
1695148403198,0.0,,,,
1695148403203,,0.27625,,
1695148403204,,,0.2625,
1695148403205,0.26375,,,
1695148404198,0.0025,,,,
1695148404203,,0.27125,,
1695148404204,,,0.26125,
1695148404205,0.2725,,,
1695148405197,0.0,,,,
1695148405203,,0.28,,
1695148405204,,,0.2625,
1695148405205,0.26125,,,
1695148406198,0.0,,,,
1695148406203,,0.275,,
1695148406204,,,0.265,
1695148406205,0.265,,,
1695148407198,0.0012487512487512488,,,,
1695148407203,,0.27,,
1695148407204,,,0.26,
1695148407205,0.27375,,,
1695148408198,0.0,,,,
1695148408203,,0.27875,,
1695148408204,,,0.2675,
1695148408205,0.26,,,
1695148409198,0.0,,,,
1695148409203,,0.275,,
1695148409204,,,0.26625,
1695148409205,0.26625,,,
1695148410198,0.0,,,,
1695148410203,,0.27875,,
1695148410204,,,0.25875,
1695148410205,0.26875,,,
1695148411197,0.00125,,,,
1695148411203,,0.27,,
1695148411205,0.2625,,0.27625,
1695148412198,0.0,,,,
1695148412203,,0.2825,,
1695148412204,,,0.25625,
1695148412206,0.26723276723276723,,,
1695148413198,0.0025,,,,
1695148413203,,0.275,,
1695148413204,,,0.26625,
1695148413205,0.2652652652652653,,,
1695148414197,0.0,,,,
1695148414203,,0.26625,,
1695148414204,,,0.2725,
1695148414205,0.2675,,,
1695148415198,0.0,,,,
1695148415203,,0.27125,,
1695148415204,,,0.26125,
1695148415205,0.27,,,
1695148416198,0.0,,,,
1695148416203,,0.27125,,
1695148416204,,,0.27125,
1695148416205,0.26375,,,
1695148417204,0.0012413108242303873,,,0.26,
1695148417205,0.27,,,
1695148417208,,0.2776394422310757,,
1695148418198,0.0,,,,
1695148418203,,0.26731927710843373,,
1695148418204,,,0.2675,
1695148418205,0.26875,,,
1695148419198,0.0,,,,
1695148419203,,0.27375,,
1695148419204,,,0.2725,
1695148419205,0.26,,,
1695148420198,0.0,,,,
1695148420203,,0.2725,,
1695148420204,,,0.25875,
1695148420205,0.2725,,,
1695148421198,0.00125,,,,
1695148421203,,0.26625,,
1695148421204,,,0.275,
1695148421205,0.26625,,,
1695148422198,0.0,,,,
1695148422203,,0.2775,,
1695148422204,,,0.25875,
1695148422205,0.27125,,,
1695148423197,0.0,,,,
1695148423203,,0.27625,,
1695148423204,,,0.27125,
1695148423205,0.26,,,
1695148424197,0.00125,,,,
1695148424203,,0.26875,,
1695148424204,,,0.26375,
1695148424205,0.2725,,,
1695148425198,0.0,,,,
1695148425203,,0.27625,,
1695148425204,,,0.26625,
1695148425205,0.26625,,,
1695148426197,0.0,,,,
1695148426203,,0.28375,,
1695148426204,,,0.2575,
1695148426205,0.26125,,,
1695148427198,0.0,,,,
1695148427203,,0.265,,
1695148427204,,,0.26875,
1695148427205,0.26875,,,
1695148428197,0.00125,,,,
1695148428203,,0.27875,,
1695148428204,,,0.27125,
1695148428205,0.25875,,,
1695148429197,0.0,,,,
1695148429203,,0.2775,,
1695148429204,,,0.25625,
1695148429205,0.2725,,,
1695148430198,0.0,,,,
1695148430203,,0.27125,,
1695148430204,,,0.275,
1695148430205,0.26,,,
1695148431198,0.00125,,,,
1695148431203,,0.28375,,
1695148431205,0.27125,,,
1695148431207,,,0.25573852295409183,
1695148432197,0.0,,,,
1695148432203,,0.27875,,
1695148432204,,,0.2692885771543086,
1695148432205,0.26,,,
1695148433197,0.0,,,,
1695148433203,,0.28,,
1695148433205,0.26875,,0.25875,
1695148434198,0.0012487512487512488,,,,
1695148434203,,0.2625,,
1695148434204,,,0.2725,
1695148434205,0.275,,,
1695148435197,0.0,,,,
1695148435203,,0.28,,
1695148435204,,,0.26125,
1695148435205,0.26625,,,
1695148436198,0.00375,,,,
1695148436203,,0.27375,,
1695148436204,,,0.28125,
1695148436205,0.2575,,,
1695148437198,0.00125,,,,
1695148437203,,0.28125,,
1695148437204,,,0.27625,
1695148437205,0.2725,,,
1695148438197,0.0,,,,
1695148438203,,0.28375,,
1695148438204,,,0.28,
1695148438205,0.2775,,,
1695148439197,0.0725,,,,
1695148439203,,0.29375,,
1695148439204,,,0.2175,
1695148439206,0.260989010989011,,,
1695148440197,0.00125,,,,
1695148440203,,0.25375,,
1695148440204,,,0.28,
1695148440205,0.2627627627627628,,,
1695148441197,0.0,,,,
1695148441203,,0.28125,,
1695148441204,,,0.26375,
1695148441205,0.26125,,,
1695148442197,0.00125,,,,
1695148442203,,0.2725,,
1695148442205,0.27,,0.26375,
1695148443197,0.0,,,,
1695148443203,,0.26875,,
1695148443204,,,0.27125,
1695148443205,0.26375,,,
1695148444197,0.0,,,,
1695148444203,,0.27375,,
1695148444204,,,0.26875,
1695148444205,0.2625,,,
1695148445197,0.00125,,,,
1695148445203,,0.2825,,
1695148445204,,,0.26,
1695148445205,0.26375,,,
1695148446197,0.00125,,,,
1695148446203,,0.2625,,
1695148446204,,,0.27125,
1695148446205,0.27375,,,
1695148447197,0.0,,,,
1695148447203,,0.2675,,
1695148447205,0.26625,,0.2725,
1695148448197,0.0,,,,
1695148448203,,0.28,,
1695148448204,,,0.2625,
1695148448205,0.2675,,,
1695148449197,0.00125,,,,
1695148449203,,0.27,,
1695148449204,,,0.26625,
1695148449205,0.27625,,,
1695148450198,0.0,,,,
1695148450203,,0.27625,,
1695148450204,,,0.265,
1695148450205,0.2675,,,
1695148451197,0.0,,,,
1695148451203,,0.27375,,
1695148451205,0.26875,,0.26625,
1695148452197,0.0,,,,
1695148452203,,0.275,,
1695148452204,,,0.26625,
1695148452205,0.2675,,,
1695148453197,0.0,,,,
1695148453203,,0.2775,,
1695148453204,,,0.2675,
1695148453205,0.26875,,,
