Timestamp,Slave 0,Slave 1,Slave 2,
1695153021069,106928,,,,
1695153021072,,,644212,
1695153021073,,669056,,
1695153021074,647776,,,
1695153022056,107256,,,,
1695153022063,,665988,,
1695153022065,,,651764,
1695153022068,657280,,,
1695153023056,,,668332,
1695153023061,107256,,,,
1695153023066,,675956,,
1695153023072,678108,,,
1695153024045,107516,,,,
1695153024053,,682904,,
1695153024054,687520,,,
1695153024068,,,696724,
1695153025043,107516,,,,
1695153025054,688092,,,
1695153025055,,,698060,
1695153025056,,685340,,
1695153026046,107556,,,,
1695153026054,734000,,,
1695153026056,,739884,,
1695153026057,,,700988,
1695153027047,108788,,,,
1695153027052,,,702616,
1695153027057,729212,743816,,
1695153028045,108788,,,,
1695153028053,,,704444,
1695153028056,732852,,,
1695153028061,,743984,,
1695153029044,109052,,,,
1695153029053,,743984,704444,
1695153029056,734696,,,
1695153030044,109052,,,,
1695153030053,734696,745540,732428,
1695153031044,109052,,,,
1695153031052,,745692,732692,
1695153031053,735716,,,
1695153032044,109052,,,,
1695153032052,,745692,732816,
1695153032054,735996,,,
1695153033044,109316,,,,
1695153033052,,745692,733096,
1695153033053,735996,,,
1695153034045,109316,,,,
1695153034053,,745692,749156,
1695153034054,735996,,,
1695153035045,109316,,,,
1695153035051,,,766908,
1695153035053,,745692,,
1695153035054,735996,,,
1695153036048,109584,,,,
1695153036053,,,791188,
1695153036054,,745956,,
1695153036056,735996,,,
1695153037044,109848,,,,
1695153037052,,,805228,
1695153037053,,746032,,
1695153037054,750228,,,
1695153038043,109848,,,,
1695153038052,,746032,819220,
1695153038053,775720,,,
1695153039045,109848,,,,
1695153039053,775720,746032,,
1695153039054,,,819220,
1695153040048,114072,,,,
1695153040052,,746276,833092,
1695153040053,791500,,,
1695153041044,114336,,,,
1695153041052,,760720,833092,
1695153041055,806104,,,
1695153042045,114336,,,,
1695153042053,,774596,,
1695153042055,821280,,833092,
1695153043044,114336,,,,
1695153043053,835732,787824,833092,
1695153044044,114600,,,,
1695153044052,,,833092,
1695153044054,850856,800944,,
1695153045044,114600,,,,
1695153045052,,800948,838900,
1695153045053,850856,,,
1695153046044,114812,,,,
1695153046052,,813836,844972,
1695153046053,865976,,,
1695153047044,115076,,,,
1695153047051,,,851048,
1695153047052,,827212,,
1695153047053,881088,,,
1695153048044,115076,,,,
1695153048062,896068,,,
1695153048065,,839540,,
1695153048070,,,856592,
1695153049044,115076,,,,
1695153049051,,,856592,
1695153049052,,839540,,
1695153049053,910952,,,
1695153050044,115076,,,,
1695153050051,,852924,862928,
1695153050052,910952,,,
1695153051044,115340,,,,
1695153051052,,866564,,
1695153051053,,,868736,
1695153051054,927344,,,
1695153052044,115340,,,,
1695153052053,,,868736,
1695153052062,942756,,,
1695153052064,,879560,,
1695153053044,115340,,,,
1695153053052,942756,,874808,
1695153053053,,879560,,
1695153054045,115604,,,,
1695153054054,,,880616,
1695153054055,959004,893744,,
1695153055044,115604,,,,
1695153055053,,,886688,
1695153055056,974688,907412,,
1695153056044,115604,,,,
1695153056052,,907412,886688,
1695153056055,991144,,,
1695153057045,115952,,,,
1695153057052,,921316,892496,
1695153057053,991144,,,
1695153058044,115952,,,,
1695153058051,,,898304,
1695153058052,,935256,,
1695153058053,1007360,,,
1695153059044,115952,,,,
1695153059051,,935256,898304,
1695153059053,1024812,,,
1695153060044,116216,,,,
1695153060051,,,904640,
1695153060052,,949396,,
1695153060055,1025060,,,
1695153061044,116216,,,,
1695153061052,1042064,949396,910448,
1695153062044,116216,,,,
1695153062052,,,910448,
1695153062053,1042064,964096,,
1695153063044,116480,,,,
1695153063053,,979604,915464,
1695153063054,1059260,,,
1695153064044,116480,,,,
1695153064051,,979604,921536,
1695153064053,1076176,,,
1695153065044,116480,,,,
1695153065051,,994308,921536,
1695153065052,1076176,,,
1695153066043,116744,,,,
1695153066057,,,927608,
