Timestamp,Slave 0,Slave 1,Slave 2,
1724949850098,0,,,,
1724949850104,,,0,
1724949850105,0,,,
1724949850106,,0,,
1724949850107,65,,,,
1724949850116,,,189,
1724949850118,177,,,
1724949850119,,240,,
1724949851098,67,,,,
1724949851105,260,,248,
1724949851107,,325,,
1724949852098,67,,,,
1724949852105,,,276,
1724949852106,290,348,,
1724949853098,67,,,,
1724949853105,331,,322,
1724949853107,,103,,
1724949854098,67,,,,
1724949854105,173,,157,
1724949854106,,236,,
1724949855099,67,,,,
1724949855105,,,341,
1724949855106,352,,,
1724949855107,,137,,
1724949856098,70,,,,
1724949856105,179,,172,
1724949856106,,257,,
1724949857098,70,,,,
1724949857105,,,235,
1724949857106,,320,,
1724949857107,241,,,
1724949858098,70,,,,
1724949858105,369,,365,
1724949858106,,136,,
1724949859098,70,,,,
1724949859105,208,,206,
1724949859106,,309,,
1724949860098,70,,,,
1724949860105,394,,390,
1724949860106,,167,,
1724949861098,70,,,,
1724949861105,255,,248,
1724949861108,,150,,
1724949862098,70,,,,
1724949862105,220,,212,
1724949862106,,129,,
1724949863098,70,,,,
1724949863105,188,,179,
1724949863106,,331,,
1724949864098,70,,,,
1724949864105,128,,363,
1724949864107,,286,,
1724949865100,70,,,,
1724949865106,,,307,
1724949865107,318,,,
1724949865108,,249,,
1724949866099,70,,,,
1724949866105,254,,247,
1724949866106,,196,,
1724949867098,70,,,,
1724949867105,201,,189,
1724949867106,,155,,
1724949868098,70,,,,
1724949868104,,,390,
1724949868105,154,,,
1724949868107,,362,,
1724949869098,70,,,,
1724949869105,351,,338,
1724949869110,,321,,
1724949870098,70,,,,
1724949870105,303,,283,
1724949870106,,280,,
1724949871098,70,,,,
1724949871105,260,,238,
1724949871106,,248,,
1724949872098,70,,,,
1724949872105,216,,192,
1724949872106,,213,,
1724949873098,72,,,,
1724949873105,421,,399,
1724949873106,,426,,
1724949874098,72,,,,
1724949874105,378,,356,
1724949874106,,393,,
1724949875098,72,,,,
1724949875105,328,,309,
1724949875106,,355,,
1724949876098,72,,,,
1724949876105,284,,268,
1724949876106,,314,,
1724949877098,72,,,,
1724949877104,,,472,
1724949877105,490,,,
1724949877106,,280,,
1724949878098,72,,,,
1724949878105,442,,428,
1724949878106,,491,,
1724949879098,72,,,,
1724949879105,391,,381,
1724949879106,,439,,
1724949880098,72,,,,
1724949880105,329,,325,
1724949880107,,388,,
1724949881098,72,,,,
1724949881105,532,,531,
1724949881106,,330,,
1724949882098,72,,,,
1724949882105,473,,480,
1724949882106,,541,,
1724949883098,72,,,,
1724949883104,,,414,
1724949883105,399,,,
