Timestamp,Slave 0,Slave 1,Slave 2,
1695182398939,0,,,,
1695182398947,0,,,
1695182398948,,0,0,
1695182398960,56,,,,
1695182398965,150,,,
1695182398976,,150,,
1695182398999,,,150,
1695182399942,56,,,,
1695182399949,150,,150,
1695182399950,,150,,
1695182400941,56,,,,
1695182400949,150,150,,
1695182400952,,,150,
1695182401941,56,,,,
1695182401949,150,,150,
1695182401951,,150,,
1695182402941,56,,,,
1695182402949,150,150,150,
1695182403941,56,,,,
1695182403949,150,150,150,
1695182404941,56,,,,
1695182404949,,150,150,
1695182404950,150,,,
1695182405942,56,,,,
1695182405950,150,150,150,
1695182406941,56,,,,
1695182406949,150,150,150,
1695182407941,56,,,,
1695182407949,150,,150,
1695182407953,,150,,
1695182408941,56,,,,
1695182408949,150,150,150,
1695182409941,56,,,,
1695182409948,150,,,
1695182409949,,150,150,
1695182410941,56,,,,
1695182410949,150,150,150,
1695182411941,56,,,,
1695182411948,150,,,
1695182411949,,150,150,
1695182412941,56,,,,
1695182412949,150,,150,
1695182412950,,150,,
1695182413943,56,,,,
1695182413951,150,150,150,
1695182414941,56,,,,
1695182414949,150,,150,
1695182414950,,150,,
1695182415941,56,,,,
1695182415949,150,150,150,
1695182416941,56,,,,
1695182416949,150,150,150,
1695182417941,56,,,,
1695182417948,150,,,
1695182417949,,150,150,
1695182418941,56,,,,
1695182418949,150,,150,
1695182418950,,150,,
1695182419941,56,,,,
1695182419949,150,150,150,
1695182420941,56,,,,
1695182420948,150,,,
1695182420949,,150,150,
1695182421941,56,,,,
1695182421948,150,,,
1695182421949,,150,150,
1695182422941,56,,,,
1695182422948,150,,,
1695182422949,,150,150,
1695182423941,56,,,,
1695182423948,150,,,
1695182423949,,150,150,
1695182424941,56,,,,
1695182424948,150,,,
1695182424949,,150,150,
1695182425941,56,,,,
1695182425948,150,,,
1695182425949,,150,150,
1695182426941,56,,,,
1695182426949,150,150,150,
1695182427941,56,,,,
1695182427948,150,,,
1695182427949,,,150,
1695182427950,,150,,
1695182428941,56,,,,
1695182428948,150,,,
1695182428949,,150,150,
1695182429941,56,,,,
1695182429949,150,150,150,
1695182430940,56,,,,
1695182430949,150,150,150,
1695182431941,56,,,,
1695182431948,150,,,
1695182431949,,,150,
1695182431950,,150,,
1695182432941,56,,,,
1695182432948,150,,,
1695182432949,,150,150,
1695182433940,56,,,,
1695182433948,150,,,
1695182433949,,,150,
1695182433950,,150,,
1695182434941,56,,,,
1695182434948,150,,,
1695182434949,,150,150,
1695182435941,56,,,,
1695182435948,150,,,
1695182435949,,150,150,
1695182436940,56,,,,
1695182436948,150,,150,
1695182436949,,150,,
1695182437941,56,,,,
