Timestamp,Slave 0,Slave 1,Slave 2,
1695198269336,108352,,,,
1695198269359,326984,,,
1695198269384,,336204,,
1695198269452,,,332912,
1695198270313,,,365928,
1695198270314,377388,,,
1695198270318,,383908,,
1695198270328,108520,,,,
1695198271299,108544,,,,
1695198271303,,400748,,
1695198271312,412116,,397616,
1695198272311,108544,,,,
1695198272314,,,410180,
1695198272316,,404240,,
1695198272318,452792,,,
1695198273301,108608,,,,
1695198273308,,420680,,
1695198273314,452960,,,
1695198273318,,,413216,
1695198274299,460436,,,
1695198274305,106320,,442556,427468,
1695198275293,106368,,,,
1695198275302,574180,,566840,
1695198275304,,601228,,
1695198276299,106516,,,,
1695198276304,,854460,,
1695198276306,807364,,,
1695198276308,,,763732,
1695198277306,106876,,,,
1695198277308,,,866244,
1695198277310,820032,,,
1695198277315,,862748,,
1695198278303,106876,,,,
1695198278315,846156,,,
1695198278318,,866584,,
1695198278319,,,867836,
1695198279293,107004,,,,
1695198279299,848152,,,
1695198279300,,865244,869464,
1695198280293,107088,,,,
1695198280298,883608,,,
1695198280299,,,912968,
1695198280300,,907508,,
1695198281292,107200,,,,
1695198281299,886244,909472,913908,
1695198282293,107260,,,,
1695198282299,886244,909472,914032,
1695198283293,107344,,,,
1695198283300,897328,919768,,
1695198283303,,,923008,
1695198284299,107556,,,,
1695198284301,897372,930892,,
1695198284303,,,925584,
1695198285293,107640,,,,
1695198285299,898672,,940360,
1695198285301,,920724,,
1695198286299,982624,,940360,
1695198286300,,932596,,
1695198286301,112816,,,,
1695198287293,112816,,,,
1695198287299,982624,,,
1695198287300,,932596,940360,
1695198288292,112816,,,,
1695198288301,,1008892,,
1695198288302,994504,,,
1695198288307,,,1063900,
1695198289292,112816,,,,
1695198289299,1083208,,,
1695198289300,,1071972,,
1695198289301,,,1131488,
1695198290293,112916,,,,
1695198290300,1083208,,1131568,
1695198290301,,1071972,,
1695198291293,112916,,,,
1695198291299,1083208,1072764,1131832,
1695198292293,112916,,,,
1695198292299,1211532,,1208952,
1695198292300,,1256240,,
1695198293293,112916,,,,
1695198293299,1278376,1256240,1274736,
1695198294292,112916,,,,
1695198294301,,1256240,,
1695198294302,1278376,,,
1695198294306,,,1274736,
1695198295293,112916,,,,
1695198295299,1278376,,1274736,
1695198295300,,1256240,,
1695198296292,113000,,,,
1695198296298,1292084,,,
1695198296299,,,1286880,
1695198296300,,1268648,,
1695198297292,113000,,,,
1695198297298,1292084,,,
1695198297300,,1268648,1286880,
1695198298293,113000,,,,
1695198298298,1292084,,,
1695198298299,,,1286880,
1695198298302,,1268648,,
1695198299292,113000,,,,
1695198299299,1297428,,1286880,
1695198299300,,1268648,,
1695198300292,113000,,,,
1695198300299,1305692,,1294364,
1695198300300,,1276568,,
1695198301292,113000,,,,
1695198301299,1305692,,,
1695198301300,,1276568,1294364,
1695198302292,113084,,,,
1695198302299,,1276652,1294364,
1695198302300,1305692,,,
1695198303292,113084,,,,
1695198303298,1305692,,,
1695198303302,,,1294364,
1695198303303,,1276652,,
1695198304292,113084,,,,
1695198304298,1313084,,,
1695198304299,,,1302284,
1695198304300,,1285364,,
1695198305293,113084,,,,
1695198305298,1313212,,,
1695198305303,,,1302284,
1695198305306,,1285364,,
1695198306295,113164,,,,
1695198306299,1313216,,,
1695198306300,,1285364,1302284,
1695198307292,113164,,,,
1695198307299,,,1302284,
1695198307300,,1292756,,
1695198307301,1320344,,,
1695198308292,113164,,,,
1695198308298,1320344,,,
1695198308299,,1292756,,
1695198308300,,,1309412,
1695198309292,113164,,,,
1695198309299,1320344,1292756,1309412,
1695198310295,113164,,,,
1695198310299,1320344,1292756,,
1695198310300,,,1309412,
1695198311292,113164,,,,
1695198311299,1329320,,1309412,
1695198311301,,1300412,,
1695198312292,113216,,,,
1695198312298,1329320,,,
1695198312299,,1300412,1316804,
1695198313292,113216,,,,
1695198313299,1329320,,1316804,
1695198313301,,1300412,,
1695198314292,113216,,,,
1695198314298,1329320,,,
1695198314299,,,1316804,
1695198314300,,1300412,,
1695198315292,113216,,,,
1695198315299,1336448,,,
1695198315300,,1308332,,
1695198315302,,,1323668,
1695198316292,113216,,,,
1695198316298,1336448,,1323668,
1695198316302,,1308332,,
1695198317292,113216,,,,
1695198317298,1336448,,,
1695198317299,,1308332,,
1695198317300,,,1323668,
1695198318292,113216,,,,
1695198318299,1336448,1308332,1323672,
1695198319292,113260,,,,
1695198319298,1344104,1315988,1331328,
1695198320292,113260,,,,
1695198320299,1344104,,1331328,
1695198320303,,1315988,,
1695198321292,113260,,,,
1695198321298,,,1331328,
1695198321299,1344108,1315988,,
1695198322292,113260,,,,
1695198322299,,,1331328,
1695198322301,1351500,,,
1695198322302,,1323380,,
1695198323292,113260,,,,
1695198323299,1351500,,,
1695198323301,,,1338192,
1695198323302,,1323484,,
1695198324292,113360,,,,
1695198324299,1351500,1323484,1338192,
1695198325292,113360,,,,
1695198325299,1351500,,1338192,
1695198325300,,1323484,,
1695198326292,113360,,,,
1695198326299,,1331400,,
1695198326300,1359420,,,
1695198326302,,,1338192,
1695198327292,113360,,,,
1695198327298,1359420,,,
1695198327299,,1331400,1345848,
1695198328292,113360,,,,
1695198328299,1359472,,1345848,
1695198328300,,1331400,,
1695198329292,113360,,,,
1695198329298,1359472,,1346448,
1695198329299,,1332144,,
1695198330293,113360,,,,
1695198330298,1366864,,,
1695198330299,,,1346448,
1695198330300,,1339800,,
1695198331292,113360,,,,
1695198331297,1367560,,,
1695198331299,,,1354004,
1695198331300,,1340080,,
1695198332292,113360,,,,
1695198332298,1367984,,,
1695198332299,,,1354004,
1695198332301,,1340080,,
1695198333292,113360,,,,
1695198333299,1375376,1340080,1354588,
1695198334292,113360,,,,
1695198334298,1375680,,,
1695198334299,,1347104,1362244,
1695198335292,113360,,,,
1695198335299,,,1362244,
1695198335300,,1347104,,
1695198335303,1375816,,,
1695198336292,113360,,,,
1695198336298,1375908,,1362244,
1695198336300,,1347104,,
1695198337292,113872,,,,
1695198337298,1377724,,,
1695198337300,,,1365104,
1695198337302,,1351068,,
1695198338292,113872,,,,
1695198338300,1377724,1351068,1365104,
1695198339292,131300,,,,
1695198339299,1375348,,,
1695198339303,,1354664,,
1695198339305,,,1371440,
1695198340292,132884,,,,
1695198340298,1389352,,,
1695198340302,,1357416,,
1695198340307,,,1373092,
1695198341292,133092,,,,
1695198341298,1407832,,,
1695198341300,,1376688,1392364,
1695198342292,133092,,,,
1695198342298,1407832,,,
1695198342299,,,1392364,
1695198342301,,1376688,,
1695198343293,133176,,,,
1695198343299,1407832,1376688,1392364,
1695198344293,133224,,,,
1695198344299,1407832,1376688,,
1695198344300,,,1392364,
1695198345293,133224,,,,
1695198345298,1403840,,,
1695198345299,,1376688,,
1695198345301,,,1392364,
1695198346292,133224,,,,
1695198346299,1403840,1376688,1392364,
1695198347292,133224,,,,
1695198347298,1403840,,,
1695198347313,,,1392364,
1695198347331,,1376688,,
1695198348292,133224,,,,
1695198348298,,,1392364,
1695198348299,1403840,1376688,,
1695198349292,133224,,,,
1695198349298,1403840,,,
1695198349300,,1376688,1392364,
1695198350292,133224,,,,
1695198350298,1393328,,,
1695198350299,,,1392364,
1695198350300,,1372012,,
1695198351291,133224,,,,
1695198351298,1393328,,1392364,
1695198351300,,1372012,,
1695198352292,133224,,,,
1695198352299,,,1392364,
1695198352300,,1372012,,
1695198352301,1393328,,,
1695198353291,133224,,,,
1695198353298,1393328,,,
1695198353299,,,1392364,
1695198353303,,1372012,,
1695198354292,122064,,,,
1695198354299,1393328,,,
1695198354300,,,1392364,
1695198354303,,1372012,,
1695198355292,122064,,,,
1695198355298,1393328,,,
1695198355299,,,1392364,
1695198355300,,1372012,,
1695198356292,122064,,,,
1695198356298,1393328,,,
1695198356300,,,1392364,
1695198356301,,1372012,,
1695198357292,122064,,,,
1695198357298,1393328,1372012,1392364,
1695198358292,122108,,,,
1695198358298,1393328,,1392364,
